energy;Reg_coef;Abs_Reg_coef;Zone
13.34;0.12135856763437709;0.12135856763437709;Rb ka + Br kb
13.4;0.1161305616945006;0.1161305616945006;Rb ka + Br kb
13.3;0.11559996122709154;0.11559996122709154;Rb ka + Br kb
13.38;0.11086653047016307;0.11086653047016307;Rb ka + Br kb
3.68;-0.1058566170738821;0.1058566170738821;K kb + Ca ka
13.32;0.09686941451884921;0.09686941451884921;Rb ka + Br kb
13.42;0.08892603445163177;0.08892603445163177;Rb ka + Br kb
13.5;0.08521875861955001;0.08521875861955001;Rb ka + Br kb
13.44;0.0837053966140757;0.0837053966140757;Rb ka + Br kb
13.36;0.07907263140129807;0.07907263140129807;Rb ka + Br kb
3.64;-0.07879462695516633;0.07879462695516633;K kb + Ca ka
3.66;-0.07478845329235298;0.07478845329235298;K kb + Ca ka
3.74;-0.07477117005643001;0.07477117005643001;K kb + Ca ka
3.72;-0.0729540156900259;0.0729540156900259;K kb + Ca ka
3.7;-0.06955274339866853;0.06955274339866853;K kb + Ca ka
2.56;0.06791986889076358;0.06791986889076358;Cl
2.58;0.06595071025912509;0.06595071025912509;Cl
13.46;0.06479776513081982;0.06479776513081982;Rb ka + Br kb
4;-0.059943730319701634;0.059943730319701634;background1
2.6;0.0595054904409829;0.0595054904409829;Cl
13.52;0.05774861547512468;0.05774861547512468;Rb ka + Br kb
13.48;0.05625353947484746;0.05625353947484746;Rb ka + Br kb
2.62;0.05610821252621122;0.05610821252621122;Cl
16;-0.052204126729168084;0.052204126729168084;background3
3.38;-0.050630225083126555;0.050630225083126555;K ka
8.62;-0.05034523121763886;0.05034523121763886;Zn
8.1;0.05013362777834793;0.05013362777834793;Cu
8.6;-0.04989211635010986;0.04989211635010986;Zn
19.32;-0.048745095909948216;0.048745095909948216;Rh ka Compton
3.24;-0.04808964147205973;0.04808964147205973;K ka
8.08;0.047789333755394424;0.047789333755394424;Cu
22.36;-0.04765412323503212;0.04765412323503212;Rh kb Rayleigh
13.26;0.04712649473955648;0.04712649473955648;Rb ka + Br kb
14.62;-0.04699906788286817;0.04699906788286817;background3
3.6;-0.0465495701137713;0.0465495701137713;K kb + Ca ka
3.2;-0.04620689200129748;0.04620689200129748;K ka
