model;method;k;mask_mode;f1_original;f1_masked;f1_drop;acc_original;acc_masked;acc_drop;probability_shift;zones_removed
svm;SMX;1;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.012214;Cl
svm;SMX;2;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.017865;"Cl; K"
svm;SMX;3;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.019186;"Cl; K; Ca ka"
svm;SMX;4;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.020727;"Cl; K; Ca ka; Mo rayleigh scattering"
svm;SMX;5;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.026327;"Cl; K; Ca ka; Mo rayleigh scattering; Mo compton scattering"
svm;SMX;6;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.025108;"Cl; K; Ca ka; Mo rayleigh scattering; Mo compton scattering; Fe ka"
svm;SMX;7;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.027355;"Cl; K; Ca ka; Mo rayleigh scattering; Mo compton scattering; Fe ka; Si"
svm;SMX;8;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.028341;"Cl; K; Ca ka; Mo rayleigh scattering; Mo compton scattering; Fe ka; Si; Zn ka"
svm;SMX;9;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.028623;"Cl; K; Ca ka; Mo rayleigh scattering; Mo compton scattering; Fe ka; Si; Zn ka; Cu"
svm;SMX;10;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.028985;"Cl; K; Ca ka; Mo rayleigh scattering; Mo compton scattering; Fe ka; Si; Zn ka; Cu; background 1"
svm;SMX;11;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.028665;"Cl; K; Ca ka; Mo rayleigh scattering; Mo compton scattering; Fe ka; Si; Zn ka; Cu; background 1; Fe kb"
svm;SMX;12;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.028805;"Cl; K; Ca ka; Mo rayleigh scattering; Mo compton scattering; Fe ka; Si; Zn ka; Cu; background 1; Fe kb; Ni"
svm;SMX;13;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.029007;"Cl; K; Ca ka; Mo rayleigh scattering; Mo compton scattering; Fe ka; Si; Zn ka; Cu; background 1; Fe kb; Ni; Zn kb"
svm;SMX;14;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.029899;"Cl; K; Ca ka; Mo rayleigh scattering; Mo compton scattering; Fe ka; Si; Zn ka; Cu; background 1; Fe kb; Ni; Zn kb; background 6"
svm;SMX;15;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.030047;"Cl; K; Ca ka; Mo rayleigh scattering; Mo compton scattering; Fe ka; Si; Zn ka; Cu; background 1; Fe kb; Ni; Zn kb; background 6; Ga"
svm;SMX;16;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.030058;"Cl; K; Ca ka; Mo rayleigh scattering; Mo compton scattering; Fe ka; Si; Zn ka; Cu; background 1; Fe kb; Ni; Zn kb; background 6; Ga; Pb La"
svm;SMX;17;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.030079;"Cl; K; Ca ka; Mo rayleigh scattering; Mo compton scattering; Fe ka; Si; Zn ka; Cu; background 1; Fe kb; Ni; Zn kb; background 6; Ga; Pb La; Pb Lb"
svm;SMX;18;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.030093;"Cl; K; Ca ka; Mo rayleigh scattering; Mo compton scattering; Fe ka; Si; Zn ka; Cu; background 1; Fe kb; Ni; Zn kb; background 6; Ga; Pb La; Pb Lb; background 2"
svm;SMX;19;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.030121;"Cl; K; Ca ka; Mo rayleigh scattering; Mo compton scattering; Fe ka; Si; Zn ka; Cu; background 1; Fe kb; Ni; Zn kb; background 6; Ga; Pb La; Pb Lb; background 2; Ti"
svm;SMX;20;zero;0.494949;0.494949;0.0;0.636364;0.636364;0.0;0.030143;"Cl; K; Ca ka; Mo rayleigh scattering; Mo compton scattering; Fe ka; Si; Zn ka; Cu; background 1; Fe kb; Ni; Zn kb; background 6; Ga; Pb La; Pb Lb; background 2; Ti; Ca kb"
