SVM_pvector;Shap;Permutation;LRC_perturbation
Cl;Cl;Cl;Cl
Mo rayleigh scattering;Ca ka;Ca ka;K
Mo compton scattering;background 5;Mo rayleigh scattering;Ca ka
Fe ka;Fe kb;Mo compton scattering;Mo rayleigh scattering
Ca ka;background 3;Si;Mo compton scattering
Cu;Mo compton scattering;Fe ka;Fe ka
Fe kb;Fe ka;Cu;Si
background 6;Si;Zn ka;Zn ka
Si;background 1;background 1;Cu
background 1;Zn ka;background 6;background 1
Ni;background 6;Fe kb;Fe kb
Ga;Cu;Ni;Ni
background 3;Ga;Ga;Zn kb
Zn ka;background 4;Zn kb;background 6
Pb La;Mo rayleigh scattering;Pb La;Ga
background 2;Ti;Pb Lb;Pb La
Ti;Ca kb;background 3;Pb Lb
background 4;Zn kb;background 2;background 2
Ca kb;Ni;background 5;Ti
background 5;background 2;Ca kb;Ca kb
Pb Lb;Pb La;background 4;background 5
Zn kb;Pb Lb;Ti;background 3
;;;background 4
;;;
