energy;Permutation_importance;Zone
2.623;0.002890006320889169;Cl
2.618;0.002750083764128018;Cl
2.608;0.002587469690159552;Cl
2.643;0.0025565419670526253;Cl
2.633;0.0024536571475286865;Cl
2.603;0.002386321687224302;Cl
2.598;0.0023561361327623523;Cl
2.628;0.0023475180726416273;Cl
2.588;0.002223175635606366;Cl
2.638;0.0021406811125169066;Cl
2.593;0.002100836949423227;Cl
2.658;0.002082198053375499;Cl
2.613;0.0020740725441126423;Cl
2.648;0.0019998616845979407;Cl
2.663;0.0019540508330866653;Cl
2.653;0.0019176049873983452;Cl
2.578;0.0017924846221227127;Cl
2.583;0.001777322748301485;Cl
2.668;0.0016592894038145365;Cl
2.673;0.0016042616370007183;Cl
2.678;0.0015021052732792695;Cl
2.568;0.001437741305416415;Cl
2.573;0.0013800946327542775;Cl
2.683;0.0013016855018860203;Cl
2.563;0.0011849602929897727;Cl
2.553;0.0010606251879783956;Cl
2.558;0.0010293599117152813;Cl
2.688;0.0010174288521023645;Cl
2.548;0.0009993939916117006;Cl
2.693;0.0009535088224557035;Cl
2.543;0.0008455612592081184;Cl
3.299;0.0007033997876309692;Ca ka
3.309;0.0007028711724681492;Ca ka
2.698;0.0006987129321217492;Cl
3.324;0.0006928418760493682;Ca ka
2.703;0.0006901341836403339;Cl
3.319;0.0006854346691726037;Ca ka
2.708;0.0006527396118591757;Cl
3.294;0.0006476674294662082;Ca ka
3.289;0.0006406233439361791;Ca ka
3.329;0.0006333165427851874;Ca ka
3.314;0.0006228948613234292;Ca ka
3.304;0.0006205834376870313;Ca ka
3.339;0.0006078265993149718;Ca ka
3.284;0.0005990713968966337;Ca ka
2.538;0.0005910731746166971;Cl
3.334;0.0005720158830162018;Ca ka
3.344;0.0005717989723842169;Ca ka
3.279;0.0005660561739170247;Ca ka
17.38;0.0005494961179711092;Mo rayleigh scattering
17.41;0.000534004042438189;Mo rayleigh scattering
17.435;0.0005192416427437796;Mo rayleigh scattering
17.385;0.0005161781962461441;Mo rayleigh scattering
17.395;0.0005150040905754612;Mo rayleigh scattering
3.349;0.0005140413295529696;Ca ka
17.415;0.0005096800572858556;Mo rayleigh scattering
17.37;0.0005020673601864785;Mo rayleigh scattering
3.354;0.0005016059273769242;Ca ka
17.445;0.0004992462900349807;Mo rayleigh scattering
3.274;0.0004986024436704406;Ca ka
2.713;0.00049843287844746;Cl
17.405;0.0004957765770677321;Mo rayleigh scattering
17.4;0.0004956846206168867;Mo rayleigh scattering
17.425;0.0004939891957962866;Mo rayleigh scattering
2.533;0.0004930627160996965;Cl
2.528;0.0004902844451091954;Cl
17.42;0.0004891846751167757;Mo rayleigh scattering
17.47;0.00048559798806785393;Mo rayleigh scattering
17.43;0.0004831732282933098;Mo rayleigh scattering
17.33;0.000478067572616157;Mo rayleigh scattering
2.718;0.0004776138048608743;Cl
17.375;0.0004721998353096737;Mo rayleigh scattering
17.045;0.00047219753850076757;Mo compton scattering
17.01;0.0004719822014963151;Mo compton scattering
17.355;0.00046855511258826765;Mo rayleigh scattering
3.269;0.0004582110158083884;Ca ka
17.02;0.0004559380439522878;Mo compton scattering
17.455;0.0004554695497170719;Mo rayleigh scattering
17.14;0.00045531880316083994;Mo compton scattering
17.09;0.00045343649542200424;Mo compton scattering
17.325;0.00045273800180402595;Mo rayleigh scattering
17.46;0.0004497578843591315;Mo rayleigh scattering
17.105;0.00044966222866612855;Mo compton scattering
17.07;0.0004493297925333143;Mo compton scattering
17.345;0.0004438456921712651;Mo rayleigh scattering
17.075;0.000443260327089493;Mo compton scattering
17.04;0.00044286679314565054;Mo compton scattering
17.245;0.00044286476552023917;Mo rayleigh scattering
17.39;0.00044132193187914183;Mo rayleigh scattering
17.49;0.000438209735792344;Mo rayleigh scattering
17.025;0.0004376617817247575;Mo compton scattering
17.135;0.000436650967953076;Mo compton scattering
17.145;0.0004348992036290334;Mo compton scattering
17.165;0.0004327456456705862;Mo compton scattering
17.125;0.00043259713265917244;Mo compton scattering
3.359;0.0004317006243353889;Ca ka
16.945;0.00043015412654244333;Mo compton scattering
17.035;0.0004301207291237329;Mo compton scattering
17.3;0.0004297737008558902;Mo rayleigh scattering
17.095;0.0004292734569081778;Mo compton scattering
17.12;0.0004289564930505255;Mo compton scattering
17.48;0.0004283594061756231;Mo rayleigh scattering
17.15;0.0004282334478683024;Mo compton scattering
17.465;0.0004272565245129362;Mo rayleigh scattering
17.45;0.0004266268800283679;Mo rayleigh scattering
16.95;0.00042654152738456143;Mo compton scattering
17.5;0.00042380546851791617;Mo rayleigh scattering
17.36;0.00042270121356177226;Mo rayleigh scattering
3.364;0.00042230955226332074;Ca ka
17.485;0.00042177710713516014;Mo rayleigh scattering
17.305;0.0004213769339769505;Mo rayleigh scattering
17.32;0.00042017765944725997;Mo rayleigh scattering
17.285;0.00041975938846138276;Mo rayleigh scattering
17.115;0.0004196916553396884;Mo compton scattering
17.18;0.000419099459564978;Mo compton scattering
17.03;0.00041904635207797383;Mo compton scattering
16.975;0.00041817338459084814;Mo compton scattering
17.015;0.0004176581006632928;Mo compton scattering
17.27;0.00041640586317245485;Mo rayleigh scattering
17.31;0.00041547702737137674;Mo rayleigh scattering
17.11;0.0004139487252223601;Mo compton scattering
17.475;0.0004128799309624363;Mo rayleigh scattering
17.08;0.00041244957953499617;Mo compton scattering
17.13;0.00041122045643060936;Mo compton scattering
17.365;0.00041104192723381334;Mo rayleigh scattering
1.753;0.000409803831613602;Si
1.733;0.0004095431604543404;Si
17.085;0.00040924978599100474;Mo compton scattering
17.315;0.0004079381293066154;Mo rayleigh scattering
17.29;0.0004074813514030019;Mo rayleigh scattering
17.05;0.00040707978547056286;Mo compton scattering
16.99;0.0004067819064661419;Mo compton scattering
17.055;0.0004056530629346671;Mo compton scattering
2.723;0.0004053610909169702;Cl
17.44;0.00040493114367574174;Mo rayleigh scattering
1.743;0.0004044494915374241;Si
17.34;0.0004042321735916978;Mo rayleigh scattering
17.06;0.0004040915224800697;Mo compton scattering
17.065;0.0004030404298721572;Mo compton scattering
17.265;0.00040124371994294816;Mo rayleigh scattering
2.523;0.00039804374733268114;Cl
17.35;0.0003978850709301177;Mo rayleigh scattering
17.2;0.00039567911061157276;Mo compton scattering
17.255;0.0003955502491594271;Mo rayleigh scattering
1.738;0.0003950847645840682;Si
1.748;0.0003930286413839821;Si
17.335;0.0003928762736498632;Mo rayleigh scattering
17.22;0.000392866478614576;Mo rayleigh scattering
17.205;0.0003914349291160307;Mo compton scattering
17.005;0.0003897232874515123;Mo compton scattering
16.915;0.0003892979819171488;Mo compton scattering
3.264;0.0003877818232657017;Ca ka
17.19;0.0003868103005575551;Mo compton scattering
17.28;0.00038633733273788694;Mo rayleigh scattering
16.8;0.0003843560874071489;Mo compton scattering
16.955;0.0003841774420383139;Mo compton scattering
17.155;0.00038381327953291157;Mo compton scattering
16.965;0.0003818112567982985;Mo compton scattering
17;0.00038161443241926284;Mo compton scattering
17.17;0.00038100765678266514;Mo compton scattering
17.275;0.00038022048020764054;Mo rayleigh scattering
16.995;0.00037921587575546464;Mo compton scattering
17.25;0.000378479583042955;Mo rayleigh scattering
16.905;0.00037822944658596786;Mo compton scattering
17.225;0.00037738008173979865;Mo rayleigh scattering
1.728;0.00037730144329476106;Si
1.723;0.00037691681784660536;Si
16.91;0.00037554556906350413;Mo compton scattering
17.235;0.0003751010898041037;Mo rayleigh scattering
16.98;0.00037380068550950895;Mo compton scattering
16.85;0.0003733191003106079;Mo compton scattering
17.195;0.00037323397333770237;Mo compton scattering
17.1;0.00037171440895382804;Mo compton scattering
17.295;0.0003708402795607086;Mo rayleigh scattering
3.259;0.00036956989396690185;Ca ka
16.845;0.00036946490498888896;Mo compton scattering
1.758;0.0003687107264553074;Si
17.24;0.00036865730941974025;Mo rayleigh scattering
17.215;0.00036828934273226325;Mo rayleigh scattering
17.21;0.0003679968364743572;Mo compton scattering
17.23;0.00036717375348883864;Mo rayleigh scattering
16.985;0.0003671138424959328;Mo compton scattering
16.94;0.00036709010971485014;Mo compton scattering
17.175;0.0003667664955452495;Mo compton scattering
16.895;0.00036656766942876805;Mo compton scattering
17.16;0.00036544269022028344;Mo compton scattering
16.855;0.00036442244795611376;Mo compton scattering
17.505;0.0003636637667395712;Mo rayleigh scattering
16.92;0.00036256164297911284;Mo compton scattering
16.97;0.00036209609764703007;Mo compton scattering
17.495;0.0003620833789935309;Mo rayleigh scattering
16.865;0.00036150386106749546;Mo compton scattering
17.515;0.00036038859084467733;Mo rayleigh scattering
17.185;0.0003602964203778538;Mo compton scattering
16.835;0.0003589985991651973;Mo compton scattering
16.89;0.00035899368571758465;Mo compton scattering
1.773;0.00035881023292557953;Si
16.96;0.00035834759717014175;Mo compton scattering
1.718;0.0003579597100346296;Si
16.87;0.00035753654875752595;Mo compton scattering
2.728;0.00035733610732784635;Cl
16.825;0.00035412696345039083;Mo compton scattering
16.9;0.00035405526942187184;Mo compton scattering
16.81;0.00035378588536283574;Mo compton scattering
16.93;0.0003534451757675279;Mo compton scattering
16.815;0.00035343543896727603;Mo compton scattering
16.83;0.00035182117944006794;Mo compton scattering
3.369;0.000349040348487478;Ca ka
3.254;0.0003487371167743688;Ca ka
16.82;0.0003469546455910193;Mo compton scattering
17.26;0.0003468579325141137;Mo rayleigh scattering
6.401;0.00034366696524412704;Fe ka
17.525;0.00034293568905197324;Mo rayleigh scattering
16.74;0.00034248772835868856;Mo compton scattering
6.386;0.0003402752160196747;Fe ka
17.52;0.0003392452602054291;Mo rayleigh scattering
2.518;0.0003392423602417227;Cl
6.396;0.0003381564574419002;Fe ka
1.768;0.000336603063050484;Si
16.875;0.00033651162599141805;Mo compton scattering
16.925;0.0003351994338807145;Mo compton scattering
16.79;0.0003318836616840625;Mo compton scattering
16.785;0.00033119706514540825;Mo compton scattering
17.53;0.0003303516921681885;Mo rayleigh scattering
16.86;0.0003260619865472058;Mo compton scattering
1.713;0.00032565397272298475;Si
16.935;0.00032373384222069253;Mo compton scattering
16.88;0.0003218842358071911;Mo compton scattering
6.406;0.000321362723891191;Fe ka
6.421;0.00032088132389146765;Fe ka
16.765;0.0003207938026143952;Mo compton scattering
2.733;0.00031964365889872523;Cl
16.885;0.00031780730839247836;Mo compton scattering
16.72;0.00031761808534682437;Mo compton scattering
16.714;0.0003162525968252724;Mo compton scattering
16.76;0.0003156845298151685;Mo compton scattering
16.694;0.0003133390839682699;Mo compton scattering
3.249;0.0003126994694346171;Ca ka
16.659;0.0003114526184243982;Mo compton scattering
6.416;0.00031122872784938724;Fe ka
6.376;0.00031058762331497854;Fe ka
16.755;0.0003100405522674524;Mo compton scattering
16.689;0.0003098178112207849;Mo compton scattering
16.745;0.0003098102647523894;Mo compton scattering
3.379;0.0003090858895823684;Ca ka
16.699;0.00030891685864538055;Mo compton scattering
17.51;0.00030876734447349573;Mo rayleigh scattering
1.778;0.00030853546742196775;Si
16.795;0.0003079665884717777;Mo compton scattering
16.78;0.00030631903835441854;Mo compton scattering
16.73;0.000306252324886025;Mo compton scattering
6.426;0.0003059109613103591;Fe ka
16.735;0.00030562748315313837;Mo compton scattering
16.674;0.00030402368813011994;Mo compton scattering
16.775;0.0003037255114874507;Mo compton scattering
6.366;0.00030196674326126664;Fe ka
16.725;0.00030169304950459716;Mo compton scattering
16.84;0.0002992476154691348;Mo compton scattering
1.763;0.00029819378296447;Si
17.54;0.0002966856889300059;Mo rayleigh scattering
16.679;0.00029536295990310955;Mo compton scattering
16.77;0.00029536175492365127;Mo compton scattering
3.374;0.0002950421529217295;Ca ka
6.431;0.00029458972239086267;Fe ka
6.391;0.00029330771520838625;Fe ka
6.371;0.0002916350176198308;Fe ka
16.75;0.00029129545336135;Mo compton scattering
17.545;0.00028963116204876193;Mo rayleigh scattering
6.411;0.0002881370333912427;Fe ka
16.684;0.00028781279758606195;Mo compton scattering
16.805;0.00028646716474861123;Mo compton scattering
16.704;0.00028590929712209547;Mo compton scattering
16.644;0.0002838026766066063;Mo compton scattering
1.702;0.0002823852358154826;Si
17.535;0.0002818425745634051;Mo rayleigh scattering
6.436;0.00028112039731401447;Fe ka
2.513;0.00028056187524638483;Cl
16.649;0.0002786607647859743;Mo compton scattering
1.783;0.0002776995994382124;Si
16.609;0.0002769305861153972;Mo compton scattering
16.614;0.0002753230676332386;Mo compton scattering
3.244;0.00027179399032724273;Ca ka
6.381;0.0002711750766818411;Fe ka
16.604;0.0002707324135047259;Mo compton scattering
1.708;0.0002691719119230416;Si
16.709;0.0002672227272991825;Mo compton scattering
6.361;0.0002671420647054118;Fe ka
16.664;0.00026615152654350504;Mo compton scattering
2.823;0.00026435629921034225;Cl
2.833;0.0002636656522927088;Cl
3.384;0.0002622537784810051;Ca ka
16.594;0.000262190979943642;Mo compton scattering
16.654;0.0002618922198401492;Mo compton scattering
17.55;0.00026064610718749663;Mo rayleigh scattering
2.798;0.00025966399828412066;Cl
6.441;0.0002591869444723155;Fe ka
16.669;0.00025822584348113753;Mo compton scattering
16.629;0.00025787066924360866;Mo compton scattering
16.559;0.0002575746413081452;Mo compton scattering
6.446;0.0002571935118446829;Fe ka
2.838;0.00025672820806109674;Cl
16.589;0.0002549336622533006;Mo compton scattering
16.619;0.0002546040290183881;Mo compton scattering
16.639;0.0002541015903577772;Mo compton scattering
16.574;0.000253499753001301;Mo compton scattering
16.634;0.00025335983585419037;Mo compton scattering
16.624;0.00025159131136599756;Mo compton scattering
16.554;0.00024907028738084693;Mo compton scattering
16.599;0.00024900136576603546;Mo compton scattering
2.828;0.0002470015024245641;Cl
6.356;0.0002442969143954199;Fe ka
17.56;0.0002441632411334693;Mo rayleigh scattering
3.239;0.00024370935852008826;Ca ka
16.569;0.00024359662690930073;Mo compton scattering
17.555;0.0002432984695383106;Mo rayleigh scattering
2.818;0.00024322343982938408;Cl
2.783;0.00024260603733151733;Cl
2.808;0.00024210952632394058;Cl
6.346;0.00024191139941369036;Fe ka
2.793;0.0002417584091022859;Cl
17.565;0.0002415982969219218;Mo rayleigh scattering
6.351;0.00024062726739819065;Fe ka
2.813;0.0002393631323555696;Cl
16.494;0.00023594774765060088;Mo compton scattering
2.843;0.00023410471479007487;Cl
2.788;0.00023307443704043262;Cl
2.748;0.0002330546178850854;Cl
2.803;0.00023114911578713215;Cl
1.692;0.0002305055370196222;Si
16.544;0.00022931737769961582;Mo compton scattering
3.389;0.00022923077909745406;Ca ka
2.778;0.00022798915007750023;Cl
6.451;0.00022481547912074897;Fe ka
16.534;0.0002241665514825659;Mo compton scattering
16.479;0.0002229657583453232;Mo compton scattering
17.57;0.0002228186291826131;Mo rayleigh scattering
1.697;0.00022214833921128761;Si
1.793;0.00022209495858699688;Si
16.529;0.00022179821584927565;Mo compton scattering
2.738;0.00022040318983024076;Cl
16.564;0.00021940212829686857;Mo compton scattering
16.549;0.00021927816872650716;Mo compton scattering
16.514;0.00021834063047773054;Mo compton scattering
1.788;0.00021741909707299043;Si
16.539;0.00021687547526684313;Mo compton scattering
3.234;0.00021613026562966988;Ca ka
16.489;0.0002143661018564268;Mo compton scattering
2.758;0.0002138066170867253;Cl
16.469;0.00021379715282092334;Mo compton scattering
6.456;0.0002119129389142731;Fe ka
16.519;0.00021151004660557767;Mo compton scattering
16.499;0.00021111308326523119;Mo compton scattering
16.504;0.00021054103135342608;Mo compton scattering
2.508;0.00020998967042991576;Cl
16.484;0.00020915671899827504;Mo compton scattering
6.336;0.00020709717720958083;Fe ka
16.584;0.0002063597768878489;Mo compton scattering
17.58;0.00020576292729636669;Mo rayleigh scattering
2.753;0.00020564938343264728;Cl
16.474;0.00020562213239174078;Mo compton scattering
2.743;0.00020518379032530274;Cl
16.524;0.00020404687175993528;Mo compton scattering
6.461;0.0002023156744443103;Fe ka
6.341;0.00020098008508627317;Fe ka
2.763;0.0002005955743747684;Cl
6.331;0.0002005343381693293;Fe ka
2.773;0.00019995594283233985;Cl
17.575;0.0001986189926291324;Mo rayleigh scattering
2.503;0.00019802929220539552;Cl
16.449;0.00019723432550191678;Mo compton scattering
3.394;0.0001971537514091599;Ca ka
16.579;0.0001965141932057315;Mo compton scattering
16.429;0.0001953346211635315;Mo compton scattering
6.466;0.00019426059994462363;Fe ka
2.853;0.000193927079445416;Cl
16.439;0.00019290729837305034;Mo compton scattering
2.768;0.00019021937413488886;Cl
1.687;0.0001893870885698026;Si
8.038;0.00018896696764819507;Cu
16.389;0.0001865397795599648;Mo compton scattering
16.464;0.00018647571439129774;Mo compton scattering
16.509;0.00018635486691073212;Mo compton scattering
16.424;0.00018631612466655067;Mo compton scattering
16.459;0.0001861728323614156;Mo compton scattering
16.404;0.0001861702162985197;Mo compton scattering
16.444;0.00018318696922138236;Mo compton scattering
2.848;0.00018097348057967888;Cl
3.229;0.00018077113498254807;Ca ka
16.419;0.0001779060504940415;Mo compton scattering
8.043;0.00017673597853910318;Cu
6.471;0.00017591763826458896;Fe ka
16.394;0.00017536458076487915;Mo compton scattering
16.399;0.00017500146998768295;Mo compton scattering
8.023;0.00017435945921443142;Cu
1.798;0.00017385432747744556;Si
17.595;0.00017352651595392888;Mo rayleigh scattering
16.414;0.00017283617440152767;Mo compton scattering
16.409;0.00017269701178946193;Mo compton scattering
8.013;0.00017153868299836562;Cu
16.454;0.00017122897472010334;Mo compton scattering
8.003;0.00016940460881509708;Cu
16.434;0.00016857127153033124;Mo compton scattering
6.326;0.00016625622011267097;Fe ka
8.008;0.00016546529405475952;Cu
1.682;0.00016283303241571576;Si
17.585;0.00016264849963130434;Mo rayleigh scattering
16.379;0.00016167233474014697;Mo compton scattering
16.349;0.00016098591347389144;Mo compton scattering
8.028;0.00015972822198491308;Cu
8.058;0.00015971142439063466;Cu
16.384;0.0001596738387855151;Mo compton scattering
8.053;0.00015931703113564486;Cu
17.59;0.00015781202106481728;Mo rayleigh scattering
3.399;0.00015741885108127608;Ca ka
8.033;0.00015700719791006545;Cu
16.354;0.00015520642709997877;Mo compton scattering
17.6;0.00015437555259960656;Mo rayleigh scattering
7.998;0.00015415014012985963;Cu
6.321;0.00015414787575465351;Fe ka
8.063;0.00015295091117644078;Cu
3.224;0.00015286964757505386;Ca ka
8.018;0.00015227079103793717;Cu
16.364;0.00015226737838258764;Mo compton scattering
2.868;0.00015119868192394934;Cl
2.863;0.00015083367791590295;Cl
1.808;0.00015072185356613589;Si
2.858;0.000150709351942799;Cl
1.803;0.00014773733284557657;Si
16.374;0.0001459563298029698;Mo compton scattering
16.369;0.00014487870816252803;Mo compton scattering
16.359;0.00014461463557998265;Mo compton scattering
8.068;0.000142950348869999;Cu
6.476;0.00014268389811784922;Fe ka
16.319;0.00014227401705470011;Mo compton scattering
16.344;0.00014224956345304995;Mo compton scattering
7.993;0.00014205436924255376;Cu
16.339;0.00013985975224150448;Mo compton scattering
17.61;0.00013925708317575168;Mo rayleigh scattering
1.677;0.00013918344775945056;Si
7.988;0.00013893966940468425;Cu
6.481;0.00013785646702850618;Fe ka
8.048;0.00013700640034818734;Cu
16.334;0.00013695165903587406;Mo compton scattering
8.073;0.00013548365121186345;Cu
6.316;0.00013461628642571333;Fe ka
1.813;0.00013219559597268515;Si
2.493;0.00013217975481825804;Cl
16.304;0.00013171117883430705;Mo compton scattering
7.983;0.00013091052202953267;Cu
2.498;0.00013067876456274895;Cl
16.309;0.00013064461288055373;Mo compton scattering
8.083;0.00012896518007568536;Cu
6.486;0.00012859494343610945;Fe ka
3.404;0.00012743338600499488;Ca ka
2.873;0.00012739157772744146;Cl
7.978;0.00012729993323508292;Cu
16.314;0.00012625511171703675;Mo compton scattering
16.324;0.00012541597871961317;Mo compton scattering
16.289;0.00012499830085328266;Mo compton scattering
16.329;0.0001249875183097897;Mo compton scattering
16.294;0.00012428314676878516;Mo compton scattering
8.088;0.00012410648269088118;Cu
6.311;0.00012349722047238986;Fe ka
16.279;0.00012334633927938912;Mo compton scattering
2.878;0.00012196034409052581;Cl
16.299;0.00012178978237793614;Mo compton scattering
8.078;0.0001211910482297357;Cu
1.672;0.0001193431403433004;Si
17.605;0.00011924240451498015;Mo rayleigh scattering
17.615;0.00011877063126627927;Mo rayleigh scattering
3.219;0.00011610252028985801;Ca ka
3.409;0.00011415545574111518;Ca ka
16.239;0.00011219456694124673;Mo compton scattering
7.973;0.00011105789973209123;Cu
16.254;0.00011078289866069634;Mo compton scattering
16.259;0.00011056184241277046;Mo compton scattering
16.274;0.0001099403765979635;Mo compton scattering
16.249;0.00010905227376401182;Mo compton scattering
16.264;0.0001088509410158832;Mo compton scattering
2.488;0.00010862302442501738;Cl
16.284;0.00010758207349080384;Mo compton scattering
16.269;0.00010694383742704605;Mo compton scattering
8.098;0.00010670546079346734;Cu
6.306;0.00010573653061552924;Fe ka
17.625;0.00010545720914981794;Mo rayleigh scattering
17.63;0.0001026745232309534;Mo rayleigh scattering
7.963;0.00010209511648998303;Cu
17.62;0.00010114681623011079;Mo rayleigh scattering
6.491;9.916956282436095e-05;Fe ka
1.667;9.877882373883007e-05;Si
2.883;9.854524769871908e-05;Cl
8.093;9.843296524230138e-05;Cu
1.818;9.739248509420483e-05;Si
6.301;9.520029957459696e-05;Fe ka
16.224;9.432535679803245e-05;Mo compton scattering
16.234;9.410031750787128e-05;Mo compton scattering
16.209;9.3452262136139e-05;Mo compton scattering
16.229;9.34230498488321e-05;Mo compton scattering
3.209;9.25885667683498e-05;Ca ka
8.103;9.242696130575944e-05;Cu
7.968;9.238254081713981e-05;Cu
16.219;9.155216099390428e-05;Mo compton scattering
2.483;9.081257729629501e-05;Cl
7.957;9.050196237574815e-05;Cu
1.823;9.01949155875549e-05;Si
16.244;9.003391932477002e-05;Mo compton scattering
8.108;8.9729149730581e-05;Cu
3.414;8.901005936125128e-05;Ca ka
6.296;8.875735500690563e-05;Fe ka
8.648;8.75916341372933e-05;Zn ka
8.608;8.712567613107148e-05;Zn ka
16.204;8.702438452028439e-05;Mo compton scattering
8.628;8.698284437061165e-05;Zn ka
3.214;8.68606562405879e-05;Ca ka
8.613;8.492407630002908e-05;Zn ka
17.64;8.4230668748869e-05;Mo rayleigh scattering
16.174;8.411024971157955e-05;Mo compton scattering
6.501;8.409304714330999e-05;Fe ka
8.633;8.351092938676007e-05;Zn ka
16.214;8.264140665265007e-05;Mo compton scattering
8.623;8.20407624141154e-05;Zn ka
8.583;8.201557728078302e-05;Zn ka
8.593;8.162114351193249e-05;Zn ka
2.888;8.116704086920134e-05;Cl
17.635;8.051706120761703e-05;Mo rayleigh scattering
8.638;8.025800675090844e-05;Zn ka
8.643;7.976523534395052e-05;Zn ka
8.598;7.963301107274735e-05;Zn ka
16.194;7.885111179132444e-05;Mo compton scattering
7.952;7.879338104001165e-05;Cu
1.662;7.878422129054551e-05;Si
6.496;7.86413906478054e-05;Fe ka
8.618;7.73326832052822e-05;Zn ka
16.164;7.663404022931463e-05;Mo compton scattering
8.658;7.612584518434517e-05;Zn ka
8.663;7.551255802283561e-05;Zn ka
6.291;7.506047501099254e-05;Fe ka
7.947;7.482515768855959e-05;Cu
8.668;7.45924854600364e-05;Zn ka
3.204;7.24402324381521e-05;Ca ka
2.893;7.167884455486639e-05;Cl
2.478;7.151131057706294e-05;Cl
16.199;7.08374875570209e-05;Mo compton scattering
16.179;7.079123143833e-05;Mo compton scattering
16.169;7.021628317372619e-05;Mo compton scattering
8.113;7.001092337510716e-05;Cu
8.603;6.997615898331766e-05;Zn ka
8.653;6.992353216430203e-05;Zn ka
16.189;6.976869516692862e-05;Mo compton scattering
1.657;6.847939258663194e-05;Si
6.506;6.844627640661927e-05;Fe ka
8.588;6.836540587563367e-05;Zn ka
17.65;6.782674606246064e-05;Mo rayleigh scattering
8.578;6.782212853000358e-05;Zn ka
3.589;6.754796680812958e-05;Ca ka
7.942;6.702514629377354e-05;Cu
8.573;6.66550200726026e-05;Zn ka
8.568;6.652679851951804e-05;Zn ka
1.828;6.594857659271646e-05;Si
8.563;6.579711771942688e-05;Zn ka
16.149;6.563006111491254e-05;Mo compton scattering
6.286;6.514533930272226e-05;Fe ka
8.673;6.509146599447191e-05;Zn ka
3.564;6.475714109883234e-05;Ca ka
16.154;6.464620519056397e-05;Mo compton scattering
3.419;6.4557874014172e-05;Ca ka
3.594;6.440267577934767e-05;Ca ka
7.937;6.439479100151501e-05;Cu
17.645;6.409185951917562e-05;Mo rayleigh scattering
1.833;6.320639797620142e-05;Si
16.159;6.232544261935202e-05;Mo compton scattering
17.655;6.217379349408214e-05;Mo rayleigh scattering
16.144;6.207990780226013e-05;Mo compton scattering
3.579;6.167114426847298e-05;Ca ka
16.184;6.165709380939777e-05;Mo compton scattering
16.134;6.135342681068778e-05;Mo compton scattering
8.118;6.122743597803793e-05;Cu
