Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Cl > 469.27;12.01116132071764;Cl;469.27;>;61365.9068686235;12.0;46.020413441254334;Cl > 61365.906869
K > 252.13;11.648318129092708;K;252.13;>;10612.220970907123;18.0;16.364741765558932;K > 10612.220971
K > -110.11;9.34651903877063;K;-110.11;>;-5332.716136632811;11.0;4.352975736681316;K > -5332.716137
Ca ka > 297.86;6.714458339190152;Ca ka;297.86;>;11304.652968598548;18.0;20.706830240283182;Ca ka > 11304.652969
Mo rayleigh scattering > 437.35;6.640572339886581;Mo rayleigh scattering;437.35;>;49369.15965344042;13.0;41.288153756139025;Mo rayleigh scattering > 49369.159653
Cl > -248.31;5.607959446830589;Cl;-248.31;>;-37691.10672489749;6.0;7.886095028969521;Cl > -37691.106725
K > -188.10;5.22531582368631;K;-188.10;>;-7893.2031389501135;1.0;8.53906878912693;K > -7893.203139
Ca ka > -117.62;4.4535904219378954;Ca ka;-117.62;>;-4968.251357633553;13.0;0.8226884109107147;Ca ka > -4968.251358
Cl > -775.66;4.2655696241996495;Cl;-775.66;>;-108609.80775937211;18.0;32.73112929561421;Cl > -108609.807759
Cl > -929.12;4.2017807727013805;Cl;-929.12;>;-135662.58747006572;2.0;0.3904352419907582;Cl > -135662.587470
K > -218.79;3.952262916183793;K;-218.79;>;-9987.567513268898;20.0;0.4782989653720051;K > -9987.567513
Mo rayleigh scattering > -54.62;3.431543384364373;Mo rayleigh scattering;-54.62;>;-9584.077560185402;6.0;27.924869031484015;Mo rayleigh scattering > -9584.077560
Ca ka > -200.83;3.36332029116243;Ca ka;-200.83;>;-8146.902345802232;1.0;3.65575559560466;Ca ka > -8146.902346
Mo compton scattering > 878.85;3.2467202225617156;Mo compton scattering;878.85;>;90700.4033787891;7.0;26.658486228308902;Mo compton scattering > 90700.403379
Fe ka > 51.04;3.21977164652617;Fe ka;51.04;>;1329.0630404483175;1.0;13.42648371269977;Fe ka > 1329.063040
