SVM_pvector;Shap;Permutation;LRC_perturbation;LRC_covariance
Fe ka;background3;Fe ka;Si;Fe ka
Ca ka;Al;Ca ka;Ca ka;Ca ka
Si;P;K;Fe ka;Si
K;S;Si;K;K
Ca kb;Rh L + Ar;Rh L + Ar;Rh L + Ar;Ti ka
Ti ka;Si;Ca kb;Ti ka;Fe kb
Fe kb;K;Ti ka;Ca kb;Rh L + Ar
Rh L + Ar;Ca ka;Fe kb;Fe kb;Ca kb
P;Ti ka;P;background3;background3
S;Ca kb;Mn;background2;Compton scattering
sum Fe;background1;S;P;sum Fe
Al;Mn;Al;Mn;Rayleight scattering
Ti kb;Fe ka;sum Fe;S;Al
Ni;Ti kb;Ni;Compton scattering;background2
Mn;Fe kb;Ti kb;sum Fe;Ti kb
Compton scattering;Ni;background2;Al;P
background2;Zn;Compton scattering;Rayleight scattering;Mn
Rayleight scattering;Cu;Zn;Ni;Zn
Zn;background2;background3;Ti kb;Cu
background3;sum Fe;Rayleight scattering;Cu;S
background1;Compton scattering;Cu;background1;Ni
Cu;Rayleight scattering;background1;Zn;background1
;;;;
