Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > -3.05;17.905185013504088;Fe ka;-3.05;>;-11.993966880702649;102.0;0.012499393223803779;Fe ka > -11.993967
Fe ka > -3.74;12.527011784660871;Fe ka;-3.74;>;-14.394181251840102;68.0;0.017161956303946457;Fe ka > -14.394181
Fe ka > -2.26;6.033020820448077;Fe ka;-2.26;>;-8.58546050097711;77.0;0.009247464592413213;Fe ka > -8.585461
Ca ka <= 3.95;5.059377120979725;Ca ka;3.95;<=;24.763583327192777;89.0;0.045885137807916365;Ca ka <= 24.763583
Si > -2.51;4.822650060405747;Si;-2.51;>;-6.726366570294855;45.0;0.014243412985784687;Si > -6.726367
Si > -1.67;4.090026374157529;Si;-1.67;>;-4.200921971374994;133.0;0.023526701651313875;Si > -4.200922
K > -6.69;4.073433586689836;K;-6.69;>;-65.67127243680326;79.0;0.023761074077503608;K > -65.671272
K <= 6.26;3.7045138975557363;K;6.26;<=;61.25240998228667;132.0;0.032623268699308205;K <= 61.252410
Ca ka <= 1.77;3.2516977032902683;Ca ka;1.77;<=;11.953266047042456;82.0;0.013408141473519208;Ca ka <= 11.953266
K > -1.46;2.629562699481817;K;-1.46;>;-12.506148277232192;111.0;0.014009806674556424;K > -12.506148
Si > -0.72;2.116202438267573;Si;-0.72;>;-2.0870435188728536;129.0;0.038926204739391124;Si > -2.087044
Ti ka > -0.70;1.7590208616514624;Ti ka;-0.70;>;-1.2555888977833012;69.0;0.000298890817404196;Ti ka > -1.255589
Ca ka > -4.65;1.729995010700743;Ca ka;-4.65;>;-28.611834952528667;28.0;0.009804402998741857;Ca ka > -28.611835
Fe kb > -0.44;1.607539211886124;Fe kb;-0.44;>;-1.1968743340560488;106.0;3.310615051627108e-05;Fe kb > -1.196874
Fe kb > -0.91;1.5511057721180586;Fe kb;-0.91;>;-2.3420698436670193;115.0;0.002003957573475712;Fe kb > -2.342070
Fe kb > -0.63;1.5038608980762218;Fe kb;-0.63;>;-1.6441733943669925;75.0;0.0008051606863018756;Fe kb > -1.644173
Ti ka > -0.86;1.4812383779188658;Ti ka;-0.86;>;-1.5336237195047762;84.0;0.003583558257918673;Ti ka > -1.533624
Rh L + Ar > -1.66;1.3786566035395584;Rh L + Ar;-1.66;>;-6.732787180350088;125.0;0.011318382273834526;Rh L + Ar > -6.732787
Rh L + Ar > -0.16;1.3273486899018436;Rh L + Ar;-0.16;>;-0.695902023385183;50.0;0.01049666460330162;Rh L + Ar > -0.695902
Rh L + Ar > -0.77;1.2941523942391422;Rh L + Ar;-0.77;>;-2.916034566252208;119.0;0.0028541040834674236;Rh L + Ar > -2.916035
Ca kb <= 1.58;1.2910415919017597;Ca kb;1.58;<=;4.061836680596642;89.0;0.036116433825325034;Ca kb <= 4.061837
Ca ka <= -1.50;1.279367098737056;Ca ka;-1.50;<=;-9.476438845769692;94.0;0.08308610644550707;Ca ka <= -9.476439
Ti ka > -0.52;1.231733054327814;Ti ka;-0.52;>;-0.9504818431833428;46.0;0.003641478610981297;Ti ka > -0.950482
K <= 2.15;1.2210506023339813;K;2.15;<=;20.676485296774782;90.0;0.022977462102160562;K <= 20.676485
Si <= 3.71;1.2203965584487593;Si;3.71;<=;9.803450679115983;38.0;0.0020019287335877323;Si <= 9.803451
Ca kb <= 0.62;1.1944713860185054;Ca kb;0.62;<=;1.5370779035616946;125.0;0.0320000504201946;Ca kb <= 1.537078
background4 > -0.62;0.9837450700320447;background4;-0.62;>;-1.1804751922823071;21.0;0.005266362607200703;background4 > -1.180475
background4 > 0.14;0.9665490423846248;background4;0.14;>;0.21506238820989568;64.0;0.0021335623983644025;background4 > 0.215062
Compton scattering > 0.05;0.9013552978713991;Compton scattering;0.05;>;0.0742447932455453;83.0;0.0003546346255491953;Compton scattering > 0.074245
K > 2.15;0.8650321696499786;K;2.15;>;20.676485296774782;90.0;0.022977462102160562;K > 20.676485
Fe ka <= 1.10;0.8431932375062181;Fe ka;1.10;<=;3.649761873943752;16.0;0.19274000996863594;Fe ka <= 3.649762
Compton scattering > -0.40;0.82426469799183;Compton scattering;-0.40;>;-0.6947866703015728;111.0;0.0003778109244590433;Compton scattering > -0.694787
Ca kb > -1.81;0.8240407874080634;Ca kb;-1.81;>;-4.698668560972347;5.0;0.005708104010335946;Ca kb > -4.698669
Ca kb <= -0.59;0.8011793785029472;Ca kb;-0.59;<=;-1.5941591829463964;75.0;0.012679298890145851;Ca kb <= -1.594159
background4 > -1.28;0.7611615232789708;background4;-1.28;>;-2.340566542919279;13.0;0.006414727319767888;background4 > -2.340567
sum Fe > -0.28;0.654260365495253;sum Fe;-0.28;>;-0.5661559584258148;32.0;0.0022169424078701816;sum Fe > -0.566156
Compton scattering > -0.88;0.6402701685377111;Compton scattering;-0.88;>;-1.6030918608367635;18.0;0.002428157506323192;Compton scattering > -1.603092
Rayleight scattering > -0.25;0.6083625686736112;Rayleight scattering;-0.25;>;-0.31218510297575797;45.0;0.00033613812251920283;Rayleight scattering > -0.312185
Rayleight scattering > 0.03;0.5924730542574447;Rayleight scattering;0.03;>;0.04444947124001511;104.0;0.0008567271468915422;Rayleight scattering > 0.044449
sum Fe > 0.07;0.5904854914667143;sum Fe;0.07;>;0.126393202934992;116.0;0.0012260877775627788;sum Fe > 0.126393
Al > -0.68;0.5481303495937419;Al;-0.68;>;-0.9046339459882944;79.0;0.008145982668237406;Al > -0.904634
sum Fe > -0.60;0.4979802374679992;sum Fe;-0.60;>;-1.2922138715156246;24.0;0.011870953557516661;sum Fe > -1.292214
Rayleight scattering > -0.50;0.4837799360356685;Rayleight scattering;-0.50;>;-0.6525603456012931;18.0;0.0019127869345287873;Rayleight scattering > -0.652560
K <= -1.46;0.4519674786525857;K;-1.46;<=;-12.506148277232192;111.0;0.014009806674556424;K <= -12.506148
Al > -0.19;0.4237538343738185;Al;-0.19;>;-0.25333580311217485;127.0;0.0022133319055798184;Al > -0.253336
background3 <= -0.49;0.4148101657468154;background3;-0.49;<=;-1.07888753223175;18.0;0.007650971769314174;background3 <= -1.078888
Al <= 0.62;0.4026901522068187;Al;0.62;<=;0.8365147143614386;8.0;0.0024350153973384803;Al <= 0.836515
Ti kb > -0.32;0.39996634381115226;Ti kb;-0.32;>;-0.5106011483493882;66.0;0.0018114898326843654;Ti kb > -0.510601
background3 > 0.36;0.38268288900328074;background3;0.36;>;0.7918422898424655;20.0;0.005666976059611584;background3 > 0.791842
Ti kb > -0.14;0.3722158894042482;Ti kb;-0.14;>;-0.2274956204465049;89.0;0.0002768408231788866;Ti kb > -0.227496
P > -1.23;0.3711815344199545;P;-1.23;>;-2.5403286675679255;54.0;0.0007267226568021812;P > -2.540329
Mn > 0.23;0.36062482601469464;Mn;0.23;>;0.5411343087571148;44.0;9.984208036381559e-05;Mn > 0.541134
Ti kb > 0.03;0.3605625889232744;Ti kb;0.03;>;0.047607513868815815;18.0;0.0013022063099823386;Ti kb > 0.047608
Ti ka <= 0.53;0.357746453687808;Ti ka;0.53;<=;0.9120445600771114;0.0;0.003934583564835226;Ti ka <= 0.912045
background3 <= 0.36;0.3569308129942229;background3;0.36;<=;0.7918422898424655;20.0;0.005666976059611584;background3 <= 0.791842
P > 0.08;0.3513429494996533;P;0.08;>;0.08407736798006613;17.0;0.02824447330073613;P > 0.084077
Mn <= 1.01;0.33950010087039806;Mn;1.01;<=;2.4825645342203364;29.0;0.02934404030307325;Mn <= 2.482565
background4 <= -0.62;0.3278850605691357;background4;-0.62;<=;-1.1804751922823071;21.0;0.005266362607200703;background4 <= -1.180475
P > -0.59;0.32278761832135006;P;-0.59;>;-1.3194620225167288;26.0;0.004480719681388523;P > -1.319462
background3 > -0.49;0.31511918516470755;background3;-0.49;>;-1.07888753223175;18.0;0.007650971769314174;background3 > -1.078888
P <= 0.08;0.31342403777779515;P;0.08;<=;0.08407736798006613;17.0;0.02824447330073613;P <= 0.084077
P <= -0.59;0.3094757519335891;P;-0.59;<=;-1.3194620225167288;26.0;0.004480719681388523;P <= -1.319462
background3 <= 1.60;0.30851046247100194;background3;1.60;<=;3.5973962360541023;105.0;0.013479816819244483;background3 <= 3.597396
