Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Si > -0.72;25.441010330668238;Si;-0.72;>;-2.08704351887285;129.0;0.03892620473939157;Si > -2.087044
Si > -1.67;18.21759691372889;Si;-1.67;>;-4.20092197137499;133.0;0.02352670165131321;Si > -4.200922
Si > -2.51;13.74359218717145;Si;-2.51;>;-6.726366570294854;45.0;0.014243412985783799;Si > -6.726367
Ca ka <= -1.50;10.201842522012548;Ca ka;-1.50;<=;-9.476438845769698;94.0;0.08308610644550729;Ca ka <= -9.476439
Ca ka <= 1.77;7.31966493354706;Ca ka;1.77;<=;11.95326604704246;82.0;0.01340814147351943;Ca ka <= 11.953266
Ca ka <= 3.95;5.872586097104461;Ca ka;3.95;<=;24.763583327192777;89.0;0.04588513780791725;Ca ka <= 24.763583
Si <= 3.71;5.206499326321202;Si;3.71;<=;9.80345067911598;38.0;0.002001928733585956;Si <= 9.803451
Fe ka > -2.26;4.253742576778508;Fe ka;-2.26;>;-8.585460500977106;77.0;0.009247464592412769;Fe ka > -8.585461
Fe ka > -3.05;2.992053718679981;Fe ka;-3.05;>;-11.993966880702645;102.0;0.01249939322380289;Fe ka > -11.993967
Fe ka > -3.74;1.761127554647922;Fe ka;-3.74;>;-14.39418125184009;68.0;0.01716195630394246;Fe ka > -14.394181
Ca ka > -4.65;1.1658430066505947;Ca ka;-4.65;>;-28.611834952528678;28.0;0.009804402998742745;Ca ka > -28.611835
Si <= -1.67;0.9554626522185994;Si;-1.67;<=;-4.20092197137499;133.0;0.02352670165131321;Si <= -4.200922
K > 2.15;0.8541805783793495;K;2.15;>;20.67648529677476;90.0;0.022977462102161006;K > 20.676485
Ca ka > 1.77;0.8395731805784419;Ca ka;1.77;>;11.95326604704246;82.0;0.01340814147351943;Ca ka > 11.953266
K > -1.46;0.8150339082429336;K;-1.46;>;-12.506148277232212;111.0;0.014009806674556202;K > -12.506148
K <= -1.46;0.7665198981129141;K;-1.46;<=;-12.506148277232212;111.0;0.014009806674556202;K <= -12.506148
Ca ka > -1.50;0.7516393597718991;Ca ka;-1.50;>;-9.476438845769698;94.0;0.08308610644550729;Ca ka > -9.476439
K <= 6.26;0.7504011962900058;K;6.26;<=;61.252409982286686;132.0;0.032623268699308205;K <= 61.252410
Si <= -0.72;0.7328704735781473;Si;-0.72;<=;-2.08704351887285;129.0;0.03892620473939157;Si <= -2.087044
K > -6.69;0.7307438497874231;K;-6.69;>;-65.67127243680328;79.0;0.023761074077500943;K > -65.671272
Rh L + Ar > -0.16;0.6901348562233558;Rh L + Ar;-0.16;>;-0.6959020233851827;50.0;0.01049666460330137;Rh L + Ar > -0.695902
Ca kb <= -0.59;0.645764916220914;Ca kb;-0.59;<=;-1.5932654398903068;75.0;0.011377930620377619;Ca kb <= -1.593265
Fe ka <= 1.10;0.6160362895093933;Fe ka;1.10;<=;3.6497618739437563;16.0;0.19274000996863494;Fe ka <= 3.649762
Rh L + Ar > -0.77;0.5936463305860069;Rh L + Ar;-0.77;>;-2.9160345662522085;119.0;0.0028541040834669795;Rh L + Ar > -2.916035
Ti ka > -0.52;0.5886624976590433;Ti ka;-0.52;>;-0.9504818431833442;46.0;0.003641478610981186;Ti ka > -0.950482
K <= 2.15;0.5822958955813258;K;2.15;<=;20.67648529677476;90.0;0.022977462102161006;K <= 20.676485
Ca kb <= 1.57;0.5523573967992736;Ca kb;1.57;<=;4.061054967503731;89.0;0.027373954966408487;Ca kb <= 4.061055
Ca kb <= 0.62;0.5491061057751712;Ca kb;0.62;<=;1.534383033566584;125.0;0.036219162736439436;Ca kb <= 1.534383
Ti ka > -0.70;0.5306756007533867;Ti ka;-0.70;>;-1.2555888977833012;69.0;0.000298890817404196;Ti ka > -1.255589
Fe ka <= -3.05;0.49663447051437537;Fe ka;-3.05;<=;-11.993966880702645;102.0;0.01249939322380289;Fe ka <= -11.993967
Ti ka > -0.86;0.49323207105150313;Ti ka;-0.86;>;-1.533623719504778;84.0;0.003583558257918451;Ti ka > -1.533624
Fe kb > -0.63;0.48089685133167265;Fe kb;-0.63;>;-1.6441733943669932;75.0;0.0008051606863017646;Fe kb > -1.644173
Fe kb > -0.44;0.46674406108799554;Fe kb;-0.44;>;-1.1968743340560468;106.0;3.3106150516881705e-05;Fe kb > -1.196874
Rh L + Ar > -1.66;0.4340870502997473;Rh L + Ar;-1.66;>;-6.732787180350089;125.0;0.011318382273834304;Rh L + Ar > -6.732787
Fe kb > -0.91;0.40579938550089156;Fe kb;-0.91;>;-2.3420698436670184;115.0;0.002003957573475046;Fe kb > -2.342070
Fe ka <= -2.26;0.3834259195071109;Fe ka;-2.26;<=;-8.585460500977106;77.0;0.009247464592412769;Fe ka <= -8.585461
Ca kb > -1.81;0.2928479025350136;Ca kb;-1.81;>;-4.698081232668004;5.0;0.006701619175047746;Ca kb > -4.698081
Ca kb > 0.62;0.21134920367095553;Ca kb;0.62;>;1.534383033566584;125.0;0.036219162736439436;Ca kb > 1.534383
background2 <= -0.51;0.14445598065800216;background2;-0.51;<=;-1.20382463113724;50.0;0.013257434195656503;background2 <= -1.203825
background3 <= -0.62;0.13805847361688683;background3;-0.62;<=;-1.1804751922823076;21.0;0.005266362607200703;background3 <= -1.180475
Ca kb > -0.59;0.12790399741286218;Ca kb;-0.59;>;-1.5932654398903068;75.0;0.011377930620377619;Ca kb > -1.593265
background3 > 0.14;0.12491566986293298;background3;0.14;>;0.21506238820989576;64.0;0.0021335623983644303;background3 > 0.215062
Rh L + Ar <= 1.37;0.12368623249602177;Rh L + Ar;1.37;<=;5.446537216965358;7.0;0.000935932998315403;Rh L + Ar <= 5.446537
P > 0.08;0.10823333714308198;P;0.08;>;0.0840773679800662;17.0;0.028244473300735956;P > 0.084077
background2 <= 0.35;0.09985065450920902;background2;0.35;<=;0.7843443542302678;46.0;0.018598072486383566;background2 <= 0.784344
background3 <= 0.14;0.0992088114993906;background3;0.14;<=;0.21506238820989576;64.0;0.0021335623983644303;background3 <= 0.215062
background2 > 0.35;0.09898028048048464;background2;0.35;>;0.7843443542302678;46.0;0.018598072486383566;background2 > 0.784344
background2 <= 1.51;0.09785596489939205;background2;1.51;<=;3.4131760783784943;105.0;0.0051677847987812164;background2 <= 3.413176
Rh L + Ar <= -0.77;0.09775259827778573;Rh L + Ar;-0.77;<=;-2.9160345662522085;119.0;0.0028541040834669795;Rh L + Ar <= -2.916035
background3 > -1.28;0.0969783694829319;background3;-1.28;>;-2.34056654291928;13.0;0.006414727319767888;background3 > -2.340567
background2 > -0.51;0.08895605839145657;background2;-0.51;>;-1.20382463113724;50.0;0.013257434195656503;background2 > -1.203825
background2 > -1.35;0.0884200701842925;background2;-1.35;>;-3.0651528709110574;45.0;0.010519907973541853;background2 > -3.065153
background3 > -0.62;0.08731161416867825;background3;-0.62;>;-1.1804751922823076;21.0;0.005266362607200703;background3 > -1.180475
background3 <= 1.47;0.08726850330237468;background3;1.47;<=;2.518417499738527;15.0;0.01705740875082351;background3 <= 2.518417
Mn <= -0.41;0.08679243036704108;Mn;-0.41;<=;-1.1294262453443222;57.0;0.008943642964015952;Mn <= -1.129426
P > -0.59;0.08413486813487057;P;-0.59;>;-1.3194620225167286;26.0;0.004480719681389189;P > -1.319462
Compton scattering > 0.05;0.07867143796156552;Compton scattering;0.05;>;0.07424479324554556;83.0;0.0003546346255491953;Compton scattering > 0.074245
Compton scattering <= -0.40;0.07601236310052242;Compton scattering;-0.40;<=;-0.694786670301573;111.0;0.0003778109244590433;Compton scattering <= -0.694787
Rh L + Ar <= -0.16;0.07513971113782494;Rh L + Ar;-0.16;<=;-0.6959020233851827;50.0;0.01049666460330137;Rh L + Ar <= -0.695902
P <= -0.59;0.07482089414421778;P;-0.59;<=;-1.3194620225167286;26.0;0.004480719681389189;P <= -1.319462
P > -1.23;0.07424136848002832;P;-1.23;>;-2.5403286675679237;54.0;0.0007267226568026253;P > -2.540329
S > 0.09;0.0741667983389204;S;0.09;>;0.27599992342647145;56.0;0.0009275218920755252;S > 0.276000
Mn <= 0.23;0.07287248918293329;Mn;0.23;<=;0.5411343087571164;44.0;9.984208036389886e-05;Mn <= 0.541134
Mn > 0.23;0.06887563436844855;Mn;0.23;>;0.5411343087571164;44.0;9.984208036389886e-05;Mn > 0.541134
S > -0.27;0.06545678814725217;S;-0.27;>;-0.49147560856238;74.0;0.0031151162292878953;S > -0.491476
Ti ka <= 0.53;0.06459915306776541;Ti ka;0.53;<=;0.9120445600771135;0.0;0.0039345835648345595;Ti ka <= 0.912045
Ti ka <= -0.70;0.06394491117362494;Ti ka;-0.70;<=;-1.2555888977833012;69.0;0.000298890817404196;Ti ka <= -1.255589
Compton scattering > -0.40;0.06390741743925642;Compton scattering;-0.40;>;-0.694786670301573;111.0;0.0003778109244590433;Compton scattering > -0.694787
Mn <= 1.01;0.06380280582146855;Mn;1.01;<=;2.4825645342203386;29.0;0.029344040303074026;Mn <= 2.482565
S > -0.55;0.061947611762266874;S;-0.55;>;-1.0580910709463294;103.0;0.014153589906226283;S > -1.058091
Compton scattering > -0.88;0.06174412380971043;Compton scattering;-0.88;>;-1.6030918608367637;18.0;0.002428157506323192;Compton scattering > -1.603092
P <= 1.06;0.06012214535499673;P;1.06;<=;2.3073504593751384;74.0;0.007395718915407246;P <= 2.307350
