model;method;k;mask_mode;f1_original;f1_masked;f1_drop;acc_original;acc_masked;acc_drop;probability_shift;zones_removed
svm;SMX;1;zero;0.84472;0.63213;0.212591;0.843478;0.634783;0.208696;0.185231;Ag La
svm;SMX;2;zero;0.84472;0.583272;0.261448;0.843478;0.6;0.243478;0.260661;"Ag La; Ag Lb"
svm;SMX;3;zero;0.84472;0.323909;0.520811;0.843478;0.434783;0.408696;0.395477;"Ag La; Ag Lb; Ag ka"
svm;SMX;4;zero;0.84472;0.274712;0.570008;0.843478;0.408696;0.434783;0.412145;"Ag La; Ag Lb; Ag ka; Ag compton"
svm;SMX;5;zero;0.84472;0.274712;0.570008;0.843478;0.408696;0.434783;0.415644;"Ag La; Ag Lb; Ag ka; Ag compton; Zn"
svm;SMX;6;zero;0.84472;0.239974;0.604746;0.843478;0.391304;0.452174;0.42111;"Ag La; Ag Lb; Ag ka; Ag compton; Zn; Fe"
svm;SMX;7;zero;0.84472;0.203522;0.641198;0.843478;0.373913;0.469565;0.506073;"Ag La; Ag Lb; Ag ka; Ag compton; Zn; Fe; Bremsstrahlung"
svm;SMX;8;zero;0.84472;0.203522;0.641198;0.843478;0.373913;0.469565;0.508896;"Ag La; Ag Lb; Ag ka; Ag compton; Zn; Fe; Bremsstrahlung; Ca"
svm;SMX;9;zero;0.84472;0.203522;0.641198;0.843478;0.373913;0.469565;0.517343;"Ag La; Ag Lb; Ag ka; Ag compton; Zn; Fe; Bremsstrahlung; Ca; background"
svm;SMX;10;zero;0.84472;0.203522;0.641198;0.843478;0.373913;0.469565;0.524193;"Ag La; Ag Lb; Ag ka; Ag compton; Zn; Fe; Bremsstrahlung; Ca; background; Cu"
svm;SHAP;1;zero;0.84472;0.63213;0.212591;0.843478;0.634783;0.208696;0.185231;Ag La
svm;SHAP;2;zero;0.84472;0.369978;0.474743;0.843478;0.46087;0.382609;0.323346;"Ag La; Ag ka"
svm;SHAP;3;zero;0.84472;0.323909;0.520811;0.843478;0.434783;0.408696;0.395477;"Ag La; Ag ka; Ag Lb"
svm;SHAP;4;zero;0.84472;0.274712;0.570008;0.843478;0.408696;0.434783;0.412145;"Ag La; Ag ka; Ag Lb; Ag compton"
svm;SHAP;5;zero;0.84472;0.203522;0.641198;0.843478;0.373913;0.469565;0.501115;"Ag La; Ag ka; Ag Lb; Ag compton; Bremsstrahlung"
svm;SHAP;6;zero;0.84472;0.203522;0.641198;0.843478;0.373913;0.469565;0.504132;"Ag La; Ag ka; Ag Lb; Ag compton; Bremsstrahlung; Zn"
svm;SHAP;7;zero;0.84472;0.203522;0.641198;0.843478;0.373913;0.469565;0.506073;"Ag La; Ag ka; Ag Lb; Ag compton; Bremsstrahlung; Zn; Fe"
svm;SHAP;8;zero;0.84472;0.203522;0.641198;0.843478;0.373913;0.469565;0.513579;"Ag La; Ag ka; Ag Lb; Ag compton; Bremsstrahlung; Zn; Fe; Cu"
svm;SHAP;9;zero;0.84472;0.203522;0.641198;0.843478;0.373913;0.469565;0.516257;"Ag La; Ag ka; Ag Lb; Ag compton; Bremsstrahlung; Zn; Fe; Cu; Ca"
svm;SHAP;10;zero;0.84472;0.203522;0.641198;0.843478;0.373913;0.469565;0.524193;"Ag La; Ag ka; Ag Lb; Ag compton; Bremsstrahlung; Zn; Fe; Cu; Ca; background"
svm;Permutation;1;zero;0.84472;0.722328;0.122392;0.843478;0.721739;0.121739;0.129832;Ag ka
svm;Permutation;2;zero;0.84472;0.369978;0.474743;0.843478;0.46087;0.382609;0.323346;"Ag ka; Ag La"
svm;Permutation;3;zero;0.84472;0.323909;0.520811;0.843478;0.434783;0.408696;0.395477;"Ag ka; Ag La; Ag Lb"
svm;Permutation;4;zero;0.84472;0.323909;0.520811;0.843478;0.434783;0.408696;0.398554;"Ag ka; Ag La; Ag Lb; Zn"
svm;Permutation;5;zero;0.84472;0.203522;0.641198;0.843478;0.373913;0.469565;0.491595;"Ag ka; Ag La; Ag Lb; Zn; Bremsstrahlung"
svm;Permutation;6;zero;0.84472;0.203522;0.641198;0.843478;0.373913;0.469565;0.504132;"Ag ka; Ag La; Ag Lb; Zn; Bremsstrahlung; Ag compton"
svm;Permutation;7;zero;0.84472;0.203522;0.641198;0.843478;0.373913;0.469565;0.506073;"Ag ka; Ag La; Ag Lb; Zn; Bremsstrahlung; Ag compton; Fe"
svm;Permutation;8;zero;0.84472;0.203522;0.641198;0.843478;0.373913;0.469565;0.513579;"Ag ka; Ag La; Ag Lb; Zn; Bremsstrahlung; Ag compton; Fe; Cu"
svm;Permutation;9;zero;0.84472;0.203522;0.641198;0.843478;0.373913;0.469565;0.516257;"Ag ka; Ag La; Ag Lb; Zn; Bremsstrahlung; Ag compton; Fe; Cu; Ca"
svm;Permutation;10;zero;0.84472;0.203522;0.641198;0.843478;0.373913;0.469565;0.524193;"Ag ka; Ag La; Ag Lb; Zn; Bremsstrahlung; Ag compton; Fe; Cu; Ca; background"
