Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Ag La <= 2.70;14.582532583576985;Ag La;2.70;<=;34.93503948432681;86.0;0.021418286605097592;Ag La <= 34.935039
Ag Lb <= 2.36;11.947903054659534;Ag Lb;2.36;<=;30.578161867946335;0.0;0.008012762675194907;Ag Lb <= 30.578162
Ag La <= 7.76;9.284146887737828;Ag La;7.76;<=;105.81488607575318;78.0;0.002962923541284468;Ag La <= 105.814886
Ag Lb <= 6.48;7.326852977064067;Ag Lb;6.48;<=;75.49644981449632;98.0;0.013049628841997674;Ag Lb <= 75.496450
Ag La <= 9.01;5.3088447447623714;Ag La;9.01;<=;126.90360743382234;239.0;0.0048005263724526515;Ag La <= 126.903607
Ag Lb <= 8.04;3.252527041559039;Ag Lb;8.04;<=;90.97565161589358;20.0;0.008902278824004739;Ag Lb <= 90.975652
Ag La > -18.52;1.6164044759093086;Ag La;-18.52;>;-258.447799838784;161.0;0.011705018376058973;Ag La > -258.447800
Ag Lb > -15.87;1.1169654920867174;Ag Lb;-15.87;>;-194.32699493561745;146.0;0.11032869035354942;Ag Lb > -194.326995
Ag Lb > 6.48;1.0361778920799671;Ag Lb;6.48;>;75.49644981449632;98.0;0.013049628841997674;Ag Lb > 75.496450
Ag ka <= -7.06;0.9103529739572962;Ag ka;-7.06;<=;-250.57393705511763;70.0;0.012823896618630037;Ag ka <= -250.573937
Ag La > 7.76;0.8413199764374073;Ag La;7.76;>;105.81488607575318;78.0;0.002962923541284468;Ag La > 105.814886
Ag Lb > 2.36;0.8064010852904983;Ag Lb;2.36;>;30.578161867946335;0.0;0.008012762675194907;Ag Lb > 30.578162
Ag ka > 5.37;0.692232184043298;Ag ka;5.37;>;237.87070756307767;139.0;0.0024089099200788056;Ag ka > 237.870708
Ag ka <= 5.37;0.6528164540577666;Ag ka;5.37;<=;237.87070756307767;139.0;0.0024089099200788056;Ag ka <= 237.870708
Ag La > 2.70;0.6527316686343191;Ag La;2.70;>;34.93503948432681;86.0;0.021418286605097592;Ag La > 34.935039
Ag ka > -11.59;0.6262914061584683;Ag ka;-11.59;>;-489.01057540288764;105.0;0.04768632458816313;Ag ka > -489.010575
Ag ka <= 20.95;0.48171972955148556;Ag ka;20.95;<=;815.8725816964688;48.0;0.0722384595069201;Ag ka <= 815.872582
Ag ka > -7.06;0.37023928137430234;Ag ka;-7.06;>;-250.57393705511763;70.0;0.012823896618630037;Ag ka > -250.573937
Ag compton <= -1.09;0.08087347028063921;Ag compton;-1.09;<=;-26.815762054746585;75.0;0.015426775365999124;Ag compton <= -26.815762
Ag compton > 2.96;0.06087872446250508;Ag compton;2.96;>;74.39470058341419;207.0;0.010136869954574745;Ag compton > 74.394701
Ag compton <= 2.96;0.060524093987677566;Ag compton;2.96;<=;74.39470058341419;207.0;0.010136869954574745;Ag compton <= 74.394701
Ag compton <= 6.52;0.056374494569082806;Ag compton;6.52;<=;158.18346835845333;100.0;0.030141366695600524;Ag compton <= 158.183468
Ag compton > -6.71;0.05042021844934304;Ag compton;-6.71;>;-167.57785983835186;39.0;0.07552416180718691;Ag compton > -167.577860
Zn > 0.56;0.04289788790563546;Zn;0.56;>;5.069906061307011;142.0;0.0004756073797986815;Zn > 5.069906
Ag compton > -1.09;0.0388677808918251;Ag compton;-1.09;>;-26.815762054746585;75.0;0.015426775365999124;Ag compton > -26.815762
Fe > 0.31;0.03756404401027141;Fe;0.31;>;3.353626138321644;32.0;0.0037651289308338054;Fe > 3.353626
Bremsstrahlung <= 4.15;0.03747296029673572;Bremsstrahlung;4.15;<=;83.6777418516451;106.0;0.010263855528465982;Bremsstrahlung <= 83.677742
Zn > -0.39;0.037398564797230444;Zn;-0.39;>;0.5654668383858341;210.0;0.002495356378217184;Zn > 0.565467
Zn > -1.47;0.03557382518469699;Zn;-1.47;>;-11.950024642615238;222.0;0.01105499896271489;Zn > -11.950025
Ca > 0.46;0.03550673010267234;Ca;0.46;>;3.5310237106826037;28.0;0.010825949448286631;Ca > 3.531024
Bremsstrahlung <= -1.54;0.03336402269794437;Bremsstrahlung;-1.54;<=;-72.07916823575721;60.0;0.03718389640748887;Bremsstrahlung <= -72.079168
Fe <= 1.20;0.033002342874913757;Fe;1.20;<=;2.8910917025547036;80.0;0.0016484365887581287;Fe <= 2.891092
Ca <= 0.46;0.032147633619535224;Ca;0.46;<=;3.5310237106826037;28.0;0.010825949448286631;Ca <= 3.531024
