energy;Permutation_importance;Zone
22.23;0.025465000081988508;Ag ka
3.02;0.017666375135293965;Ag La
3.05;0.017554179164380443;Ag La
2.99;0.017339773149980496;Ag La
22.28;0.016561986740869374;Ag ka
22.21;0.016473729258415015;Ag ka
21.98;0.015181184445147706;Ag ka
2.97;0.014755385856989872;Ag La
22.08;0.014189199149667991;Ag ka
22.26;0.013920044268019535;Ag ka
21.82;0.013643934759766402;Ag ka
22.36;0.013088556196592707;Ag ka
22.39;0.012862210237730149;Ag ka
21.87;0.011868309846298504;Ag ka
21.95;0.011617252386589038;Ag ka
22.31;0.011486273332015864;Ag ka
22.05;0.01147824407986274;Ag ka
22.03;0.011415193190000127;Ag ka
22.33;0.010994306740329465;Ag ka
22.18;0.010591104125384217;Ag ka
22.00;0.010325063778986716;Ag ka
22.16;0.010137114354596355;Ag ka
22.10;0.010106076968291763;Ag ka
3.07;0.009969871522550813;Ag La
3.17;0.009880169396464467;Ag Lb
3.12;0.009204394777792219;Ag Lb
22.41;0.009178940041647292;Ag ka
22.44;0.008728997803636913;Ag ka
3.20;0.008679521212738187;Ag Lb
3.15;0.008562623792950674;Ag Lb
22.13;0.008466953615204494;Ag ka
21.85;0.008243077806505152;Ag ka
2.94;0.007823466509304076;Ag La
3.22;0.007758899107484804;Ag Lb
3.10;0.007628148402305646;Ag Lb
21.93;0.007287897001184279;Ag ka
21.90;0.006985976732659177;Ag ka
21.80;0.00630201787566423;Ag ka
3.25;0.006098821259148624;Ag Lb
3.28;0.005858661813005875;Ag Lb
21.77;0.005466494430485339;Ag ka
3.33;0.00496844623098088;Ag Lb
22.49;0.004090774297047684;Ag ka
22.46;0.004055226296851315;Ag ka
21.75;0.00400140640044735;Ag ka
8.73;0.003908136868061639;Zn
8.75;0.003878424087261051;Zn
2.92;0.0038131210101505497;Ag La
17.99;0.003784902244120004;Bremsstrahlung
21.41;0.0035356776325850643;Ag compton
6.35;0.0032651396927516423;Fe
20.44;0.003063999686167457;Ag compton
17.65;0.0029792861859969117;Bremsstrahlung
3.30;0.0029188468057232434;Ag Lb
6.42;0.0028849554287750444;Fe
18.93;0.002814269111932427;Bremsstrahlung
8.67;0.002793577604097679;Zn
21.16;0.0027810696843774416;Ag compton
3.38;0.002691702531722554;Ag Lb
12.97;0.0026885867388326675;Bremsstrahlung
18.57;0.002643501735650578;Bremsstrahlung
6.40;0.0026020490937853067;Fe
8.70;0.0025974967962613124;Zn
10.26;0.0025144496881977325;Bremsstrahlung
22.51;0.0024832519143417374;Ag ka
18.27;0.0024678506194869467;Bremsstrahlung
2.89;0.0024552219374714378;Ag La
18.80;0.0024124245506126256;Bremsstrahlung
21.18;0.0023593205805421476;Ag compton
15.71;0.0022488635725309153;Bremsstrahlung
13.10;0.0022297871653412385;Bremsstrahlung
7.80;0.0022001766640414684;Cu
3.89;0.0021402516793574563;Ca
19.80;0.0021293866122608102;Bremsstrahlung
6.45;0.002126996436612852;Fe
13.20;0.002085547595717721;Bremsstrahlung
19.96;0.002075902147912572;Bremsstrahlung
12.13;0.0020629661471533336;Bremsstrahlung
11.23;0.0020619209376568333;Bremsstrahlung
3.43;0.0019953778637491226;Ag Lb
12.69;0.001983160109157047;Bremsstrahlung
13.51;0.001976844979539544;Bremsstrahlung
12.95;0.0019708752519600643;Bremsstrahlung
18.75;0.0019485092655434047;Bremsstrahlung
4.84;0.0019337038330448722;background
21.21;0.0018831644565483047;Ag compton
19.65;0.0018823240973117172;Bremsstrahlung
3.84;0.001861659814676394;Ca
12.31;0.0018468975476229675;Bremsstrahlung
18.29;0.0018061937205959878;Bremsstrahlung
11.21;0.0017883370371361534;Bremsstrahlung
14.12;0.0017854933150549316;Bremsstrahlung
14.56;0.0017820507565614648;Bremsstrahlung
11.10;0.0017762135552097068;Bremsstrahlung
10.11;0.0017609535251721293;Bremsstrahlung
17.04;0.0017601898297153746;Bremsstrahlung
20.49;0.0017516220758516457;Ag compton
16.40;0.0017509291837386996;Bremsstrahlung
11.28;0.0017490786300189006;Bremsstrahlung
15.30;0.001747430794672442;Bremsstrahlung
2.66;0.0017138956609986772;Ag La
11.72;0.0017041843392716252;Bremsstrahlung
17.40;0.0017037807752505116;Bremsstrahlung
11.95;0.0016978220307643603;Bremsstrahlung
4.30;0.001697733601214941;background
21.44;0.0016940134936731257;Ag compton
3.74;0.0016929606595019915;Ca
7.47;0.0016848642231563152;Cu
10.23;0.0016752433865128643;Bremsstrahlung
14.66;0.0016583090044674671;Bremsstrahlung
13.15;0.001653774111556039;Bremsstrahlung
14.05;0.0016478113479537928;Bremsstrahlung
18.55;0.001642871636610816;Bremsstrahlung
2.76;0.0016428437291623442;Ag La
4.81;0.0016422009732949875;background
13.82;0.0016373877871276171;Bremsstrahlung
13.59;0.0016328489591004014;Bremsstrahlung
20.57;0.0016324161929059812;Ag compton
16.14;0.0016274807200234592;Bremsstrahlung
18.50;0.0016240649549805163;Bremsstrahlung
17.60;0.0016088031366270946;Bremsstrahlung
21.13;0.0016072218969530858;Ag compton
10.75;0.001606209460751195;Bremsstrahlung
18.86;0.0016055042567478112;Bremsstrahlung
18.60;0.0015985431085358127;Bremsstrahlung
12.05;0.0015983144936815227;Bremsstrahlung
21.23;0.0015935784838271593;Ag compton
21.34;0.0015870201591108462;Ag compton
8.29;0.0015797992886464284;Cu
20.65;0.0015727751304029929;Ag compton
16.55;0.0015690190072598226;Bremsstrahlung
20.60;0.0015661128614610493;Ag compton
