model;method;k;mask_mode;f1_original;f1_masked;f1_drop;acc_original;acc_masked;acc_drop;probability_shift;zones_removed
svm;SMX;1;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.201158;Fe ka
svm;SMX;2;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.214965;"Fe ka; Ti ka"
svm;SMX;3;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.208881;"Fe ka; Ti ka; Fe kb"
svm;SMX;4;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.229442;"Fe ka; Ti ka; Fe kb; Ca ka"
svm;SMX;5;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.244402;"Fe ka; Ti ka; Fe kb; Ca ka; K"
svm;SMX;6;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.249631;"Fe ka; Ti ka; Fe kb; Ca ka; K; Si"
svm;SMX;7;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.250635;"Fe ka; Ti ka; Fe kb; Ca ka; K; Si; Ti kb"
svm;SMX;8;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.25619;"Fe ka; Ti ka; Fe kb; Ca ka; K; Si; Ti kb; Mn"
svm;SMX;9;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.258632;"Fe ka; Ti ka; Fe kb; Ca ka; K; Si; Ti kb; Mn; Ca kb"
svm;SMX;10;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.259695;"Fe ka; Ti ka; Fe kb; Ca ka; K; Si; Ti kb; Mn; Ca kb; Rh L + Ar"
svm;SMX;11;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.259317;"Fe ka; Ti ka; Fe kb; Ca ka; K; Si; Ti kb; Mn; Ca kb; Rh L + Ar; Zn"
svm;SMX;12;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.259376;"Fe ka; Ti ka; Fe kb; Ca ka; K; Si; Ti kb; Mn; Ca kb; Rh L + Ar; Zn; Backgroun 1"
svm;SMX;13;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.259413;"Fe ka; Ti ka; Fe kb; Ca ka; K; Si; Ti kb; Mn; Ca kb; Rh L + Ar; Zn; Backgroun 1; Backgroun 2"
svm;SMX;14;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.258551;"Fe ka; Ti ka; Fe kb; Ca ka; K; Si; Ti kb; Mn; Ca kb; Rh L + Ar; Zn; Backgroun 1; Backgroun 2; background 3"
svm;SMX;15;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.2586;"Fe ka; Ti ka; Fe kb; Ca ka; K; Si; Ti kb; Mn; Ca kb; Rh L + Ar; Zn; Backgroun 1; Backgroun 2; background 3; sum Fe"
svm;SMX;16;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.258717;"Fe ka; Ti ka; Fe kb; Ca ka; K; Si; Ti kb; Mn; Ca kb; Rh L + Ar; Zn; Backgroun 1; Backgroun 2; background 3; sum Fe; P"
svm;SMX;17;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.259016;"Fe ka; Ti ka; Fe kb; Ca ka; K; Si; Ti kb; Mn; Ca kb; Rh L + Ar; Zn; Backgroun 1; Backgroun 2; background 3; sum Fe; P; S"
svm;SMX;18;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.258991;"Fe ka; Ti ka; Fe kb; Ca ka; K; Si; Ti kb; Mn; Ca kb; Rh L + Ar; Zn; Backgroun 1; Backgroun 2; background 3; sum Fe; P; S; Al"
svm;SMX;19;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.258982;"Fe ka; Ti ka; Fe kb; Ca ka; K; Si; Ti kb; Mn; Ca kb; Rh L + Ar; Zn; Backgroun 1; Backgroun 2; background 3; sum Fe; P; S; Al; Cu"
svm;SHAP;1;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.201158;Fe ka
svm;SHAP;2;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.201379;"Fe ka; P"
svm;SHAP;3;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.204864;"Fe ka; P; Ti kb"
svm;SHAP;4;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.223857;"Fe ka; P; Ti kb; Ca ka"
svm;SHAP;5;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.224963;"Fe ka; P; Ti kb; Ca ka; Rh L + Ar"
svm;SHAP;6;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.225045;"Fe ka; P; Ti kb; Ca ka; Rh L + Ar; background 3"
svm;SHAP;7;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.224688;"Fe ka; P; Ti kb; Ca ka; Rh L + Ar; background 3; Zn"
svm;SHAP;8;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.224845;"Fe ka; P; Ti kb; Ca ka; Rh L + Ar; background 3; Zn; Backgroun 2"
svm;SHAP;9;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.224841;"Fe ka; P; Ti kb; Ca ka; Rh L + Ar; background 3; Zn; Backgroun 2; Cu"
svm;SHAP;10;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.224929;"Fe ka; P; Ti kb; Ca ka; Rh L + Ar; background 3; Zn; Backgroun 2; Cu; sum Fe"
svm;SHAP;11;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.230248;"Fe ka; P; Ti kb; Ca ka; Rh L + Ar; background 3; Zn; Backgroun 2; Cu; sum Fe; Si"
svm;SHAP;12;zero;0.676113;0.333333;0.34278;0.6875;0.5;0.1875;0.230223;"Fe ka; P; Ti kb; Ca ka; Rh L + Ar; background 3; Zn; Backgroun 2; Cu; sum Fe; Si; Al"
