Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > 1.58;12.337209432558012;Fe ka;1.58;>;1.4515920140113339;14.0;0.25111332559149147;Fe ka > 1.451592
Fe ka > -0.08;10.867739171017524;Fe ka;-0.08;>;-0.0812904103564648;10.0;0.011114489601946137;Fe ka > -0.081290
Fe ka <= -1.45;10.243828715969672;Fe ka;-1.45;<=;-1.5543745741332347;5.0;0.042477290622409125;Fe ka <= -1.554375
Fe ka > -0.88;8.259669319758975;Fe ka;-0.88;>;-0.9914985234559682;13.0;0.017103770620658043;Fe ka > -0.991499
Fe ka > -1.45;6.174351630998167;Fe ka;-1.45;>;-1.5543745741332347;5.0;0.042477290622409125;Fe ka > -1.554375
Fe ka <= -0.88;5.894534455455031;Fe ka;-0.88;<=;-0.9914985234559682;13.0;0.017103770620658043;Fe ka <= -0.991499
Fe ka <= 1.58;5.230077950912191;Fe ka;1.58;<=;1.4515920140113339;14.0;0.25111332559149147;Fe ka <= 1.451592
Fe ka <= -0.08;2.8940978085343327;Fe ka;-0.08;<=;-0.0812904103564648;10.0;0.011114489601946137;Fe ka <= -0.081290
Ti ka <= -0.32;2.04051491090274;Ti ka;-0.32;<=;-0.09842963818100776;21.0;0.031936564174732396;Ti ka <= -0.098430
Fe kb <= -0.56;1.5455122117142184;Fe kb;-0.56;<=;-0.24300188045949933;5.0;0.015457762388983332;Fe kb <= -0.243002
Ca ka <= -0.15;1.4504352883488894;Ca ka;-0.15;<=;-0.024299125933842498;12.0;0.00460769305994943;Ca ka <= -0.024299
K > 0.12;1.4220444655058964;K;0.12;>;0.026878222835637126;27.0;0.0023345226311138473;K > 0.026878
Ti ka <= -0.08;1.2853021189260985;Ti ka;-0.08;<=;-0.025819890358524663;13.0;0.0032162379860192353;Ti ka <= -0.025820
Ca ka > 0.12;1.2835064888182057;Ca ka;0.12;>;0.020927824124105317;0.0;0.00019234492631896305;Ca ka > 0.020928
Fe kb > 0.62;1.2709686314536492;Fe kb;0.62;>;0.23330833055269384;14.0;0.09554818238783613;Fe kb > 0.233308
Fe kb > -0.03;1.2440823573707345;Fe kb;-0.03;>;-0.012516620305442497;10.0;0.003213837769753383;Fe kb > -0.012517
Fe kb <= -0.34;1.2004996068191507;Fe kb;-0.34;<=;-0.15598691417664745;13.0;0.009647793164168972;Fe kb <= -0.155987
Ti ka <= 0.04;1.031806395729439;Ti ka;0.04;<=;0.014014316269441222;31.0;0.0007554219525063438;Ti ka <= 0.014014
Fe kb <= 0.62;1.0300464375369556;Fe kb;0.62;<=;0.23330833055269384;14.0;0.09554818238783613;Fe kb <= 0.233308
Fe kb <= -0.03;1.0213681839138613;Fe kb;-0.03;<=;-0.012516620305442497;10.0;0.003213837769753383;Fe kb <= -0.012517
Ca ka <= 0.05;1.0154372427751084;Ca ka;0.05;<=;0.010874912056056545;10.0;0.012088820488624086;Ca ka <= 0.010875
Ca ka <= -0.10;0.9948988677451143;Ca ka;-0.10;<=;-0.015957888877808506;11.0;0.0019950138580509535;Ca ka <= -0.015958
K <= -0.13;0.9849594196910847;K;-0.13;<=;-0.029632668147739592;3.0;0.005290740340023081;K <= -0.029633
Fe kb > -0.56;0.9612732704813463;Fe kb;-0.56;>;-0.24300188045949933;5.0;0.015457762388983332;Fe kb > -0.243002
