Shap;Permutation;LRC_perturbation;LRC_covariance
Ca ka;Ca ka;Ca ka;Ca ka
Fe ka;Fe ka;Ti ka;Fe ka
Ti ka;Ti ka;Fe ka;Ti ka
Si;Si;Si;Mn
Mn;Mn;Mn;Si
background3;Fe kb;Fe kb;Ca kb
Ca kb;Ca kb;Ti kb;K
Cr;Ti kb;Ca kb;Fe kb
Rh L + Ar;P;Al;Al
P;Al;P;Ti kb
Fe kb;K;S;sum Fe
Cu;Cr;Cu;P
Al;sum Fe;Cr;Cr
S;S;K;background2
;Cu;sum Fe;background1
K;background2;background1;S
Ti kb;Rh L + Ar;Rh L + Ar;background3
background1;background3;background2;Cu
background2;background1;background3;Rh L + Ar
Fe ka + Ti ka;Fe ka + Ti ka;Fe ka + Ti ka;Fe ka + Ti ka
sum Fe;;;
