Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Ca ka > -1.73;15.635265538893586;Ca ka;-1.73;>;-2.806273061787936;140.0;0.001954092204244473;Ca ka > -2.806273
Ca ka > -1.02;7.182456225747236;Ca ka;-1.02;>;-1.6352669315110873;143.0;0.000757203099233994;Ca ka > -1.635267
Fe ka > 0.86;4.428152097776366;Fe ka;0.86;>;55.59500488298484;114.0;0.0011741437292203116;Fe ka > 55.595005
Ca ka <= 1.21;4.351661250225052;Ca ka;1.21;<=;2.034067187445811;2.0;0.019671358755505963;Ca ka <= 2.034067
Ti ka > 0.93;3.9011121445876267;Ti ka;0.93;>;6.770758229494234;113.0;0.010621122056071353;Ti ka > 6.770758
Fe ka > -0.43;3.811985063059791;Fe ka;-0.43;>;-54.4026077778988;14.0;0.002480552330154928;Fe ka > -54.402608
Ti ka > -0.57;3.018268331321872;Ti ka;-0.57;>;-3.2656066475860364;42.0;0.007224309386449468;Ti ka > -3.265607
Fe ka > -2.66;2.867230201326707;Fe ka;-2.66;>;-16.127618706674063;78.0;0.036462387774448324;Fe ka > -16.127619
Ti ka > -1.78;2.8088065782669576;Ti ka;-1.78;>;-11.954433957081811;114.0;0.014249468229877715;Ti ka > -11.954434
Mn > -0.65;2.7304805376689734;Mn;-0.65;>;-1.2971387802801488;34.0;0.0025777000379457737;Mn > -1.297139
Ca ka > -0.36;2.4318482087819424;Ca ka;-0.36;>;-0.6412961601123368;49.0;0.0041413887316003595;Ca ka > -0.641296
Si > -0.66;2.3397455555566586;Si;-0.66;>;-2.1248918569066433;130.0;0.003022556711247959;Si > -2.124892
Ca kb > -0.37;2.07828157790732;Ca kb;-0.37;>;-0.4032095566904291;129.0;0.0005405672224749192;Ca kb > -0.403210
Si > 0.13;1.8972870954647036;Si;0.13;>;0.3010256789296193;126.0;0.0025855372145599798;Si > 0.301026
Mn > -0.38;1.8278256456407087;Mn;-0.38;>;-0.7410635608597472;81.0;0.009562175901591197;Mn > -0.741064
K > -0.38;1.6625614274712008;K;-0.38;>;-0.4707731824512985;90.0;0.0008190235808472335;K > -0.470773
Ti ka <= -0.57;1.628357315951707;Ti ka;-0.57;<=;-3.2656066475860364;42.0;0.007224309386449468;Ti ka <= -3.265607
Si > -0.20;1.6028140517288025;Si;-0.20;>;-0.15872939255057972;122.0;0.00020185527359870004;Si > -0.158729
Ca ka <= -0.36;1.5432018321013856;Ca ka;-0.36;<=;-0.6412961601123368;49.0;0.0041413887316003595;Ca ka <= -0.641296
Fe kb > 0.40;1.5357778657284817;Fe kb;0.40;>;7.5686708041867385;114.0;0.003054254356663455;Fe kb > 7.568671
Ti ka <= 1.88;1.5085193754432167;Ti ka;1.88;<=;12.528841379455555;81.0;0.027623881035093723;Ti ka <= 12.528841
