Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Ca ka > -0.36;20.480044735895277;Ca ka;-0.36;>;-0.6412961601123368;49.0;0.0041413887316003595;Ca ka > -0.641296
Ca ka > -1.02;15.414921937622971;Ca ka;-1.02;>;-1.6352669315110873;143.0;0.000757203099233994;Ca ka > -1.635267
Ca ka > -1.73;11.771611784926893;Ca ka;-1.73;>;-2.806273061787936;140.0;0.001954092204244473;Ca ka > -2.806273
Ca ka <= -1.02;9.398088417594174;Ca ka;-1.02;<=;-1.6352669315110873;143.0;0.000757203099233994;Ca ka <= -1.635267
Ca ka <= 1.21;7.656926471629406;Ca ka;1.21;<=;2.034067187445811;2.0;0.019671358755505963;Ca ka <= 2.034067
Ca ka <= -0.36;5.436396002216513;Ca ka;-0.36;<=;-0.6412961601123368;49.0;0.0041413887316003595;Ca ka <= -0.641296
Fe ka > 0.86;3.055157543409555;Fe ka;0.86;>;55.59500488298484;114.0;0.0011741437292203116;Fe ka > 55.595005
Fe ka <= 2.21;2.9570837248782462;Fe ka;2.21;<=;-52.02738279546513;10.0;0.025268951268020867;Fe ka <= -52.027383
Fe ka > -2.66;2.8995444211303667;Fe ka;-2.66;>;-16.127618706674063;78.0;0.036462387774448324;Fe ka > -16.127619
Fe ka <= 0.86;2.76752676143981;Fe ka;0.86;<=;55.59500488298484;114.0;0.0011741437292203116;Fe ka <= 55.595005
Ti ka > 0.93;2.6848436714055657;Ti ka;0.93;>;6.770758229494234;113.0;0.010621122056071353;Ti ka > 6.770758
Fe ka > -0.43;2.6648079319017843;Fe ka;-0.43;>;-54.4026077778988;14.0;0.002480552330154928;Fe ka > -54.402608
Fe ka <= -0.43;2.4803614496687;Fe ka;-0.43;<=;-54.4026077778988;14.0;0.002480552330154928;Fe ka <= -54.402608
Ti ka > -0.57;2.093694533929923;Ti ka;-0.57;>;-3.2656066475860364;42.0;0.007224309386449468;Ti ka > -3.265607
Ti ka <= -0.57;1.7974970027769246;Ti ka;-0.57;<=;-3.2656066475860364;42.0;0.007224309386449468;Ti ka <= -3.265607
Ti ka > -1.78;1.7962347564660268;Ti ka;-1.78;>;-11.954433957081811;114.0;0.014249468229877715;Ti ka > -11.954434
Ti ka <= 1.88;1.5757720124682049;Ti ka;1.88;<=;12.528841379455555;81.0;0.027623881035093723;Ti ka <= 12.528841
Ti ka <= 0.93;1.2873948986115475;Ti ka;0.93;<=;6.770758229494234;113.0;0.010621122056071353;Ti ka <= 6.770758
Si > 0.13;1.148498722541897;Si;0.13;>;0.3010256789296193;126.0;0.0025855372145599798;Si > 0.301026
Fe ka <= -2.66;1.1482317337808694;Fe ka;-2.66;<=;-16.127618706674063;78.0;0.036462387774448324;Fe ka <= -16.127619
Mn > 0.64;1.0259484578454432;Mn;0.64;>;1.2936068069556366;104.0;0.014335926949453848;Mn > 1.293607
Mn > -0.15;0.7684361813376587;Mn;-0.15;>;-0.3572258050728523;56.0;0.0030961815206880794;Mn > -0.357226
Si > -0.20;0.5877134627085616;Si;-0.20;>;-0.15872939255057972;122.0;0.00020185527359870004;Si > -0.158729
Si <= -0.66;0.5705936330349474;Si;-0.66;<=;-2.1248918569066433;130.0;0.003022556711247959;Si <= -2.124892
Mn > -0.38;0.533089483272573;Mn;-0.38;>;-0.7410635608597472;81.0;0.009562175901591197;Mn > -0.741064
Fe kb <= -1.03;0.5047092385313477;Fe kb;-1.03;<=;-18.16467997559096;27.0;0.021265842965721093;Fe kb <= -18.164680
Fe kb > 0.40;0.49229430578589933;Fe kb;0.40;>;7.5686708041867385;114.0;0.003054254356663455;Fe kb > 7.568671
Si > -0.66;0.49101866178765236;Si;-0.66;>;-2.1248918569066433;130.0;0.003022556711247959;Si > -2.124892
Si <= -0.20;0.47642435057911836;Si;-0.20;<=;-0.15872939255057972;122.0;0.00020185527359870004;Si <= -0.158729
Fe kb > -1.03;0.45278313779623;Fe kb;-1.03;>;-18.16467997559096;27.0;0.021265842965721093;Fe kb > -18.164680
Mn > -0.65;0.4301971669334583;Mn;-0.65;>;-1.2971387802801488;34.0;0.0025777000379457737;Mn > -1.297139
Si <= 0.69;0.42616250707065595;Si;0.69;<=;2.26936798111927;40.0;0.01178593215068735;Si <= 2.269368
Si <= 0.13;0.42576887056514945;Si;0.13;<=;0.3010256789296193;126.0;0.0025855372145599798;Si <= 0.301026
Fe kb > -0.07;0.4149292112031227;Fe kb;-0.07;>;-3.265641544367439;57.0;0.008032026399997373;Fe kb > -3.265642
Fe kb <= -0.07;0.4144377217929949;Fe kb;-0.07;<=;-3.265641544367439;57.0;0.008032026399997373;Fe kb <= -3.265642
Fe kb <= 0.95;0.3950298643510291;Fe kb;0.95;<=;-7.957199004510356;10.0;0.015798699814915107;Fe kb <= -7.957199
Fe kb <= 0.40;0.39326049814693154;Fe kb;0.40;<=;7.5686708041867385;114.0;0.003054254356663455;Fe kb <= 7.568671
Ti kb <= -0.63;0.32718460086423246;Ti kb;-0.63;<=;-1.9571664924725478;26.0;0.0012656326177501454;Ti kb <= -1.957166
Mn <= -0.38;0.31195756952366105;Mn;-0.38;<=;-0.7410635608597472;81.0;0.009562175901591197;Mn <= -0.741064
Mn <= 0.64;0.26231885847419323;Mn;0.64;<=;1.2936068069556366;104.0;0.014335926949453848;Mn <= 1.293607
Ti kb > 0.26;0.21540526288226874;Ti kb;0.26;>;0.6200712481000182;83.0;0.0018450445188292197;Ti kb > 0.620071
Ti kb <= -0.16;0.1941100401055869;Ti kb;-0.16;<=;-0.5056735442900969;120.0;0.0018718069298893913;Ti kb <= -0.505674
Mn <= -0.15;0.19027431582727783;Mn;-0.15;<=;-0.3572258050728523;56.0;0.0030961815206880794;Mn <= -0.357226
