model;method;k;mask_mode;f1_original;f1_masked;f1_drop;acc_original;acc_masked;acc_drop;probability_shift;zones_removed
svm;SMX;1;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.055706;Pb-212
svm;SMX;2;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.085789;"Pb-212; Pb-214"
svm;SMX;3;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.071502;"Pb-212; Pb-214; Tl-208"
svm;SMX;4;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.070443;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208"
svm;SMX;5;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.08025;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; Ac-228"
svm;SMX;6;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.084149;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; Ac-228; background 1"
svm;SMX;7;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.085416;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; Ac-228; background 1; Bi-214"
svm;SMX;8;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.086841;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; Ac-228; background 1; Bi-214; background 2"
svm;SMX;9;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.086351;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; Ac-228; background 1; Bi-214; background 2; K-40"
svm;SHAP;1;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.055706;Pb-212
svm;SHAP;2;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.085789;"Pb-212; Pb-214"
svm;SHAP;3;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.071502;"Pb-212; Pb-214; Tl-208"
svm;SHAP;4;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.070443;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208"
svm;SHAP;5;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.07301;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; background 1"
svm;SHAP;6;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.084149;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; background 1; Ac-228"
svm;SHAP;7;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.085416;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; background 1; Ac-228; Bi-214"
svm;SHAP;8;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.086841;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; background 1; Ac-228; Bi-214; background 2"
svm;SHAP;9;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.086351;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; background 1; Ac-228; Bi-214; background 2; K-40"
svm;Permutation;1;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.055706;Pb-212
svm;Permutation;2;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.085789;"Pb-212; Pb-214"
svm;Permutation;3;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.071502;"Pb-212; Pb-214; Tl-208"
svm;Permutation;4;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.070443;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208"
svm;Permutation;5;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.08025;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; Ac-228"
svm;Permutation;6;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.084149;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; Ac-228; background 1"
svm;Permutation;7;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.085416;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; Ac-228; background 1; Bi-214"
svm;Permutation;8;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.084278;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; Ac-228; background 1; Bi-214; K-40"
svm;Permutation;9;zero;0.635014;0.550476;0.084537;0.72;0.68;0.04;0.086351;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; Ac-228; background 1; Bi-214; K-40; background 2"
