Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Pb-212 <= -59.93;4.668697735091856;Pb-212;-59.93;<=;-56.072971417177364;8.0;2.6088398751262787;Pb-212 <= -56.072971
Pb-212 <= -175.44;4.486769741672468;Pb-212;-175.44;<=;-185.23547210137127;12.0;0.4597964304414006;Pb-212 <= -185.235472
Pb-212 <= 49.88;3.0287444872457288;Pb-212;49.88;<=;50.29151053217853;41.0;4.984411303455538;Pb-212 <= 50.291511
Tl-208 <= -32.20;2.1987910995130324;Tl-208;-32.20;<=;-22.859661900333812;13.0;3.750126565693055;Tl-208 <= -22.859662
Pb-212 <= 154.72;2.185619126533057;Pb-212;154.72;<=;178.56028977444973;24.0;1.3494721535517726;Pb-212 <= 178.560290
Tl-208 <= -145.85;1.904612485069786;Tl-208;-145.85;<=;-148.46089704431827;5.0;0.897576875982395;Tl-208 <= -148.460897
Tl-208 <= 45.00;1.8022839386971043;Tl-208;45.00;<=;46.5606516980348;2.0;1.2992051286437345;Tl-208 <= 46.560652
Tl-208 <= 131.77;1.4905154250527537;Tl-208;131.77;<=;132.3599007851536;46.0;1.2428722935072472;Tl-208 <= 132.359901
background 1 <= -17.77;1.1920036945138597;background 1;-17.77;<=;-12.726872743406265;10.0;1.5620995992627762;background 1 <= -12.726873
background 2 <= -50.07;1.0838592629510473;background 2;-50.07;<=;-53.191512060103534;52.0;1.4653995301190363;background 2 <= -53.191512
background 1 <= -77.37;1.028464596549269;background 1;-77.37;<=;-76.12582332548668;42.0;2.7377610704198645;background 1 <= -76.125823
Ac-228 + Tl-208 <= -16.44;0.9480866627642028;Ac-228 + Tl-208;-16.44;<=;-16.61894944021874;28.0;6.031208713767196;Ac-228 + Tl-208 <= -16.618949
Ac-228 <= -17.73;0.9367032803996265;Ac-228;-17.73;<=;-16.008739317851212;14.0;0.8044848142973464;Ac-228 <= -16.008739
Ac-228 <= -63.98;0.9294173508993631;Ac-228;-63.98;<=;-63.4411899907549;16.0;0.37352158802180924;Ac-228 <= -63.441190
Ac-228 <= 59.41;0.8524832702968237;Ac-228;59.41;<=;63.81633892545774;51.0;0.6088949277220834;Ac-228 <= 63.816339
background 1 <= 19.69;0.8435343705552857;background 1;19.69;<=;15.832489509039648;17.0;3.798318212853923;background 1 <= 15.832490
background 1 <= 87.04;0.8041047132832295;background 1;87.04;<=;83.30517903575088;49.0;0.19115674908398717;background 1 <= 83.305179
background 2 <= 50.77;0.8002679065026543;background 2;50.77;<=;48.83152292134401;21.0;0.9553840204531525;background 2 <= 48.831523
background 2 <= 17.10;0.8001617012635481;background 2;17.10;<=;14.529279216672741;3.0;0.7691566462740873;background 2 <= 14.529279
Ac-228 + Tl-208 <= 30.51;0.7991048069650826;Ac-228 + Tl-208;30.51;<=;22.756561484936817;41.0;2.479690678244566;Ac-228 + Tl-208 <= 22.756561
Ac-228 + Tl-208 <= 65.97;0.7925487341222253;Ac-228 + Tl-208;65.97;<=;67.75429720757266;2.0;0.562851955788048;Ac-228 + Tl-208 <= 67.754297
Ac-228 <= 19.15;0.7916386869014485;Ac-228;19.15;<=;12.78554560911714;3.0;1.7657011527906938;Ac-228 <= 12.785546
background 2 <= -12.12;0.7461355021205354;background 2;-12.12;<=;-10.780188990052041;36.0;1.3779137907466303;background 2 <= -10.780189
Ac-228 + Tl-208 <= -71.67;0.7148907206765408;Ac-228 + Tl-208;-71.67;<=;-67.06502300747523;34.0;2.778816905546222;Ac-228 + Tl-208 <= -67.065023
background 3 <= -14.03;0.6889768189693795;background 3;-14.03;<=;-16.675361525322845;17.0;0.04336289333688548;background 3 <= -16.675362
background 3 <= -41.35;0.662239673718875;background 3;-41.35;<=;-41.707740147122564;33.0;0.6181662513473967;background 3 <= -41.707740
background 3 <= 13.25;0.6186413088337694;background 3;13.25;<=;12.68993396794644;48.0;1.5982807316433405;background 3 <= 12.689934
Pb-212 > 49.88;0.6035298480782997;Pb-212;49.88;>;50.29151053217853;41.0;4.984411303455538;Pb-212 > 50.291511
background 3 <= 45.09;0.499082363893238;background 3;45.09;<=;46.90633739952723;24.0;0.0023694195327124135;background 3 <= 46.906337
Bi-214 <= 11.95;0.47748036081612616;Bi-214;11.95;<=;7.280559374274024;1.0;0.5897649361757331;Bi-214 <= 7.280559
Pb-212 > -59.93;0.46265738401417467;Pb-212;-59.93;>;-56.072971417177364;8.0;2.6088398751262787;Pb-212 > -56.072971
Bi-214 <= -10.55;0.46054988183638157;Bi-214;-10.55;<=;-6.411621748493777;17.0;1.3044181359066407;Bi-214 <= -6.411622
K-40 <= -3.29;0.4361311636505669;K-40;-3.29;<=;-5.812368145409664;42.0;0.3443185116813354;K-40 <= -5.812368
Bi-214 <= 34.28;0.34096797190561906;Bi-214;34.28;<=;31.80100100549207;32.0;0.7317639789147776;Bi-214 <= 31.801001
Pb-212 > -175.44;0.33086465801556464;Pb-212;-175.44;>;-185.23547210137127;12.0;0.4597964304414006;Pb-212 > -185.235472
K-40 <= -24.43;0.3161018421797687;K-40;-24.43;<=;-29.49487247980387;29.0;0.6951792052094206;K-40 <= -29.494872
Bi-214 <= -32.77;0.22377989941219573;Bi-214;-32.77;<=;-37.3004579471356;12.0;0.14528361527382572;Bi-214 <= -37.300458
K-40 <= 11.28;0.20366891064652917;K-40;11.28;<=;2.594778037330794;35.0;1.133385757324744;K-40 <= 2.594778
K-40 <= 23.67;0.0037509799816627027;K-40;23.67;<=;24.950763774876254;46.0;0.08790981859094771;K-40 <= 24.950764
Class_B;0.0;;;;;;;
Class_A;0.0;;;;;;;
