energy;Permutation_importance;Zone
107;0.01825728826744943;Pb-212
105;0.016703164649775726;Pb-212
106;0.01650997873347992;Pb-212
104;0.015740363331292778;Pb-212
103;0.01368135998995936;Pb-212
108;0.012078605024867179;Pb-212
109;0.009486952188757558;Pb-212
102;0.009465291831834676;Pb-212
110;0.009362672671001618;Pb-212
111;0.00897605490315482;Pb-212
101;0.008691890724230857;Pb-212
100;0.0065606571336509585;Pb-212
153;0.00655025015460179;Pb-214
95;0.006335377006826071;Pb-212
154;0.005931312301801476;Pb-214
148;0.005916213489350993;Pb-214
99;0.005727203109062273;Pb-212
112;0.005605040011119974;Pb-212
151;0.005339582266221765;Pb-214
152;0.005298076777801702;Pb-214
155;0.005291574753771765;Pb-214
149;0.004967640686055395;Pb-214
96;0.004921043488282966;Pb-212
98;0.004742768564816644;Pb-212
113;0.0047251353189551055;Pb-212
134;0.0045811806764571505;Pb-214
137;0.004566398122076256;Pb-214
135;0.004507596433621314;Pb-214
150;0.004441875858212764;Pb-214
97;0.004390798949387938;Pb-212
129;0.004192678860006609;Pb-214
136;0.0040179054422894555;Pb-214
146;0.003917270899058021;Pb-214
130;0.0038865391980730654;Pb-214
156;0.0038859146337565827;Pb-214
128;0.003881370825411496;Pb-214
133;0.003842916883051088;Pb-214
132;0.003747660471808039;Pb-214
147;0.003521867490519617;Pb-214
261;0.0031186197289336448;Tl-208
142;0.0031167091553416745;Pb-214
138;0.0030975475496065794;Pb-214
141;0.0030482523319529395;Pb-214
260;0.003032786004207677;Tl-208
114;0.0030180700942251094;Pb-212
188;0.002978853242065124;Pb-214
125;0.002864152266034357;Pb-214
262;0.0026629619637188605;Tl-208
158;0.0026543979400525373;Pb-214
157;0.0026209620207831388;Pb-214
127;0.002609442137664505;Pb-214
143;0.002567608853632956;Pb-214
242;0.002541622674918595;Tl-208
238;0.002454438246581016;Tl-208
239;0.0024274197254831368;Tl-208
259;0.002394016916268861;Tl-208
145;0.002335279409562012;Pb-214
187;0.002291545237961693;Pb-214
131;0.00228540647718243;Pb-214
243;0.0022495955002502788;Tl-208
241;0.002219383038362822;Tl-208
250;0.002165724719477146;Tl-208
235;0.0021204247724593505;Tl-208
264;0.002103227291864775;Tl-208
237;0.002073873564860453;Tl-208
240;0.0020684185894740627;Tl-208
126;0.002011629555035378;Pb-214
124;0.0019805165681624722;Pb-214
189;0.001921683759100157;Pb-214
263;0.0018906179239718956;Tl-208
140;0.0018883511176324658;Pb-214
159;0.0018790764152604952;Pb-214
144;0.001867534024594146;Pb-214
116;0.0018166940488473493;Pb-214
200;0.0018010364994931658;Ac-228 + Tl-208
122;0.0017796290174583718;Pb-214
228;0.0017490789643350782;Ac-228 + Tl-208
201;0.0017263893847960857;Ac-228 + Tl-208
258;0.001716085548834813;Tl-208
245;0.0017064396424512113;Tl-208
139;0.0016712602395452282;Pb-214
234;0.0016504118943789076;Tl-208
115;0.0016487990925050868;Pb-214
227;0.0016234199119808713;Ac-228 + Tl-208
236;0.0015748377990539724;Tl-208
375;0.001549260413196194;Ac-228
215;0.0015430547720398815;Ac-228 + Tl-208
123;0.001535876762832306;Pb-214
121;0.0015102776834874244;Pb-214
244;0.0015080297868117387;Tl-208
202;0.0015072859217328699;Ac-228 + Tl-208
257;0.0014508554768466828;Tl-208
160;0.001420399281269778;Pb-214
190;0.0013988966048968906;Ac-228 + Tl-208
217;0.0013621293858373717;Ac-228 + Tl-208
218;0.001332778082418987;Ac-228 + Tl-208
316;0.0013239927701891104;background 1
246;0.0013140676534338872;Tl-208
374;0.001311590978890408;Ac-228
214;0.0013002442692858335;Ac-228 + Tl-208
229;0.0012962111559029614;Ac-228 + Tl-208
315;0.0012943407938484912;background 1
186;0.0012405625994877977;Pb-214
225;0.0012355326287373691;Ac-228 + Tl-208
199;0.0012328194368398976;Ac-228 + Tl-208
224;0.0012097947683169547;Ac-228 + Tl-208
380;0.001197291631850814;Ac-228
198;0.0011891137108876904;Ac-228 + Tl-208
376;0.00117122871133091;Ac-228
265;0.001161410941036163;Tl-208
233;0.0011313406168870761;Tl-208
197;0.0011145141996509757;Ac-228 + Tl-208
220;0.0011027785816866288;Ac-228 + Tl-208
175;0.001097654238587968;Pb-214
120;0.0010776925518113174;Pb-214
393;0.0010687803148041737;Ac-228
213;0.0010588125382338844;Ac-228 + Tl-208
230;0.0010476846222155273;Ac-228 + Tl-208
314;0.001040935679309025;background 1
216;0.0010405578703636593;Ac-228 + Tl-208
395;0.001029440664709935;Ac-228
377;0.0010202710838892062;Ac-228
394;0.001010906393051873;Ac-228
379;0.0010099272499934846;Ac-228
203;0.0010053228879406896;Ac-228 + Tl-208
226;0.0010052415192629434;Ac-228 + Tl-208
354;0.0010008809753331257;Ac-228
219;0.0009991135423638696;Ac-228 + Tl-208
381;0.0009710487893204691;Ac-228
176;0.0009529099026474263;Pb-214
118;0.0009514327379599839;Pb-214
287;0.0009470245255405135;background 1
204;0.0009434180764824175;Ac-228 + Tl-208
284;0.000908727269629517;background 1
119;0.0008791463043188709;Pb-214
274;0.0008684051788742629;Tl-208
252;0.0008667226418659612;Tl-208
392;0.0008648309405844713;Ac-228
253;0.00086436038520763;Tl-208
289;0.0008551473342346351;background 1
369;0.0008528259489840529;Ac-228
117;0.0008456561145348846;Pb-214
378;0.0008450002734789127;Ac-228
191;0.0008402815595360439;Ac-228 + Tl-208
266;0.0008364996477076293;Tl-208
285;0.0008333898760556778;background 1
321;0.0008311537688261601;background 1
164;0.0008243755211464696;Pb-214
322;0.0008219229894980102;background 1
174;0.00082082005227853;Pb-214
323;0.0008204216062265086;background 1
288;0.0008179694133990808;background 1
165;0.000816153566702647;Pb-214
247;0.0008082982786074326;Tl-208
256;0.000807813489214927;Tl-208
251;0.0007985126912522976;Tl-208
221;0.000796472342649617;Ac-228 + Tl-208
286;0.0007925602675413268;background 1
396;0.0007817228085807134;Ac-228
373;0.000778028735069519;Ac-228
372;0.000776425716703244;Ac-228
371;0.0007718526973564448;Ac-228
356;0.0007713718814098227;Ac-228
473;0.0007686046537772676;Bi-214
472;0.0007563894047907585;Bi-214
401;0.00075497314539004;Ac-228
211;0.0007480522832281414;Ac-228 + Tl-208
173;0.0007433254264662525;Pb-214
367;0.000733484377449778;Ac-228
329;0.000731894328769853;background 1
317;0.0007307760636071608;background 1
249;0.0007279367130126696;Tl-208
368;0.0007175638333345238;Ac-228
400;0.0007093079284489761;Ac-228
328;0.0007056360811938326;background 1
370;0.0007011795490930829;Ac-228
355;0.0006961713562167202;Ac-228
185;0.0006877655623490011;Pb-214
275;0.0006814389091148491;background 1
209;0.0006779196912889483;Ac-228 + Tl-208
313;0.0006749655644511989;background 1
459;0.0006660419886868927;Bi-214
179;0.0006642680863895116;Pb-214
277;0.0006523094558508225;background 1
248;0.000652019607712498;Tl-208
387;0.0006512258199400427;Ac-228
471;0.0006498657853658611;Bi-214
162;0.000646667353597308;Pb-214
435;0.000646535712539052;Bi-214
341;0.00064582442591539;background 1
232;0.0006326284138641993;Tl-208
177;0.0006256268325492908;Pb-214
255;0.0006248864252622025;Tl-208
388;0.0006247789848385221;Ac-228
461;0.0006222345538147032;Bi-214
462;0.0006218155029860718;Bi-214
231;0.0006196575156232626;Ac-228 + Tl-208
399;0.00061894494812895;Ac-228
276;0.0006117230706222629;background 1
398;0.0006088686293724473;Ac-228
333;0.0006069778844861338;background 1
338;0.0006043379692425691;background 1
268;0.0006037059175321225;Tl-208
339;0.0006024458655913785;background 1
282;0.0006002305615320483;background 1
195;0.0005974051915396592;Ac-228 + Tl-208
327;0.0005896753569554095;background 1
170;0.0005745993058831644;Pb-214
320;0.0005723614505029644;background 1
303;0.000572041665316341;background 1
340;0.0005718584498769071;background 1
460;0.000569971799234475;Bi-214
331;0.0005689891982339176;background 1
307;0.0005685959499290329;background 1
403;0.000568362094305979;Ac-228
417;0.0005653824827205365;Ac-228
273;0.0005607171780902551;Tl-208
283;0.0005583308118007731;background 1
406;0.0005479117053818101;Ac-228
290;0.000545879785190367;background 1
407;0.0005444799589039865;Ac-228
434;0.000541534291700048;Bi-214
161;0.0005368659280375334;Pb-214
391;0.0005233926815458135;Ac-228
408;0.0005218027236753989;Ac-228
474;0.0005210875300106202;Bi-214
580;0.0005199007796461312;K-40
312;0.0005185147260409605;background 1
579;0.000515808049789631;K-40
292;0.0005098624687394759;background 1
222;0.0005089793058824648;Ac-228 + Tl-208
182;0.0005024006897369978;Pb-214
278;0.0005000556375893723;background 1
453;0.0004980642290273404;Bi-214
578;0.0004921413832365426;K-40
212;0.0004918915950198265;Ac-228 + Tl-208
271;0.0004891566206465639;Tl-208
397;0.0004876360952216226;Ac-228
254;0.0004844477739078719;Tl-208
342;0.0004830192331923165;background 1
166;0.00048274219915778096;Pb-214
223;0.00047370312470163434;Ac-228 + Tl-208
347;0.000464950341940082;background 1
163;0.0004638136393619226;Pb-214
385;0.0004624142398547539;Ac-228
415;0.0004570938358617281;Ac-228
416;0.00045621901378460616;Ac-228
279;0.0004468229103982061;background 1
595;0.0004456130049639266;K-40
