Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Pb-212 <= -36.27;10.768908672204976;Pb-212;-36.27;<=;-39.31279160486989;1.0;3.46865398382095;Pb-212 <= -39.312792
Pb-212 <= -145.59;9.792373373845304;Pb-212;-145.59;<=;-139.63764702107989;52.0;1.788990990892131;Pb-212 <= -139.637647
Pb-212 <= 47.36;8.508174170103429;Pb-212;47.36;<=;49.442284247611504;47.0;1.8947423578556126;Pb-212 <= 49.442284
Pb-212 > 132.38;8.243652475210851;Pb-212;132.38;>;134.49721572164444;19.0;0.005998081503491903;Pb-212 > 134.497216
Pb-212 <= 132.38;6.8926777046039325;Pb-212;132.38;<=;134.49721572164444;19.0;0.005998081503491903;Pb-212 <= 134.497216
Pb-212 > 47.36;5.468780882826205;Pb-212;47.36;>;49.442284247611504;47.0;1.8947423578556126;Pb-212 > 49.442284
Pb-212 > -145.59;4.173178595490474;Pb-212;-145.59;>;-139.63764702107989;52.0;1.788990990892131;Pb-212 > -139.637647
Pb-212 > -36.27;2.690775461448863;Pb-212;-36.27;>;-39.31279160486989;1.0;3.46865398382095;Pb-212 > -39.312792
Pb-214 > 15.76;1.4914058272775421;Pb-214;15.76;>;16.888351027544978;23.0;0.900685881642282;Pb-214 > 16.888351
Pb-214 > 75.33;1.472431057160291;Pb-214;75.33;>;77.71036060213997;19.0;0.8691621201424056;Pb-214 > 77.710361
Pb-214 <= -80.74;1.4083953006748617;Pb-214;-80.74;<=;-78.37986759105145;45.0;2.4124962969790147;Pb-214 <= -78.379868
Pb-214 <= -17.81;1.32784903032481;Pb-214;-17.81;<=;-12.148233048659588;0.0;1.5820387635225899;Pb-214 <= -12.148233
Pb-214 > -80.74;1.300750906830162;Pb-214;-80.74;>;-78.37986759105145;45.0;2.4124962969790147;Pb-214 > -78.379868
Pb-214 <= 15.76;1.2633790287075162;Pb-214;15.76;<=;16.888351027544978;23.0;0.900685881642282;Pb-214 <= 16.888351
Pb-214 > -17.81;1.149952158247375;Pb-214;-17.81;>;-12.148233048659588;0.0;1.5820387635225899;Pb-214 > -12.148233
Tl-208 <= 13.32;1.148503443971848;Tl-208;13.32;<=;12.779676632624188;41.0;0.902076218399241;Tl-208 <= 12.779677
Pb-214 <= 75.33;1.132027624384744;Pb-214;75.33;<=;77.71036060213997;19.0;0.8691621201424056;Pb-214 <= 77.710361
Tl-208 > 36.67;1.008430506793935;Tl-208;36.67;>;39.52521703121956;10.0;0.006701492200008374;Tl-208 > 39.525217
Tl-208 <= 36.67;1.004409192847587;Tl-208;36.67;<=;39.52521703121956;10.0;0.006701492200008374;Tl-208 <= 39.525217
Tl-208 <= -12.79;0.9777659237120062;Tl-208;-12.79;<=;-15.98841691298058;15.0;0.16192921920350223;Tl-208 <= -15.988417
