model;method;k;mask_mode;f1_original;f1_masked;f1_drop;acc_original;acc_masked;acc_drop;probability_shift;zones_removed
svm;SMX;1;zero;1.0;0.55747;0.44253;1.0;0.606481;0.393519;0.380539;Fe ka
svm;SMX;2;zero;1.0;0.863452;0.136548;1.0;0.865741;0.134259;0.237488;"Fe ka; Ti ka"
svm;SMX;3;zero;1.0;0.670206;0.329794;1.0;0.699074;0.300926;0.267837;"Fe ka; Ti ka; Ca ka"
svm;SMX;4;zero;1.0;0.657978;0.342022;1.0;0.689815;0.310185;0.268573;"Fe ka; Ti ka; Ca ka; K"
svm;SMX;5;zero;1.0;0.377628;0.622372;1.0;0.518519;0.481481;0.415151;"Fe ka; Ti ka; Ca ka; K; Fe kb"
svm;SMX;6;zero;1.0;0.368043;0.631957;1.0;0.513889;0.486111;0.42472;"Fe ka; Ti ka; Ca ka; K; Fe kb; Si"
svm;SMX;7;zero;1.0;0.358313;0.641687;1.0;0.509259;0.490741;0.454658;"Fe ka; Ti ka; Ca ka; K; Fe kb; Si; Mn"
svm;SMX;8;zero;1.0;0.338396;0.661604;1.0;0.5;0.5;0.442993;"Fe ka; Ti ka; Ca ka; K; Fe kb; Si; Mn; Al"
svm;SMX;9;zero;1.0;0.338396;0.661604;1.0;0.5;0.5;0.449301;"Fe ka; Ti ka; Ca ka; K; Fe kb; Si; Mn; Al; sum Fe"
svm;SMX;10;zero;1.0;0.338396;0.661604;1.0;0.5;0.5;0.441934;"Fe ka; Ti ka; Ca ka; K; Fe kb; Si; Mn; Al; sum Fe; Cr"
svm;SMX;11;zero;1.0;0.328202;0.671798;1.0;0.49537;0.50463;0.439818;"Fe ka; Ti ka; Ca ka; K; Fe kb; Si; Mn; Al; sum Fe; Cr; Fe ka + Ti ka"
svm;SMX;12;zero;1.0;0.328202;0.671798;1.0;0.49537;0.50463;0.439778;"Fe ka; Ti ka; Ca ka; K; Fe kb; Si; Mn; Al; sum Fe; Cr; Fe ka + Ti ka; Ca kb"
svm;SMX;13;zero;1.0;0.328202;0.671798;1.0;0.49537;0.50463;0.452973;"Fe ka; Ti ka; Ca ka; K; Fe kb; Si; Mn; Al; sum Fe; Cr; Fe ka + Ti ka; Ca kb; Cu"
svm;SMX;14;zero;1.0;0.328202;0.671798;1.0;0.49537;0.50463;0.454253;"Fe ka; Ti ka; Ca ka; K; Fe kb; Si; Mn; Al; sum Fe; Cr; Fe ka + Ti ka; Ca kb; Cu; Ni"
svm;SMX;15;zero;1.0;0.328202;0.671798;1.0;0.49537;0.50463;0.456212;"Fe ka; Ti ka; Ca ka; K; Fe kb; Si; Mn; Al; sum Fe; Cr; Fe ka + Ti ka; Ca kb; Cu; Ni; Zn"
svm;SMX;16;zero;1.0;0.328202;0.671798;1.0;0.49537;0.50463;0.464877;"Fe ka; Ti ka; Ca ka; K; Fe kb; Si; Mn; Al; sum Fe; Cr; Fe ka + Ti ka; Ca kb; Cu; Ni; Zn; background2"
svm;SMX;17;zero;1.0;0.328202;0.671798;1.0;0.49537;0.50463;0.447405;"Fe ka; Ti ka; Ca ka; K; Fe kb; Si; Mn; Al; sum Fe; Cr; Fe ka + Ti ka; Ca kb; Cu; Ni; Zn; background2; Ti kb"
svm;SMX;18;zero;1.0;0.328202;0.671798;1.0;0.49537;0.50463;0.477617;"Fe ka; Ti ka; Ca ka; K; Fe kb; Si; Mn; Al; sum Fe; Cr; Fe ka + Ti ka; Ca kb; Cu; Ni; Zn; background2; Ti kb; Rh L + Ar"
svm;SMX;19;zero;1.0;0.328202;0.671798;1.0;0.49537;0.50463;0.48165;"Fe ka; Ti ka; Ca ka; K; Fe kb; Si; Mn; Al; sum Fe; Cr; Fe ka + Ti ka; Ca kb; Cu; Ni; Zn; background2; Ti kb; Rh L + Ar; P"
svm;SMX;20;zero;1.0;0.328202;0.671798;1.0;0.49537;0.50463;0.499245;"Fe ka; Ti ka; Ca ka; K; Fe kb; Si; Mn; Al; sum Fe; Cr; Fe ka + Ti ka; Ca kb; Cu; Ni; Zn; background2; Ti kb; Rh L + Ar; P; background1"
