Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > -9.83;20.42407062098112;Fe ka;-9.83;>;-178.95297536586668;247.0;0.0017309071849567204;Fe ka > -178.952975
Fe ka <= 11.65;15.67419325934619;Fe ka;11.65;<=;188.78650221401608;94.0;0.0011584427647175488;Fe ka <= 188.786502
Fe ka > -5.77;10.37531370954122;Fe ka;-5.77;>;-103.04657895105754;408.0;0.0047633967181361925;Fe ka > -103.046579
Fe ka <= 4.25;9.482228888762075;Fe ka;4.25;<=;87.0453868816328;38.0;0.001078999799444702;Fe ka <= 87.045387
Fe kb > -3.67;8.409749045681293;Fe kb;-3.67;>;-25.194168020836003;311.0;0.0018423701153169603;Fe kb > -25.194168
Fe kb <= 4.31;7.31440364037927;Fe kb;4.31;<=;30.9065519169572;219.0;0.002148977370048044;Fe kb <= 30.906552
Fe kb > -2.08;5.4410575115633195;Fe kb;-2.08;>;-13.041087943859736;405.0;0.00017172530202191894;Fe kb > -13.041088
Fe kb <= 1.44;4.497917895308654;Fe kb;1.44;<=;8.701135138862298;202.0;0.0021945242928163022;Fe kb <= 8.701135
Mn > -1.21;3.8197058032923237;Mn;-1.21;>;-2.2057814319545788;388.0;0.0007100217233659833;Mn > -2.205781
sum Fe > -1.11;3.1052433820035032;sum Fe;-1.11;>;-1.4021191802413089;321.0;0.0025293816844513817;sum Fe > -1.402119
sum Fe <= 1.27;2.4045367956720414;sum Fe;1.27;<=;1.6038338333385171;114.0;0.002695510981332472;sum Fe <= 1.603834
Mn <= 1.02;1.7136446477755831;Mn;1.02;<=;1.6999069683857755;245.0;0.0029224419069935337;Mn <= 1.699907
Ti ka > -1.99;0.9883017853699704;Ti ka;-1.99;>;-11.457269112520393;270.0;0.0030973185980507356;Ti ka > -11.457269
Rh L + Ar <= 0.76;0.977217067479428;Rh L + Ar;0.76;<=;2.0492315557751333;213.0;0.0009307681984351834;Rh L + Ar <= 2.049232
Ti kb > -1.01;0.9321708065040812;Ti kb;-1.01;>;-2.8694954177935585;6.0;0.000706780576590571;Ti kb > -2.869495
Rh L + Ar > -0.69;0.8639236219462845;Rh L + Ar;-0.69;>;-1.7593511638405133;415.0;0.001907875240119039;Rh L + Ar > -1.759351
Si <= 1.00;0.8554961748826584;Si;1.00;<=;2.84848664801687;225.0;0.00024669815607059054;Si <= 2.848487
Ti kb > -0.36;0.8355770500391106;Ti kb;-0.36;>;-0.8394490761626763;388.0;0.001717635639484516;Ti kb > -0.839449
Si > -1.03;0.8343089782176678;Si;-1.03;>;-3.332648472221379;130.0;0.0004465640167987672;Si > -3.332648
Ca ka > -1.89;0.818477034678678;Ca ka;-1.89;>;-3.1813250127012918;275.0;0.0007309831903119512;Ca ka > -3.181325
Mn > -0.74;0.8142241937750294;Mn;-0.74;>;-1.3413183023672737;453.0;0.00027521617845438495;Mn > -1.341318
Ti kb <= 1.01;0.803976966732771;Ti kb;1.01;<=;3.422818262839492;63.0;0.0002676352753401279;Ti kb <= 3.422818
Si > -0.46;0.8009546487488926;Si;-0.46;>;-1.0490541528708874;480.0;0.0009934217406322166;Si > -1.049054
Ti ka > 0.61;0.7809803553345942;Ti ka;0.61;>;4.748205218535233;452.0;0.0002793503980763612;Ti ka > 4.748205
Cr <= 0.70;0.7744732525559038;Cr;0.70;<=;0.9287284914033478;193.0;0.0026008334043552406;Cr <= 0.928728
Cr > -0.67;0.7412158552822897;Cr;-0.67;>;-0.9229359843955436;267.0;0.0020105000873660295;Cr > -0.922936
sum Fe > -0.60;0.7174383971332225;sum Fe;-0.60;>;-0.7248397859917555;262.0;0.0010048313568463696;sum Fe > -0.724840
Ti ka > -0.55;0.6981146935712375;Ti ka;-0.55;>;-1.7345456752534005;359.0;0.004612427712980316;Ti ka > -1.734546
Cu > -0.46;0.6379238171875847;Cu;-0.46;>;-0.4889160763356135;439.0;0.0002488807254821812;Cu > -0.488916
Cu <= 0.48;0.5611707499756982;Cu;0.48;<=;0.504453594519771;161.0;0.00012009167217141847;Cu <= 0.504454
sum Fe <= 0.39;0.5053091017129814;sum Fe;0.39;<=;0.506287936145668;5.0;0.00031148800657410103;sum Fe <= 0.506288
Mn <= 0.30;0.49328666163931933;Mn;0.30;<=;0.46506037875553474;12.0;0.0002528425071676166;Mn <= 0.465060
Ca ka > -1.23;0.48417005833404725;Ca ka;-1.23;>;-2.1717944945843985;176.0;0.00018333887257093728;Ca ka > -2.171794
Ca ka <= 1.70;0.4577706339502336;Ca ka;1.70;<=;2.8954399392892505;57.0;0.0006906184210269117;Ca ka <= 2.895440
Rh L + Ar > -0.44;0.4574372597164647;Rh L + Ar;-0.44;>;-1.2339020432937176;479.0;0.0016081363879096866;Rh L + Ar > -1.233902
Al > -0.20;0.4372777364778623;Al;-0.20;>;-0.38650004135221927;229.0;0.0033277177364893495;Al > -0.386500
Cr > -0.21;0.41315602560317205;Cr;-0.21;>;-0.32104570105314956;367.0;0.0001821268220723593;Cr > -0.321046
background1 > -0.46;0.39247774961274695;background1;-0.46;>;-0.3806298597030194;241.0;0.0006701709970649561;background1 > -0.380630
Rh L + Ar <= 0.33;0.37091715526395563;Rh L + Ar;0.33;<=;0.8422626400728674;173.0;0.0036000002031936207;Rh L + Ar <= 0.842263
Ca kb <= 0.45;0.35535414058600623;Ca kb;0.45;<=;0.4718857765088762;115.0;0.001703149820043992;Ca kb <= 0.471886
background1 > -0.15;0.34934643946051036;background1;-0.15;>;-0.13851797382387676;459.0;0.00025489138175904813;background1 > -0.138518
Al > -0.53;0.3249220028685679;Al;-0.53;>;-1.0353427961836132;325.0;0.0008346540740421515;Al > -1.035343
Cu > -0.21;0.3205584850394896;Cu;-0.21;>;-0.2303589368300969;372.0;0.0002994733777752778;Cu > -0.230359
background2 > -0.34;0.32051885778786876;background2;-0.34;>;-0.24255741937055555;66.0;0.000728369693053954;background2 > -0.242557
Ti kb > 0.24;0.3055742922749193;Ti kb;0.24;>;0.7544269993281993;467.0;0.0044343303579015;Ti kb > 0.754427
Ca kb > -0.51;0.30379758869423634;Ca kb;-0.51;>;-0.5241164152657989;384.0;0.002163251679282774;Ca kb > -0.524116
Ti ka <= -0.55;0.29524699958055;Ti ka;-0.55;<=;-1.7345456752534005;359.0;0.004612427712980316;Ti ka <= -1.734546
Ca ka > -0.35;0.2951880072161388;Ca ka;-0.35;>;-0.6037273653374369;107.0;0.004659354829044171;Ca ka > -0.603727
Ca kb <= 0.02;0.2738785383529906;Ca kb;0.02;<=;0.01979243394150476;192.0;0.0006765864628402833;Ca kb <= 0.019792
Cr <= 0.18;0.27161725418947236;Cr;0.18;<=;0.24620512749545576;40.0;0.0020363929145515713;Cr <= 0.246205
Al > 0.14;0.2709010044165706;Al;0.14;>;0.38109714639239023;450.0;0.0013570322274719937;Al > 0.381097
Ti kb <= 0.24;0.2647383483750889;Ti kb;0.24;<=;0.7544269993281993;467.0;0.0044343303579015;Ti kb <= 0.754427
background1 <= 0.48;0.24915303874112177;background1;0.48;<=;0.4077628140349009;249.0;0.0010984183925362712;background1 <= 0.407763
Si > 0.21;0.2411997778375453;Si;0.21;>;1.0110274266135875;498.0;0.0006026136629396217;Si > 1.011027
background2 > -0.12;0.236529481591369;background2;-0.12;>;-0.07212742153952101;193.0;0.000631192780498363;background2 > -0.072127
Ti ka <= 0.61;0.23544634487879226;Ti ka;0.61;<=;4.748205218535233;452.0;0.0002793503980763612;Ti ka <= 4.748205
K > -0.19;0.23486030256297405;K;-0.19;>;-0.26653333188795436;231.0;0.0006573719296162905;K > -0.266533
Ti kb <= -0.36;0.23417785113227652;Ti kb;-0.36;<=;-0.8394490761626763;388.0;0.001717635639484516;Ti kb <= -0.839449
Cu <= 0.18;0.22393466094773148;Cu;0.18;<=;0.19541636873883617;22.0;0.0016749927165317369;Cu <= 0.195416
K > -0.35;0.2221189721500757;K;-0.35;>;-0.4658744706447804;169.0;0.001102474845523227;K > -0.465874
P > -0.32;0.21345777341287905;P;-0.32;>;-0.23983658626018323;87.0;0.000791802452621504;P > -0.239837
Zn > -0.31;0.21312507963493066;Zn;-0.31;>;-0.2812919403285745;395.0;0.0008554638457373698;Zn > -0.281292
background2 > 0.08;0.2128228219212004;background2;0.08;>;0.05924219002219031;209.0;0.0014461773872970901;background2 > 0.059242
Si <= 0.21;0.2115555262243085;Si;0.21;<=;1.0110274266135875;498.0;0.0006026136629396217;Si <= 1.011027
P > -0.16;0.20709709083689742;P;-0.16;>;-0.10207219734264372;84.0;0.0010985252633618492;P > -0.102072
Ti ka <= 1.87;0.20471022889343066;Ti ka;1.87;<=;12.579804118748328;397.0;0.0015466032120510231;Ti ka <= 12.579804
background2 <= 0.35;0.20427024705161334;background2;0.35;<=;0.24294662382265508;333.0;0.0011794420881254264;background2 <= 0.242947
K > -0.01;0.20192371798431516;K;-0.01;>;-0.050970416715621525;35.0;0.0013489872954698303;K > -0.050970
Si <= -0.46;0.20161904526958968;Si;-0.46;<=;-1.0490541528708874;480.0;0.0009934217406322166;Si <= -1.049054
background1 > 0.08;0.20125052867248294;background1;0.08;>;0.06329291827842112;442.0;0.0013527718482898438;background1 > 0.063293
Ca kb <= -0.25;0.2007139488745719;Ca kb;-0.25;<=;-0.2780096980463953;491.0;0.001081065047198626;Ca kb <= -0.278010
Zn > -0.08;0.1960834046425904;Zn;-0.08;>;-0.07753811309453074;384.0;2.49317878846661e-05;Zn > -0.077538
P <= 0.30;0.19536988939147726;P;0.30;<=;0.19906240524975805;346.0;1.728390839828009e-05;P <= 0.199062
