Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > 4.25;29.0650694558101;Fe ka;4.25;>;87.0453868816328;38.0;0.001078999799444702;Fe ka > 87.045387
Fe ka > -5.77;20.47353027854371;Fe ka;-5.77;>;-103.04657895105754;408.0;0.0047633967181361925;Fe ka > -103.046579
Fe ka <= -5.77;16.210598797053162;Fe ka;-5.77;<=;-103.04657895105754;408.0;0.0047633967181361925;Fe ka <= -103.046579
Fe ka > -9.83;13.053058956122385;Fe ka;-9.83;>;-178.95297536586668;247.0;0.0017309071849567204;Fe ka > -178.952975
Fe ka <= 11.65;9.06230707712194;Fe ka;11.65;<=;188.78650221401608;94.0;0.0011584427647175488;Fe ka <= 188.786502
Fe ka <= 4.25;2.9201509771693064;Fe ka;4.25;<=;87.0453868816328;38.0;0.001078999799444702;Fe ka <= 87.045387
Ti ka <= -0.55;0.5141481759004567;Ti ka;-0.55;<=;-1.7345456752534005;359.0;0.004612427712980316;Ti ka <= -1.734546
Ti ka > 0.61;0.48738804882768944;Ti ka;0.61;>;4.748205218535233;452.0;0.0002793503980763612;Ti ka > 4.748205
Ti ka <= 0.61;0.4614317730519219;Ti ka;0.61;<=;4.748205218535233;452.0;0.0002793503980763612;Ti ka <= 4.748205
Ti ka <= 1.87;0.41406478949797526;Ti ka;1.87;<=;12.579804118748328;397.0;0.0015466032120510231;Ti ka <= 12.579804
Ti ka > -0.55;0.37936125081205224;Ti ka;-0.55;>;-1.7345456752534005;359.0;0.004612427712980316;Ti ka > -1.734546
Fe kb > 1.44;0.34305924571555574;Fe kb;1.44;>;8.701135138862298;202.0;0.0021945242928163022;Fe kb > 8.701135
Ti ka > -1.99;0.3424408688658691;Ti ka;-1.99;>;-11.457269112520393;270.0;0.0030973185980507356;Ti ka > -11.457269
Fe kb <= -2.08;0.33177595378151964;Fe kb;-2.08;<=;-13.041087943859736;405.0;0.00017172530202191894;Fe kb <= -13.041088
Ca ka > -0.35;0.3275639795531986;Ca ka;-0.35;>;-0.6037273653374369;107.0;0.004659354829044171;Ca ka > -0.603727
Fe kb > -3.67;0.2952777090088323;Fe kb;-3.67;>;-25.194168020836003;311.0;0.0018423701153169603;Fe kb > -25.194168
Fe kb > -2.08;0.2945552513167408;Fe kb;-2.08;>;-13.041087943859736;405.0;0.00017172530202191894;Fe kb > -13.041088
Fe kb <= 1.44;0.26122552385081305;Fe kb;1.44;<=;8.701135138862298;202.0;0.0021945242928163022;Fe kb <= 8.701135
Fe kb <= 4.31;0.25437122820326696;Fe kb;4.31;<=;30.9065519169572;219.0;0.002148977370048044;Fe kb <= 30.906552
K > -0.01;0.2199602682577482;K;-0.01;>;-0.050970416715621525;35.0;0.0013489872954698303;K > -0.050970
Ca ka > -1.23;0.2193962226742089;Ca ka;-1.23;>;-2.1717944945843985;176.0;0.00018333887257093728;Ca ka > -2.171794
Ca ka > -1.89;0.19056710218733042;Ca ka;-1.89;>;-3.1813250127012918;275.0;0.0007309831903119512;Ca ka > -3.181325
K > -0.19;0.16770664116926848;K;-0.19;>;-0.26653333188795436;231.0;0.0006573719296162905;K > -0.266533
Ca kb <= 0.02;0.12739994291238804;Ca kb;0.02;<=;0.01979243394150476;192.0;0.0006765864628402833;Ca kb <= 0.019792
Si > 0.21;0.12364648453988433;Si;0.21;>;1.0110274266135875;498.0;0.0006026136629396217;Si > 1.011027
Ca kb <= 0.45;0.11746775914645174;Ca kb;0.45;<=;0.4718857765088762;115.0;0.001703149820043992;Ca kb <= 0.471886
Ca kb <= -0.25;0.10593453227723824;Ca kb;-0.25;<=;-0.2780096980463953;491.0;0.001081065047198626;Ca kb <= -0.278010
K > -0.35;0.0869081584495566;K;-0.35;>;-0.4658744706447804;169.0;0.001102474845523227;K > -0.465874
Fe ka + Ti ka > -0.06;0.07312275386229594;Fe ka + Ti ka;-0.06;>;-0.08542619961673603;243.0;0.00020126538297846747;Fe ka + Ti ka > -0.085426
sum Fe <= -0.60;0.06392647430193833;sum Fe;-0.60;<=;-0.7248397859917555;262.0;0.0010048313568463696;sum Fe <= -0.724840
Rh L + Ar <= 0.33;0.05480247569252694;Rh L + Ar;0.33;<=;0.8422626400728674;173.0;0.0036000002031936207;Rh L + Ar <= 0.842263
background1 > -0.46;0.05071489038354379;background1;-0.46;>;-0.3806298597030194;241.0;0.0006701709970649561;background1 > -0.380630
Si > -0.46;0.04939750489208665;Si;-0.46;>;-1.0490541528708874;480.0;0.0009934217406322166;Si > -1.049054
Al <= 0.58;0.04852707629125995;Al;0.58;<=;0.9909340518495515;55.0;0.0009122477838876542;Al <= 0.990934
Rh L + Ar <= 0.76;0.04798739810785087;Rh L + Ar;0.76;<=;2.0492315557751333;213.0;0.0009307681984351834;Rh L + Ar <= 2.049232
background1 <= -0.15;0.044846444156517465;background1;-0.15;<=;-0.13851797382387676;459.0;0.00025489138175904813;background1 <= -0.138518
Mn > -0.74;0.044210479656084996;Mn;-0.74;>;-1.3413183023672737;453.0;0.00027521617845438495;Mn > -1.341318
Fe ka + Ti ka > -0.25;0.04420966507455191;Fe ka + Ti ka;-0.25;>;-0.22953773295357172;151.0;0.0017890332222608996;Fe ka + Ti ka > -0.229538
background1 > -0.15;0.04380244200264031;background1;-0.15;>;-0.13851797382387676;459.0;0.00025489138175904813;background1 > -0.138518
Si <= 0.21;0.04241366290066092;Si;0.21;<=;1.0110274266135875;498.0;0.0006026136629396217;Si <= 1.011027
Rh L + Ar > -0.44;0.04113507409239092;Rh L + Ar;-0.44;>;-1.2339020432937176;479.0;0.0016081363879096866;Rh L + Ar > -1.233902
background1 <= 0.08;0.0410166344233882;background1;0.08;<=;0.06329291827842112;442.0;0.0013527718482898438;background1 <= 0.063293
background1 > 0.08;0.040900003970099165;background1;0.08;>;0.06329291827842112;442.0;0.0013527718482898438;background1 > 0.063293
Mn > 0.30;0.04067924261778508;Mn;0.30;>;0.46506037875553474;12.0;0.0002528425071676166;Mn > 0.465060
Ca ka <= -0.35;0.040212037580002684;Ca ka;-0.35;<=;-0.6037273653374369;107.0;0.004659354829044171;Ca ka <= -0.603727
Rh L + Ar > -0.69;0.039931997225850384;Rh L + Ar;-0.69;>;-1.7593511638405133;415.0;0.001907875240119039;Rh L + Ar > -1.759351
