Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Pb-212 <= -1405.68;5.231349418765575;Pb-212;-1405.68;<=;-1450.2765824155035;8.0;0.04749778909399538;Pb-212 <= -1450.276582
Pb-212 <= 1164.75;3.809429940799045;Pb-212;1164.75;<=;1229.8390433988718;56.0;2.833503229349162;Pb-212 <= 1229.839043
Pb-212 <= 1615.08;2.5555811985339227;Pb-212;1615.08;<=;1713.586811281555;79.0;11.5050423742573;Pb-212 <= 1713.586811
Pb-212 > -1513.46;1.5482674500018412;Pb-212;-1513.46;>;-1567.7508061423741;5.0;1.5191465917525875;Pb-212 > -1567.750806
Pb-212 > -1405.68;0.9082663744524695;Pb-212;-1405.68;>;-1450.2765824155035;8.0;0.04749778909399538;Pb-212 > -1450.276582
Pb-214 <= -1096.65;0.6267117941738278;Pb-214;-1096.65;<=;-1106.9005326008248;12.0;0.04193709403830326;Pb-214 <= -1106.900533
Pb-214 <= 891.67;0.4710202685902666;Pb-214;891.67;<=;896.2681603956686;59.0;0.26933087609791073;Pb-214 <= 896.268160
Pb-214 <= 1237.44;0.33179285653681834;Pb-214;1237.44;<=;1262.356901587008;100.0;4.016860972154291;Pb-214 <= 1262.356902
Pb-214 > -1159.98;0.21983473637399153;Pb-214;-1159.98;>;-1176.9294161118682;6.0;2.883181994490542;Pb-214 > -1176.929416
Pb-214 > -1096.65;0.14535843225548464;Pb-214;-1096.65;>;-1106.9005326008248;12.0;0.04193709403830326;Pb-214 > -1106.900533
Ac-228 + Tl-208 <= -395.83;0.11286294025701457;Ac-228 + Tl-208;-395.83;<=;-399.02059777162486;7.0;0.5896312873891247;Ac-228 + Tl-208 <= -399.020598
Ac-228 + Tl-208 <= -418.73;0.09467991117465077;Ac-228 + Tl-208;-418.73;<=;-420.1001580159571;3.0;0.07052914410871836;Ac-228 + Tl-208 <= -420.100158
Ac-228 + Tl-208 <= 330.13;0.08729386026760176;Ac-228 + Tl-208;330.13;<=;334.4474295310666;74.0;0.012863004973837633;Ac-228 + Tl-208 <= 334.447430
Pb-212 > 1164.75;0.07679462852464665;Pb-212;1164.75;>;1229.8390433988718;56.0;2.833503229349162;Pb-212 > 1229.839043
Ac-228 + Tl-208 <= 425.63;0.071546916786984;Ac-228 + Tl-208;425.63;<=;428.1895929016427;63.0;0.5156827215914745;Ac-228 + Tl-208 <= 428.189593
Tl-208 <= -550.81;0.0651217825747383;Tl-208;-550.81;<=;-552.1020021803379;36.0;0.25728159973743914;Tl-208 <= -552.102002
Tl-208 <= 451.94;0.05644026420036942;Tl-208;451.94;<=;451.49233042220663;59.0;1.8379272338938222;Tl-208 <= 451.492330
Ac-228 + Tl-208 > -418.73;0.04857167910115409;Ac-228 + Tl-208;-418.73;>;-420.1001580159571;3.0;0.07052914410871836;Ac-228 + Tl-208 > -420.100158
Tl-208 <= 622.10;0.03990007992835986;Tl-208;622.10;<=;626.3716530469774;87.0;2.5332326138191092;Tl-208 <= 626.371653
Tl-208 > -577.29;0.030128289241427048;Tl-208;-577.29;>;-580.0639474056678;9.0;0.43741651412312876;Tl-208 > -580.063947
background 1 <= -274.08;0.02697731194092;background 1;-274.08;<=;-274.76519584902127;18.0;0.041513359677708195;background 1 <= -274.765196
Ac-228 <= -311.29;0.026527238815478603;Ac-228;-311.29;<=;-312.2532516370241;41.0;0.0006390149990238569;Ac-228 <= -312.253252
Ac-228 + Tl-208 > -395.83;0.025904131760493818;Ac-228 + Tl-208;-395.83;>;-399.02059777162486;7.0;0.5896312873891247;Ac-228 + Tl-208 > -399.020598
Tl-208 > -550.81;0.025403569564550893;Tl-208;-550.81;>;-552.1020021803379;36.0;0.25728159973743914;Tl-208 > -552.102002
Pb-214 > 891.67;0.024424792460071704;Pb-214;891.67;>;896.2681603956686;59.0;0.26933087609791073;Pb-214 > 896.268160
background 1 <= 230.16;0.022014556614757416;background 1;230.16;<=;228.26764917341944;74.0;0.428407256543494;background 1 <= 228.267649
Ac-228 <= 271.26;0.01895927224737146;Ac-228;271.26;<=;271.1933433968124;64.0;0.5321920098930946;Ac-228 <= 271.193343
Tl-208 > 451.94;0.015629773138760898;Tl-208;451.94;>;451.49233042220663;59.0;1.8379272338938222;Tl-208 > 451.492330
background 1 <= 297.14;0.013150754030308371;background 1;297.14;<=;299.51419891249924;100.0;0.5577690786222433;background 1 <= 299.514199
Ac-228 <= 336.04;0.010672454359085246;Ac-228;336.04;<=;336.3459140731357;66.0;0.04500091269210316;Ac-228 <= 336.345914
background 1 > -287.36;0.008141754543806105;background 1;-287.36;>;-285.3270693646882;20.0;0.15779113622107843;background 1 > -285.327069
Ac-228 > -330.12;0.006359622709489632;Ac-228;-330.12;>;-331.919905151554;31.0;0.05582143035127274;Ac-228 > -331.919905
Ac-228 + Tl-208 > 330.13;0.004537686370520043;Ac-228 + Tl-208;330.13;>;334.4474295310666;74.0;0.012863004973837633;Ac-228 + Tl-208 > 334.447430
Bi-214 <= -144.21;0.0035746288227358953;Bi-214;-144.21;<=;-145.08956364926073;35.0;0.020113142729258016;Bi-214 <= -145.089564
background 1 > -274.08;0.003142821489260424;background 1;-274.08;>;-274.76519584902127;18.0;0.041513359677708195;background 1 > -274.765196
Ac-228 > -311.29;0.003125099843720142;Ac-228;-311.29;>;-312.2532516370241;41.0;0.0006390149990238569;Ac-228 > -312.253252
Bi-214 <= 125.02;0.0028212131980567;Bi-214;125.02;<=;126.22722612947418;59.0;0.2951157925365635;Bi-214 <= 126.227226
Bi-214 <= 157.11;0.0022195005238378634;Bi-214;157.11;<=;157.72406598123476;54.0;1.7672511130768953;Bi-214 <= 157.724066
background 2 <= -156.41;0.0017640008882383888;background 2;-156.41;<=;-156.42845883709026;18.0;0.2962456661563806;background 2 <= -156.428459
Bi-214 > -152.48;0.0017568354550216586;Bi-214;-152.48;>;-152.90744051260916;31.0;0.10169531774113238;Bi-214 > -152.907441
background 2 <= -164.62;0.001605268608823143;background 2;-164.62;<=;-164.5671833466121;13.0;0.05599484339904848;background 2 <= -164.567183
background 2 <= 130.83;0.0015285932708878687;background 2;130.83;<=;130.44510731214856;59.0;0.48689111703987464;background 2 <= 130.445107
Ac-228 > 336.04;0.0013984964456884713;Ac-228;336.04;>;336.3459140731357;66.0;0.04500091269210316;Ac-228 > 336.345914
background 1 > 230.16;0.0012369833324870324;background 1;230.16;>;228.26764917341944;74.0;0.428407256543494;background 1 > 228.267649
Ac-228 > 271.26;0.0010435177820871683;Ac-228;271.26;>;271.1933433968124;64.0;0.5321920098930946;Ac-228 > 271.193343
background 2 <= 168.35;0.0008747991977544952;background 2;168.35;<=;168.88201745987575;83.0;0.031013299054023946;background 2 <= 168.882017
Bi-214 > -144.21;0.0007294781821463034;Bi-214;-144.21;>;-145.08956364926073;35.0;0.020113142729258016;Bi-214 > -145.089564
K-40 <= -72.92;0.0005985914920380688;K-40;-72.92;<=;-72.74430960846767;7.0;0.253656508626122;K-40 <= -72.744310
background 2 > -164.62;0.0005071712442082334;background 2;-164.62;>;-164.5671833466121;13.0;0.05599484339904848;background 2 > -164.567183
K-40 <= 64.40;0.0003990935504455559;K-40;64.40;<=;64.57244484714994;64.0;0.144894893377284;K-40 <= 64.572445
K-40 <= 81.64;0.00027492092245584836;K-40;81.64;<=;81.1007272843952;88.0;0.1142375567001892;K-40 <= 81.100727
background 2 > -156.41;0.00020075293471372453;background 2;-156.41;>;-156.42845883709026;18.0;0.2962456661563806;background 2 > -156.428459
K-40 > -79.25;0.00014740410829195967;K-40;-79.25;>;-79.19413575442333;46.0;0.06350615999529907;K-40 > -79.194136
Bi-214 > 125.02;0.00010222063540317954;Bi-214;125.02;>;126.22722612947418;59.0;0.2951157925365635;Bi-214 > 126.227226
K-40 > -72.92;5.3605900716867464e-05;K-40;-72.92;>;-72.74430960846767;7.0;0.253656508626122;K-40 > -72.744310
background 2 > 130.83;2.6513316193283943e-05;background 2;130.83;>;130.44510731214856;59.0;0.48689111703987464;background 2 > 130.445107
background 2 > 168.35;2.2642599717540806e-05;background 2;168.35;>;168.88201745987575;83.0;0.031013299054023946;background 2 > 168.882017
K-40 > 64.40;8.988896904047926e-06;K-40;64.40;>;64.57244484714994;64.0;0.144894893377284;K-40 > 64.572445
Class_B;0.0;;;;;;;
Class_A;0.0;;;;;;;
