Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > 0.20;20.202132714642737;Fe ka;0.20;>;0.11459976627310216;9.0;0.03758666967722152;Fe ka > 0.114600
Fe ka > -0.51;19.466216086235043;Fe ka;-0.51;>;-0.3719135643890132;1.0;0.00018582743871109475;Fe ka > -0.371914
Fe ka > -0.63;11.524364256831086;Fe ka;-0.63;>;-0.4434284101497057;20.0;0.000613611709449402;Fe ka > -0.443428
Fe ka > -0.76;4.676682657630071;Fe ka;-0.76;>;-0.5460325276530049;14.0;0.013758406281294877;Fe ka > -0.546033
Rayleigh ka <= -0.45;4.023657990804747;Rayleigh ka;-0.45;<=;-0.6543105708547629;43.0;0.018916308065030252;Rayleigh ka <= -0.654311
Compton ka <= -0.95;3.8683055332277325;Compton ka;-0.95;<=;-2.075831531982308;43.0;0.048053596486849814;Compton ka <= -2.075832
K <= -0.35;3.811605501701454;K;-0.35;<=;-0.7575605327767745;3.0;0.0035524505100253956;K <= -0.757561
K <= -0.11;3.4633593915318803;K;-0.11;<=;-0.2920301590129167;24.0;0.013610241799899808;K <= -0.292030
Compton ka <= -0.14;3.3442773434288284;Compton ka;-0.14;<=;-0.3126890698385879;44.0;0.0027412015007413915;Compton ka <= -0.312689
Rayleigh ka <= -0.08;3.2000645435615898;Rayleigh ka;-0.08;<=;-0.1450185050374371;29.0;0.0049215121968703285;Rayleigh ka <= -0.145019
K > 0.30;2.9148262947383863;K;0.30;>;0.4702376179585697;36.0;0.011168667910909202;K > 0.470238
Zn ka <= -0.29;2.8872626772004932;Zn ka;-0.29;<=;-0.17843815753185677;43.0;0.0010085787058349838;Zn ka <= -0.178438
Fe kb > 0.05;2.8492005747163054;Fe kb;0.05;>;0.008050465169527447;28.0;0.01718865128399725;Fe kb > 0.008050
Zn ka > 0.24;2.6974826739610327;Zn ka;0.24;>;0.1578672867285217;21.0;0.007782959691178454;Zn ka > 0.157867
Fe ka <= -0.76;2.6860919618545567;Fe ka;-0.76;<=;-0.5460325276530049;14.0;0.013758406281294877;Fe ka <= -0.546033
Zn ka > 0.09;2.517435069544444;Zn ka;0.09;>;0.06791998407696052;41.0;0.011107733479876952;Zn ka > 0.067920
Ca ka > 0.23;2.4787430240849577;Ca ka;0.23;>;0.2214775640623271;47.0;0.0054281827414740524;Ca ka > 0.221478
Fe ka <= -0.63;2.310022626405781;Fe ka;-0.63;<=;-0.4434284101497057;20.0;0.000613611709449402;Fe ka <= -0.443428
K <= 0.10;2.291656834707265;K;0.10;<=;0.1985946048103868;37.0;0.0039149498809672445;K <= 0.198595
Compton ka <= 0.44;2.252801501648659;Compton ka;0.44;<=;1.014362471577238;1.0;0.010087604607448397;Compton ka <= 1.014362
Compton ka <= 1.10;2.1527675643343045;Compton ka;1.10;<=;2.4587787078327388;53.0;0.04655213260193891;Compton ka <= 2.458779
Compton ka > 0.44;2.0244220165072457;Compton ka;0.44;>;1.014362471577238;1.0;0.010087604607448397;Compton ka > 1.014362
Compton ka > 1.10;2.0198442516849804;Compton ka;1.10;>;2.4587787078327388;53.0;0.04655213260193891;Compton ka > 2.458779
Fe ka <= 0.20;1.9752193360507366;Fe ka;0.20;<=;0.11459976627310216;9.0;0.03758666967722152;Fe ka <= 0.114600
K > -0.11;1.9528580840592222;K;-0.11;>;-0.2920301590129167;24.0;0.013610241799899808;K > -0.292030
Compton kb <= -0.56;1.9472000959056888;Compton kb;-0.56;<=;-0.72600853741193;43.0;0.03919993405025335;Compton kb <= -0.726009
Rayleigh ka <= 0.17;1.934496082805924;Rayleigh ka;0.17;<=;0.27226737389634587;54.0;0.004117675099740925;Rayleigh ka <= 0.272267
Compton ka > -0.95;1.9219314465837072;Compton ka;-0.95;>;-2.075831531982308;43.0;0.048053596486849814;Compton ka > -2.075832
K > -0.35;1.8935166019866982;K;-0.35;>;-0.7575605327767745;3.0;0.0035524505100253956;K > -0.757561
K <= 0.30;1.8921145198965776;K;0.30;<=;0.4702376179585697;36.0;0.011168667910909202;K <= 0.470238
K > 0.10;1.8875461337168686;K;0.10;>;0.1985946048103868;37.0;0.0039149498809672445;K > 0.198595
Zn ka <= -0.06;1.8859293445729666;Zn ka;-0.06;<=;-0.03710474264390224;54.0;0.0034102246793041163;Zn ka <= -0.037105
Fe kb > -0.17;1.7299255624325216;Fe kb;-0.17;>;-0.050817774885046345;63.0;0.009927416751948887;Fe kb > -0.050818
Rayleigh ka <= 0.61;1.703600031633948;Rayleigh ka;0.61;<=;0.9285929650746525;31.0;0.005251394343385396;Rayleigh ka <= 0.928593
Rayleigh ka > -0.45;1.6995516076921966;Rayleigh ka;-0.45;>;-0.6543105708547629;43.0;0.018916308065030252;Rayleigh ka > -0.654311
Sr <= -0.34;1.6752539845880978;Sr;-0.34;<=;-0.4279864975972914;43.0;0.009756328811200699;Sr <= -0.427986
Rayleigh ka > 0.61;1.6735124248944675;Rayleigh ka;0.61;>;0.9285929650746525;31.0;0.005251394343385396;Rayleigh ka > 0.928593
Zn ka > -0.06;1.6153439581933118;Zn ka;-0.06;>;-0.03710474264390224;54.0;0.0034102246793041163;Zn ka > -0.037105
Zn ka > -0.29;1.596134202224362;Zn ka;-0.29;>;-0.17843815753185677;43.0;0.0010085787058349838;Zn ka > -0.178438
Fe ka <= -0.51;1.5244363563670533;Fe ka;-0.51;<=;-0.3719135643890132;1.0;0.00018582743871109475;Fe ka <= -0.371914
Compton ka > -0.14;1.5123267442624768;Compton ka;-0.14;>;-0.3126890698385879;44.0;0.0027412015007413915;Compton ka > -0.312689
Ca ka > 0.01;1.4886446374773592;Ca ka;0.01;>;0.050896210723777514;17.0;0.009871184750026003;Ca ka > 0.050896
Ca ka > -0.21;1.4732473898107652;Ca ka;-0.21;>;-0.5229945513965373;31.0;0.00972170001342429;Ca ka > -0.522995
Compton kb <= -0.10;1.4425683789892576;Compton kb;-0.10;<=;-0.12960173349642254;6.0;0.001978735098321263;Compton kb <= -0.129602
Zn ka <= 0.09;1.418518635260387;Zn ka;0.09;<=;0.06791998407696052;41.0;0.011107733479876952;Zn ka <= 0.067920
Sr <= -0.05;1.4118549419729487;Sr;-0.05;<=;-0.053754095196916624;5.0;0.0016711003283690073;Sr <= -0.053754
Compton kb <= 0.26;1.3913856266479456;Compton kb;0.26;<=;0.3769358449268959;21.0;0.005824361655385302;Compton kb <= 0.376936
background3 <= -0.12;1.3645000221878207;background3;-0.12;<=;-0.16454326191117177;52.0;0.004214295495960876;background3 <= -0.164543
Ca ka > -0.09;1.349918060585917;Ca ka;-0.09;>;-0.07012771463846655;10.0;0.0004802559904545922;Ca ka > -0.070128
Zn ka <= 0.24;1.347243117697205;Zn ka;0.24;<=;0.1578672867285217;21.0;0.007782959691178454;Zn ka <= 0.157867
Rayleigh kb <= -0.35;1.3426631328986716;Rayleigh kb;-0.35;<=;-0.3581823880887776;42.0;4.310165971738167e-05;Rayleigh kb <= -0.358182
Rayleigh ka > -0.08;1.340207933207038;Rayleigh ka;-0.08;>;-0.1450185050374371;29.0;0.0049215121968703285;Rayleigh ka > -0.145019
background3 > 0.69;1.336742438161477;background3;0.69;>;0.8742837221183761;31.0;0.02113956624494462;background3 > 0.874284
background3 <= -0.60;1.3326687305200107;background3;-0.60;<=;-0.8031231644854945;19.0;0.01361012183909538;background3 <= -0.803123
Rayleigh ka > 0.17;1.3191120041386888;Rayleigh ka;0.17;>;0.27226737389634587;54.0;0.004117675099740925;Rayleigh ka > 0.272267
Mn > 0.12;1.283151166889393;Mn;0.12;>;0.04432592575023015;25.0;0.00048274132750977805;Mn > 0.044326
Zr > 0.43;1.275357565786982;Zr;0.43;>;0.5378748137788556;60.0;0.009250629753675688;Zr > 0.537875
Fe kb > -0.24;1.2728457724155202;Fe kb;-0.24;>;-0.08361690572592344;45.0;0.00016096763948234005;Fe kb > -0.083617
Mn > 0.04;1.265478876835602;Mn;0.04;>;0.013701734337724883;1.0;0.004902973547572825;Mn > 0.013702
Compton kb <= 0.64;1.2428505795332943;Compton kb;0.64;<=;0.8117371559045264;31.0;0.03105496253371043;Compton kb <= 0.811737
Zr <= -0.35;1.237784841767467;Zr;-0.35;<=;-0.42361172752623805;42.0;0.017058157621144487;Zr <= -0.423612
Rb <= -0.28;1.2209587350659943;Rb;-0.28;<=;-0.32863770485590976;43.0;0.0014136710950226061;Rb <= -0.328638
Fe kb > -0.32;1.208757762181665;Fe kb;-0.32;>;-0.10895177118508667;60.0;0.0017839756154079955;Fe kb > -0.108952
Zr > 0.13;1.207676585857413;Zr;0.13;>;0.17773433660220417;33.0;0.008588471575856654;Zr > 0.177734
Mn <= -0.10;1.1537158626679123;Mn;-0.10;<=;-0.043886740231691174;32.0;0.002976204024411469;Mn <= -0.043887
Mn <= -0.04;1.1368034600239185;Mn;-0.04;<=;-0.018734769154889912;12.0;0.0005701232728438782;Mn <= -0.018735
Rb > 0.29;1.1000541130347417;Rb;0.29;>;0.33934469564854614;53.0;0.0017514711851069342;Rb > 0.339345
Sr <= 0.42;1.0453817052878818;Sr;0.42;<=;0.5221510018761242;37.0;0.021269689387503954;Sr <= 0.522151
Rayleigh kb <= -0.08;1.0359872296252228;Rayleigh kb;-0.08;<=;-0.08540347574458339;44.0;0.005179232675649639;Rayleigh kb <= -0.085403
Zr <= -0.07;1.0241755947313882;Zr;-0.07;<=;-0.10269564312455721;48.0;0.010366351908285915;Zr <= -0.102696
background3 <= 0.21;1.0029936474119157;background3;0.21;<=;0.2792936060183693;1.0;0.004337341748357176;background3 <= 0.279294
Ca ka <= -0.09;0.9962760128787936;Ca ka;-0.09;<=;-0.07012771463846655;10.0;0.0004802559904545922;Ca ka <= -0.070128
Sr > 0.15;0.9902803716795741;Sr;0.15;>;0.19252184587759483;1.0;0.0033378820877004722;Sr > 0.192522
background3 > 0.21;0.9868062051059894;background3;0.21;>;0.2792936060183693;1.0;0.004337341748357176;background3 > 0.279294
Ca ka <= 0.01;0.9840139641647437;Ca ka;0.01;<=;0.050896210723777514;17.0;0.009871184750026003;Ca ka <= 0.050896
Ca ka <= 0.23;0.9731815666565558;Ca ka;0.23;<=;0.2214775640623271;47.0;0.0054281827414740524;Ca ka <= 0.221478
Rb > 0.06;0.9703308615614679;Rb;0.06;>;0.07409406059922806;36.0;0.0011192257175539413;Rb > 0.074094
Mn > -0.04;0.9527761734839972;Mn;-0.04;>;-0.018734769154889912;12.0;0.0005701232728438782;Mn > -0.018735
Sr > 0.42;0.9517879917662049;Sr;0.42;>;0.5221510018761242;37.0;0.021269689387503954;Sr > 0.522151
Sr <= 0.15;0.9495032655644001;Sr;0.15;<=;0.19252184587759483;1.0;0.0033378820877004722;Sr <= 0.192522
Zr > -0.07;0.9464666728012887;Zr;-0.07;>;-0.10269564312455721;48.0;0.010366351908285915;Zr > -0.102696
Rb <= -0.08;0.9464032643645768;Rb;-0.08;<=;-0.09913806515370442;52.0;0.0006817121895106165;Rb <= -0.099138
Ca ka <= -0.21;0.9268231963199338;Ca ka;-0.21;<=;-0.5229945513965373;31.0;0.00972170001342429;Ca ka <= -0.522995
background3 <= 0.69;0.9188368122705498;background3;0.69;<=;0.8742837221183761;31.0;0.02113956624494462;background3 <= 0.874284
Mn <= 0.12;0.9162722731658703;Mn;0.12;<=;0.04432592575023015;25.0;0.00048274132750977805;Mn <= 0.044326
Compton kb > 0.64;0.9130234603045886;Compton kb;0.64;>;0.8117371559045264;31.0;0.03105496253371043;Compton kb > 0.811737
Zr <= 0.13;0.9055496334613493;Zr;0.13;<=;0.17773433660220417;33.0;0.008588471575856654;Zr <= 0.177734
background3 > -0.12;0.8960612624085352;background3;-0.12;>;-0.16454326191117177;52.0;0.004214295495960876;background3 > -0.164543
Mn <= 0.04;0.8914118569605187;Mn;0.04;<=;0.013701734337724883;1.0;0.004902973547572825;Mn <= 0.013702
Mn > -0.10;0.887151497138152;Mn;-0.10;>;-0.043886740231691174;32.0;0.002976204024411469;Mn > -0.043887
background2 > 0.35;0.8713513380667852;background2;0.35;>;0.3402059314251459;40.0;0.011492951827895559;background2 > 0.340206
background3 > -0.60;0.8674249387415716;background3;-0.60;>;-0.8031231644854945;19.0;0.01361012183909538;background3 > -0.803123
Rb > -0.08;0.8620507477248208;Rb;-0.08;>;-0.09913806515370442;52.0;0.0006817121895106165;Rb > -0.099138
Zr > -0.35;0.8554714708390959;Zr;-0.35;>;-0.42361172752623805;42.0;0.017058157621144487;Zr > -0.423612
Zr <= 0.43;0.8425459412046623;Zr;0.43;<=;0.5378748137788556;60.0;0.009250629753675688;Zr <= 0.537875
Rayleigh kb <= 0.13;0.8373137889951872;Rayleigh kb;0.13;<=;0.12879905822078655;26.0;0.0036353930399381507;Rayleigh kb <= 0.128799
Compton kb > 0.26;0.8168927190244515;Compton kb;0.26;>;0.3769358449268959;21.0;0.005824361655385302;Compton kb > 0.376936
Rb <= 0.06;0.8142233501896536;Rb;0.06;<=;0.07409406059922806;36.0;0.0011192257175539413;Rb <= 0.074094
Rb > -0.28;0.8120674694280552;Rb;-0.28;>;-0.32863770485590976;43.0;0.0014136710950226061;Rb > -0.328638
Si <= -0.09;0.8101806729703305;Si;-0.09;<=;-0.055414522846618235;43.0;0.0032080348376145595;Si <= -0.055415
Fe kb <= -0.24;0.7990068267929501;Fe kb;-0.24;<=;-0.08361690572592344;45.0;0.00016096763948234005;Fe kb <= -0.083617
Compton kb > -0.56;0.7967253852067682;Compton kb;-0.56;>;-0.72600853741193;43.0;0.03919993405025335;Compton kb > -0.726009
Al <= -0.12;0.7941625585489087;Al;-0.12;<=;-0.07368855013970343;50.0;0.004843901858897118;Al <= -0.073689
Zn kb > 0.03;0.7925554345362935;Zn kb;0.03;>;0.02033291967832381;61.0;4.1626924765000156e-05;Zn kb > 0.020333
Rb <= 0.29;0.78907580643843;Rb;0.29;<=;0.33934469564854614;53.0;0.0017514711851069342;Rb <= 0.339345
Sr > -0.05;0.7778218479268111;Sr;-0.05;>;-0.053754095196916624;5.0;0.0016711003283690073;Sr > -0.053754
Rayleigh kb > 0.40;0.7768049286566964;Rayleigh kb;0.40;>;0.3926150109745938;31.0;0.014215577605236673;Rayleigh kb > 0.392615
Sr > -0.34;0.7724111476289923;Sr;-0.34;>;-0.4279864975972914;43.0;0.009756328811200699;Sr > -0.427986
S > 0.03;0.7644704272691301;S;0.03;>;0.015043412759927662;3.0;0.000711852283448465;S > 0.015043
Zn kb > 0.11;0.7464770820531116;Zn kb;0.11;>;0.05690183239572098;24.0;0.0004898720628426501;Zn kb > 0.056902
Fe kb <= -0.17;0.7406502900849252;Fe kb;-0.17;<=;-0.050817774885046345;63.0;0.009927416751948887;Fe kb <= -0.050818
Rayleigh kb <= 0.40;0.7338204209952119;Rayleigh kb;0.40;<=;0.3926150109745938;31.0;0.014215577605236673;Rayleigh kb <= 0.392615
Fe kb <= -0.32;0.7316187840822895;Fe kb;-0.32;<=;-0.10895177118508667;60.0;0.0017839756154079955;Fe kb <= -0.108952
Fe kb <= 0.05;0.7300432895236632;Fe kb;0.05;<=;0.008050465169527447;28.0;0.01718865128399725;Fe kb <= 0.008050
Compton kb > -0.10;0.7212733209491103;Compton kb;-0.10;>;-0.12960173349642254;6.0;0.001978735098321263;Compton kb > -0.129602
P > -0.12;0.7117032967266022;P;-0.12;>;-0.06731966548466857;19.0;0.00042523610366206055;P > -0.067320
background2 > 0.17;0.7067470232607316;background2;0.17;>;0.1526303380855981;54.0;0.0011756556451681666;background2 > 0.152630
Al <= -0.03;0.7063511573576127;Al;-0.03;<=;-0.017066799693790425;43.0;0.0005040014808088376;Al <= -0.017067
Si <= -0.02;0.7011196766306894;Si;-0.02;<=;-0.013011763578798609;6.0;0.001353195313746388;Si <= -0.013012
P > 0.05;0.700544379001427;P;0.05;>;0.027246345792311322;26.0;0.0007758555712235882;P > 0.027246
background2 <= -0.33;0.6987235160908775;background2;-0.33;<=;-0.2615763155340575;42.0;0.05685128556720992;background2 <= -0.261576
P <= 0.13;0.6941952582470414;P;0.13;<=;0.07946677219247043;15.0;0.004539370568364592;P <= 0.079467
P > -0.04;0.6911415018061218;P;-0.04;>;-0.025281991172464137;11.0;0.00032026520378440615;P > -0.025282
P <= 0.05;0.684616034646456;P;0.05;<=;0.027246345792311322;26.0;0.0007758555712235882;P <= 0.027246
Cu > 0.01;0.6735245838471906;Cu;0.01;>;-0.0066174540634645;0.0;0.001758940800201711;Cu > -0.006617
S > -0.02;0.6730589728253431;S;-0.02;>;-0.005286669280716599;40.0;0.003557249762534319;S > -0.005287
S > 0.10;0.6632132735498267;S;0.10;>;0.04067192869268377;51.0;0.011148945701754356;S > 0.040672
