energy;Permutation_importance;Zone
6.37;0.005608941312424399;Fe ka
6.43;0.00518823758393703;Fe ka
6.39;0.005151412719846584;Fe ka
6.45;0.004850722387116433;Fe ka
6.41;0.004764613821582671;Fe ka
6.47;0.004530322088633199;Fe ka
6.35;0.004261774614484812;Fe ka
6.33;0.003101891154452199;Fe ka
6.49;0.0029159283920320344;Fe ka
19.14;0.0027489518078973522;Compton ka
18.86;0.0020749184071354515;Compton ka
6.51;0.002001247052998377;Fe ka
19.40;0.0019991839306904855;Compton ka
19.32;0.001989672856226356;Compton ka
6.31;0.0019812442105840754;Fe ka
18.68;0.0019345810960351873;Compton ka
8.61;0.001923989954145814;Zn ka
18.66;0.0019145282078553705;Compton ka
7.07;0.0018961900205413783;Fe kb
8.65;0.0018798966013587868;Zn ka
8.63;0.001751972878437361;Zn ka
20.38;0.0017515529512162707;Rayleigh ka
3.36;0.0017071812514990845;K
19.36;0.0017052840075360725;Compton ka
19.34;0.0016980227713810855;Compton ka
18.64;0.00168443320891582;Compton ka
18.74;0.0016575198150547935;Compton ka
18.82;0.0016485885866276268;Compton ka
3.38;0.0016326869520044151;K
19.20;0.0016307974130164364;Compton ka
19.18;0.0016077288065354752;Compton ka
19.12;0.001598720880756464;Compton ka
20.30;0.0015634381834331347;Rayleigh ka
8.67;0.0015480635072568712;Zn ka
19.28;0.001524338799974685;Compton ka
3.40;0.0014910869710691318;K
19.38;0.0014625577334669787;Compton ka
7.09;0.001396628683562123;Fe kb
20.32;0.0013658290210113676;Rayleigh ka
6.29;0.0013583160005148063;Fe ka
18.94;0.0013282819774946045;Compton ka
19.42;0.001327020326473028;Compton ka
18.56;0.001314050833092713;Compton ka
18.58;0.0012817242480729122;Compton ka
18.78;0.0012645514640386997;Compton ka
20.34;0.001259230579435983;Rayleigh ka
19.24;0.0012476002579763328;Compton ka
18.98;0.0012268468136420838;Compton ka
8.57;0.0012217529739838619;Zn ka
19.22;0.0012166741499926303;Compton ka
3.42;0.001211478512217339;K
18.80;0.001207793401539245;Compton ka
19.30;0.0012038703589222805;Compton ka
18.60;0.0012006349134414715;Compton ka
18.88;0.0011974980770241854;Compton ka
19.10;0.001197168237082521;Compton ka
20.24;0.0011860634966362148;Rayleigh ka
20.44;0.0011718021445657918;Rayleigh ka
18.76;0.001167299096473113;Compton ka
18.62;0.0011457682330359422;Compton ka
6.53;0.0011436131700031603;Fe ka
7.05;0.0011151960918557521;Fe kb
19.00;0.0010941026416674791;Compton ka
14.17;0.001061948382141353;Sr
3.78;0.0010501984469346432;Ca ka
19.26;0.00104417928112337;Compton ka
7.01;0.0010361069180201779;Fe kb
8.59;0.0010268048726849225;Zn ka
8.69;0.00102639870540861;Zn ka
