Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > 0.20;19.654309549002605;Fe ka;0.20;>;0.11459976627310216;9.0;0.03758666967722152;Fe ka > 0.114600
Fe ka > -0.51;18.8159937290599;Fe ka;-0.51;>;-0.3719135643890132;1.0;0.00018582743871109475;Fe ka > -0.371914
Fe ka > -0.63;10.939409160589939;Fe ka;-0.63;>;-0.4434284101497057;20.0;0.000613611709449402;Fe ka > -0.443428
Fe ka > -0.76;4.529874732952579;Fe ka;-0.76;>;-0.5460325276530049;14.0;0.013758406281294877;Fe ka > -0.546033
Compton ka <= -0.95;3.875727884306827;Compton ka;-0.95;<=;-2.075831531982308;43.0;0.048053596486849814;Compton ka <= -2.075832
Rayleigh ka <= -0.45;3.729674408730667;Rayleigh ka;-0.45;<=;-0.6543105708547629;43.0;0.018916308065030252;Rayleigh ka <= -0.654311
Compton ka <= -0.14;3.6330621437266686;Compton ka;-0.14;<=;-0.3126890698385879;44.0;0.0027412015007413915;Compton ka <= -0.312689
K <= -0.35;3.614040347639186;K;-0.35;<=;-0.7575605327767745;3.0;0.0035524505100253956;K <= -0.757561
K <= -0.11;3.258107988243645;K;-0.11;<=;-0.2920301590129167;24.0;0.013610241799899808;K <= -0.292030
Zn ka > 0.24;3.0520388150458078;Zn ka;0.24;>;0.1578672867285217;21.0;0.007782959691178454;Zn ka > 0.157867
Rayleigh ka <= -0.08;2.8594898099139434;Rayleigh ka;-0.08;<=;-0.1450185050374371;29.0;0.0049215121968703285;Rayleigh ka <= -0.145019
Compton ka <= 0.44;2.8007224411382063;Compton ka;0.44;<=;1.014362471577238;1.0;0.010087604607448397;Compton ka <= 1.014362
Rayleigh ka <= 0.17;2.7472757595346415;Rayleigh ka;0.17;<=;0.27226737389634587;54.0;0.004117675099740925;Rayleigh ka <= 0.272267
Fe kb > 0.05;2.7273465285840395;Fe kb;0.05;>;0.008050465169527447;28.0;0.01718865128399725;Fe kb > 0.008050
Ca ka > 0.23;2.645162931909425;Ca ka;0.23;>;0.2214775640623271;47.0;0.0054281827414740524;Ca ka > 0.221478
Fe ka <= -0.76;2.6129355886465246;Fe ka;-0.76;<=;-0.5460325276530049;14.0;0.013758406281294877;Fe ka <= -0.546033
Fe ka <= -0.63;2.5903871916840897;Fe ka;-0.63;<=;-0.4434284101497057;20.0;0.000613611709449402;Fe ka <= -0.443428
