Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
K ka > 0.40;3.0895110307455953;K ka;0.40;>;0.405902858169219;15.0;0.0018929843288971182;K ka > 0.405903
K ka > 0.03;1.8774219730244712;K ka;0.03;>;0.022010867155679903;11.0;0.0034984781981039006;K ka > 0.022011
Rb ka + Br kb > 0.15;1.8609558763358152;Rb ka + Br kb;0.15;>;0.08009140773825969;8.0;0.0008022663230623228;Rb ka + Br kb > 0.080091
K ka > -0.18;1.789870744864369;K ka;-0.18;>;-0.18011081698473247;9.0;0.0011205208241312492;K ka > -0.180111
Rb ka + Br kb > -0.08;1.32132559793971;Rb ka + Br kb;-0.08;>;-0.039633685771745655;17.0;0.004905499211687023;Rb ka + Br kb > -0.039634
K ka > -0.52;1.2968051996409031;K ka;-0.52;>;-0.529154120245581;18.0;0.0049427080918106325;K ka > -0.529154
background2 <= -0.10;1.0722176159330337;background2;-0.10;<=;-0.040896543310868186;14.0;0.0007625579731716514;background2 <= -0.040897
Rb ka + Br kb > -0.11;1.0467343665044053;Rb ka + Br kb;-0.11;>;-0.05376630077846726;2.0;0.00480401231170112;Rb ka + Br kb > -0.053766
Rb ka + Br kb > -0.29;0.8534212130475974;Rb ka + Br kb;-0.29;>;-0.1465504338089958;3.0;0.00341513018987899;Rb ka + Br kb > -0.146550
K kb + Ca ka > 0.06;0.768951554492717;K kb + Ca ka;0.06;>;0.018223009446566327;11.0;0.0004104494653808799;K kb + Ca ka > 0.018223
Rh ka Compton <= -0.57;0.763931269220147;Rh ka Compton;-0.57;<=;-0.5389781837825095;0.0;0.003003959547338564;Rh ka Compton <= -0.538978
Rh ka Compton <= 0.20;0.7621104088979996;Rh ka Compton;0.20;<=;0.17606895000649328;16.0;0.003928077853834727;Rh ka Compton <= 0.176069
Rh kb Compton <= 0.08;0.7513161089025552;Rh kb Compton;0.08;<=;0.04295683719669625;7.0;0.002702085056437639;Rh kb Compton <= 0.042957
K kb + Ca ka > 0.14;0.6921242503929029;K kb + Ca ka;0.14;>;0.06603656909561743;15.0;0.004631979412069165;K kb + Ca ka > 0.066037
Rh ka Compton > -0.57;0.656470584231231;Rh ka Compton;-0.57;>;-0.5389781837825095;0.0;0.003003959547338564;Rh ka Compton > -0.538978
Zn <= -0.01;0.6213589520560441;Zn;-0.01;<=;0.0005401878252164087;6.0;0.0019588890326531164;Zn <= 0.000540
Cl > 0.01;0.607925689281245;Cl;0.01;>;0.00482998451752225;20.0;0.0012378061281483228;Cl > 0.004830
background2 <= -0.02;0.6021058100004073;background2;-0.02;<=;-0.0044008980209733605;17.0;0.00012077522254735559;background2 <= -0.004401
Rh ka Rayleigh <= -0.20;0.5987154052007039;Rh ka Rayleigh;-0.20;<=;-0.13167169846194487;3.0;0.0047360345108573565;Rh ka Rayleigh <= -0.131672
Rh ka Compton <= -0.21;0.5869359398825285;Rh ka Compton;-0.21;<=;-0.1989886242260596;18.0;0.0024223350477871886;Rh ka Compton <= -0.198989
Rh ka Compton > -0.21;0.581974038105224;Rh ka Compton;-0.21;>;-0.1989886242260596;18.0;0.0024223350477871886;Rh ka Compton > -0.198989
Cu <= -0.08;0.5790624306408597;Cu;-0.08;<=;-0.02610573746995699;7.0;0.0008381755669711471;Cu <= -0.026106
K kb + Ca ka > -0.21;0.5575086950508559;K kb + Ca ka;-0.21;>;-0.0990285685290275;8.0;0.00024530500274613787;K kb + Ca ka > -0.099029
K kb + Ca ka > -0.04;0.5472971548238649;K kb + Ca ka;-0.04;>;-0.004473062311435858;7.0;0.002222959054720995;K kb + Ca ka > -0.004473
background2 <= 0.07;0.5069467359233782;background2;0.07;<=;0.023420600788614517;18.0;0.0022820545303409157;background2 <= 0.023421
Rh ka Compton > 0.20;0.4606259409007632;Rh ka Compton;0.20;>;0.17606895000649328;16.0;0.003928077853834727;Rh ka Compton > 0.176069
Rh kb Compton <= -0.33;0.4294600534552444;Rh kb Compton;-0.33;<=;-0.17067466542856488;0.0;0.004081480645374946;Rh kb Compton <= -0.170675
Br ka <= -0.14;0.38237337633435775;Br ka;-0.14;<=;-0.05952137343857535;14.0;0.0027889594818790164;Br ka <= -0.059521
Rh ka Compton <= 0.64;0.3715943808051905;Rh ka Compton;0.64;<=;0.5869908011829033;13.0;0.004384937066273409;Rh ka Compton <= 0.586991
Rh kb Rayleigh <= -0.14;0.2911079527067608;Rh kb Rayleigh;-0.14;<=;-0.04987620522399043;10.0;0.0014345158197897334;Rh kb Rayleigh <= -0.049876
K ka <= 0.03;0.11289856472589344;K ka;0.03;<=;0.022010867155679903;11.0;0.0034984781981039006;K ka <= 0.022011
Rh ka Rayleigh <= -0.10;0.014218177043720682;Rh ka Rayleigh;-0.10;<=;-0.054351221709200995;5.0;0.003308769637640846;Rh ka Rayleigh <= -0.054351
Class_B;0.0;;;;;;;
Class_A;0.0;;;;;;;
