Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
F1 > -2.47;6.39379694268026;F1;-2.47;>;-2.4692796902011955;70.0;0.0007203097988046636;F1 > -2.469280
F1 <= 2.88;4.3022412477492775;F1;2.88;<=;2.8775246855623418;163.0;0.0024753144376603586;F1 <= 2.877525
F5 > -1.83;3.2778620437785633;F5;-1.83;>;-1.8302825286863247;186.0;0.00028252868632350214;F5 > -1.830283
F1 > -2.43;3.057714890587632;F1;-2.43;>;-2.4302717918594214;18.0;0.0002717918594208335;F1 > -2.430272
F5 <= 2.10;2.3691490612211537;F5;2.10;<=;2.0996121824849845;76.0;0.00038781751501604234;F5 <= 2.099612
F5 > -1.79;1.0913744007742636;F5;-1.79;>;-1.7893030447360718;178.0;0.0006969552639277676;F5 > -1.789303
F6 > -1.37;0.9134224833448663;F6;-1.37;>;-1.370059963016235;175.0;5.99630162347875e-05;F6 > -1.370060
F4 > -1.63;0.9059742113365994;F4;-1.63;>;-1.631439434433272;56.0;0.0014394344332724351;F4 > -1.631439
F6 > 0.11;0.8879004682686;F6;0.11;>;0.10912815703409616;112.0;0.0008718429659046317;F6 > 0.109128
F4 > -0.67;0.8817683026435256;F4;-0.67;>;-0.6693820240864425;42.0;0.0006179759135578333;F4 > -0.669382
F3 > -0.44;0.8788010883868214;F3;-0.44;>;-0.4400067962233723;87.0;6.796223373073396e-06;F3 > -0.440007
F1 <= 0.67;0.8629292064453076;F1;0.67;<=;0.6748145005323755;174.0;0.004814500532375532;F1 <= 0.674815
F2 > -0.54;0.8578324109407315;F2;-0.54;>;-0.5397182313341017;77.0;0.0002817686658977969;F2 > -0.539718
F5 <= 0.75;0.8454363534644397;F5;0.75;<=;0.7514827277200313;52.0;0.0014827277200312183;F5 <= 0.751483
F3 > -1.46;0.8419523575152107;F3;-1.46;>;-1.4601111472971091;64.0;0.00011114729710937077;F3 > -1.460111
F2 > -1.57;0.8253534408696059;F2;-1.57;>;-1.5674764883322954;193.0;0.002523511667704037;F2 > -1.567476
F6 > -0.58;0.7767816877322671;F6;-0.58;>;-0.5791141824948309;144.0;0.0008858175051689177;F6 > -0.579114
F3 > 0.27;0.721547157972131;F3;0.27;>;0.27110465216312785;58.0;0.0011046521631278838;F3 > 0.271105
F2 > 0.21;0.39057247108012166;F2;0.21;>;0.21265160537059324;53.0;0.0026516053705934184;F2 > 0.212652
F3 <= 1.39;0.3613742969099092;F3;1.39;<=;1.390245037253563;157.0;0.00024503725356361805;F3 <= 1.390245
F4 > 0.28;0.3409123241810766;F4;0.28;>;0.2820983354519534;26.0;0.0020983354519530373;F4 > 0.282098
F2 <= 1.43;0.31290683076311254;F2;1.43;<=;1.4310258347933535;104.0;0.0010258347933533862;F2 <= 1.431026
F6 <= 1.18;0.23977754131410503;F6;1.18;<=;1.1808510984856548;44.0;0.0008510984856548998;F6 <= 1.180851
F4 <= 1.58;0.23563040019829445;F4;1.58;<=;1.582285629668556;194.0;0.002285629668556055;F4 <= 1.582286
F6 > 1.18;0.12505157832132494;F6;1.18;>;1.1808510984856548;44.0;0.0008510984856548998;F6 > 1.180851
F6 <= 0.11;0.11217541929435415;F6;0.11;<=;0.10912815703409616;112.0;0.0008718429659046317;F6 <= 0.109128
F3 <= 0.27;0.07659991511539266;F3;0.27;<=;0.27110465216312785;58.0;0.0011046521631278838;F3 <= 0.271105
F4 <= -0.67;0.06272358822117202;F4;-0.67;<=;-0.6693820240864425;42.0;0.0006179759135578333;F4 <= -0.669382
F6 <= -1.37;0.05675461709522466;F6;-1.37;<=;-1.370059963016235;175.0;5.99630162347875e-05;F6 <= -1.370060
F4 <= 0.28;0.04758839045385925;F4;0.28;<=;0.2820983354519534;26.0;0.0020983354519530373;F4 <= 0.282098
F2 <= 0.21;0.04385149599058148;F2;0.21;<=;0.21265160537059324;53.0;0.0026516053705934184;F2 <= 0.212652
F6 <= -0.58;0.04098230759285461;F6;-0.58;<=;-0.5791141824948309;144.0;0.0008858175051689177;F6 <= -0.579114
F3 <= -0.44;0.0385864936176505;F3;-0.44;<=;-0.4400067962233723;87.0;6.796223373073396e-06;F3 <= -0.440007
F2 <= -0.54;0.03806675280919193;F2;-0.54;<=;-0.5397182313341017;77.0;0.0002817686658977969;F2 <= -0.539718
background5 > 0.00;0.025505525444309007;background5;0.00;>;-0.0006636292739978572;150.0;0.0006636292739978832;background5 > -0.000664
background4 > -0.05;0.02405022181902874;background4;-0.05;>;-0.050054357462799834;197.0;5.435746279985887e-05;background4 > -0.050054
background5 > -0.04;0.020175144801698235;background5;-0.04;>;-0.039783786690186354;30.0;0.00021621330981353576;background5 > -0.039784
background4 > -0.03;0.014008626892902118;background4;-0.03;>;-0.029654599390620068;61.0;0.00034540060937991723;background4 > -0.029655
background5 > -0.07;7.954758099063593e-05;background5;-0.07;>;-0.07063442747321788;85.0;0.000634427473217819;background5 > -0.070634
Class_B;0.0;;;;;;;
Class_A;0.0;;;;;;;
