Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
F1 > 0.67;23.917183705111075;F1;0.67;>;0.6748145005323758;174.0;0.004814500532375754;F1 > 0.674815
F1 > -2.43;17.29021988415784;F1;-2.43;>;-2.4302717918594205;18.0;0.0002717918594203894;F1 > -2.430272
F1 > -2.47;11.595140204298676;F1;-2.47;>;-2.469279690201194;70.0;0.0007203097988073281;F1 > -2.469280
F1 <= 2.88;7.043652194425304;F1;2.88;<=;2.877524685562338;163.0;0.0024753144376608027;F1 <= 2.877525
F1 <= 0.67;4.461761232689967;F1;0.67;<=;0.6748145005323758;174.0;0.004814500532375754;F1 <= 0.674815
F5 > 0.75;3.711303702915921;F5;0.75;>;0.7514827277200309;52.0;0.0014827277200312183;F5 > 0.751483
F5 > -1.79;3.17173957424805;F5;-1.79;>;-1.7893030447360732;178.0;0.0006969552639282117;F5 > -1.789303
F5 > -1.83;2.5699936061040853;F5;-1.83;>;-1.830282528686325;186.0;0.00028252868632261396;F5 > -1.830283
F5 <= 2.10;1.7930861435861;F5;2.10;<=;2.099612182484984;76.0;0.0003878175150173746;F5 <= 2.099612
F5 <= 0.75;1.1675713721290157;F5;0.75;<=;0.7514827277200309;52.0;0.0014827277200312183;F5 <= 0.751483
F5 <= -1.79;0.4871897430715952;F5;-1.79;<=;-1.7893030447360732;178.0;0.0006969552639282117;F5 <= -1.789303
F6 <= -0.58;0.2823193806034917;F6;-0.58;<=;-0.5791141824948304;144.0;0.0008858175051693618;F6 <= -0.579114
F6 > 1.18;0.2467705180143664;F6;1.18;>;1.1808510984856542;44.0;0.0008510984856540116;F6 > 1.180851
F3 > 0.27;0.24028310363161504;F3;0.27;>;0.2711046521631279;58.0;0.0011046521631276618;F3 > 0.271105
F6 > 0.11;0.23469896249292999;F6;0.11;>;0.10912815703409585;112.0;0.0008718429659038823;F6 > 0.109128
F1 <= -2.43;0.18717991851069957;F1;-2.43;<=;-2.4302717918594205;18.0;0.0002717918594203894;F1 <= -2.430272
F2 > 0.21;0.18289071677704993;F2;0.21;>;0.21265160537059297;53.0;0.002651605370593224;F2 > 0.212652
F6 <= -1.37;0.17952031844494723;F6;-1.37;<=;-1.370059963016235;175.0;5.996301623545364e-05;F6 <= -1.370060
F6 <= 1.18;0.17374710297022544;F6;1.18;<=;1.1808510984856542;44.0;0.0008510984856540116;F6 <= 1.180851
F6 <= 0.11;0.1633611253856806;F6;0.11;<=;0.10912815703409585;112.0;0.0008718429659038823;F6 <= 0.109128
F6 > -1.37;0.15725237656466456;F6;-1.37;>;-1.370059963016235;175.0;5.996301623545364e-05;F6 > -1.370060
F4 > 0.28;0.15720306240748563;F4;0.28;>;0.28209833545195373;26.0;0.0020983354519531483;F4 > 0.282098
F3 > -0.44;0.1561938816570486;F3;-0.44;>;-0.4400067962233734;87.0;6.7962233726848176e-06;F3 > -0.440007
F6 > -0.58;0.1546789304910276;F6;-0.58;>;-0.5791141824948304;144.0;0.0008858175051693618;F6 > -0.579114
F2 > -0.54;0.14078313808323345;F2;-0.54;>;-0.5397182313341011;77.0;0.00028176866589846306;F2 > -0.539718
F3 > -1.46;0.14013953893587486;F3;-1.46;>;-1.4601111472971098;64.0;0.00011114729710914872;F3 > -1.460111
F2 <= -0.54;0.13954730693920792;F2;-0.54;<=;-0.5397182313341011;77.0;0.00028176866589846306;F2 <= -0.539718
F2 <= 1.43;0.13574187658917736;F2;1.43;<=;1.4310258347933527;104.0;0.001025834793352498;F2 <= 1.431026
F3 <= -0.44;0.12852244556626846;F3;-0.44;<=;-0.4400067962233734;87.0;6.7962233726848176e-06;F3 <= -0.440007
F4 > -0.67;0.1281823785365531;F4;-0.67;>;-0.6693820240864409;42.0;0.0006179759135584995;F4 > -0.669382
F3 <= 1.39;0.12749076203603282;F3;1.39;<=;1.390245037253564;157.0;0.00024503725356361805;F3 <= 1.390245
F2 > -1.57;0.11972114390796743;F2;-1.57;>;-1.5674764883322962;193.0;0.002523511667703371;F2 > -1.567476
F4 > -1.63;0.10935762294489251;F4;-1.63;>;-1.6314394344332714;56.0;0.001439434433271547;F4 > -1.631439
F4 <= -0.67;0.10191819066694789;F4;-0.67;<=;-0.6693820240864409;42.0;0.0006179759135584995;F4 <= -0.669382
F3 <= 0.27;0.10121430659858222;F3;0.27;<=;0.2711046521631279;58.0;0.0011046521631276618;F3 <= 0.271105
F2 <= 0.21;0.09015101403180292;F2;0.21;<=;0.21265160537059297;53.0;0.002651605370593224;F2 <= 0.212652
F4 <= 0.28;0.04102037990379805;F4;0.28;<=;0.28209833545195373;26.0;0.0020983354519531483;F4 <= 0.282098
F4 <= 1.58;0.03146803066559432;F4;1.58;<=;1.5822856296685552;194.0;0.002285629668555389;F4 <= 1.582286
background2 <= -0.01;0.0007009321584702637;background2;-0.01;<=;-0.009990141674126206;140.0;9.858325873449494e-06;background2 <= -0.009990
background2 <= 0.01;0.0004737838882265243;background2;0.01;<=;0.010314603817247319;102.0;0.0003146038172475024;background2 <= 0.010315
background5 > -0.07;0.00045900431794832235;background5;-0.07;>;-0.07063442747321783;85.0;0.0006344274732177635;background5 > -0.070634
background5 > -0.04;0.00042730301135544314;background5;-0.04;>;-0.039783786690186285;30.0;0.00021621330981349413;background5 > -0.039784
background5 > 0.00;0.00042321585579978077;background5;0.00;>;-0.0006636292739979748;150.0;0.0006636292739978091;background5 > -0.000664
