Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
K ka <= -0.16;26.70930421534864;K ka;-0.16;<=;-0.1883424377242589;19.0;0.000300713671025965;K ka <= -0.188342
K ka <= -0.48;26.674449041778985;K ka;-0.48;<=;-0.5530037290491615;18.0;0.004092283291744936;K ka <= -0.553004
K ka <= 0.20;20.32781509673581;K ka;0.20;<=;0.2540422165665514;24.0;0.00419236186861921;K ka <= 0.254042
K ka <= 0.44;15.59240999017645;K ka;0.44;<=;0.5221139741195835;34.0;0.001977662914902978;K ka <= 0.522114
K ka > -0.48;12.02816553162214;K ka;-0.48;>;-0.5530037290491615;18.0;0.004092283291744936;K ka > -0.553004
K ka > 0.44;11.62220856800424;K ka;0.44;>;0.5221139741195835;34.0;0.001977662914902978;K ka > 0.522114
K ka > 0.20;8.669652933223555;K ka;0.20;>;0.2540422165665514;24.0;0.00419236186861921;K ka > 0.254042
K ka > -0.16;5.452213007473071;K ka;-0.16;>;-0.1883424377242589;19.0;0.000300713671025965;K ka > -0.188342
Rb ka + Br kb > -0.02;4.192086197553648;Rb ka + Br kb;-0.02;>;-0.003744271027319728;27.0;0.0007290866009028486;Rb ka + Br kb > -0.003744
Rb ka + Br kb > -0.12;2.647337384278135;Rb ka + Br kb;-0.12;>;-0.06236145666175616;9.0;0.0020808586582180266;Rb ka + Br kb > -0.062361
Rb ka + Br kb <= -0.28;1.7673710183891271;Rb ka + Br kb;-0.28;<=;-0.13652332318262622;0.0;0.0001984067801824585;Rb ka + Br kb <= -0.136523
Rb ka + Br kb > -0.28;1.5803252517025013;Rb ka + Br kb;-0.28;>;-0.13652332318262622;0.0;0.0001984067801824585;Rb ka + Br kb > -0.136523
K kb + Ca ka > 0.11;1.087236066474034;K kb + Ca ka;0.11;>;0.05221740101320716;11.0;0.0030780701196047033;K kb + Ca ka > 0.052217
K kb + Ca ka <= -0.14;1.0858318156461972;K kb + Ca ka;-0.14;<=;-0.0634578810015149;21.0;0.00024625438384312526;K kb + Ca ka <= -0.063458
Rb ka + Br kb <= -0.12;1.047679809422108;Rb ka + Br kb;-0.12;<=;-0.06236145666175616;9.0;0.0020808586582180266;Rb ka + Br kb <= -0.062361
