energy;Mean_Abs_SHAP
2.12;0.0
2.14;0.0
2.16;0.0
2.18;0.0
2.2;0.0
2.22;0.0
2.24;0.0
2.26;0.0
2.28;0.0
2.3;0.0
2.32;0.0
2.34;0.0
2.36;0.0
2.38;0.0
2.4;0.0
2.42;0.0
2.44;0.0
2.46;0.0
2.48;0.0
2.5;0.0
2.52;2.4072784656498392e-05
2.54;0.0
2.56;0.00017845787318348965
2.58;0.00020706867125416508
2.6;0.0001562453846234756
2.62;0.00012337286010078732
2.64;0.0
2.66;0.0
2.68;0.0
2.7;0.0
2.72;0.0
2.74;0.0
2.76;0.0
2.78;0.0
2.8;0.0
2.82;0.0
2.84;0.0
2.86;0.0
2.88;0.0
2.9;0.0
2.92;0.0
2.94;0.0
2.96;0.0
2.98;0.0
3;0.0
3.02;0.0
3.04;0.0
3.06;0.0
3.08;8.66065084813332e-06
3.1;0.0
3.12;0.0
3.14;0.0
3.16;0.0
3.18;0.0
3.2;0.00016807465551376934
3.22;0.00030036157816752435
3.24;0.0005586894882933621
3.26;0.0005975720365434983
3.28;0.0007239713784997167
3.3;0.0005621924497608892
3.32;0.0004946148151005188
3.34;0.00047590098863352164
3.36;0.00012552491833882958
3.38;7.780022015898758e-05
3.4;5.4972168896026074e-06
3.42;0.0
3.44;0.0
3.46;0.0
3.48;0.0
3.5;0.0
3.52;0.0
3.54;0.0
3.56;0.0
3.58;0.0
3.6;0.0
3.62;0.0
3.64;0.0
3.66;3.18063800151127e-05
3.68;1.3258276612629614e-05
3.7;2.2421976466976908e-05
3.72;1.7254017840788933e-05
3.74;9.937759097370916e-06
3.76;0.0
3.78;0.0
3.8;0.0
3.82;0.0
3.84;0.0
3.86;0.0
3.88;0.0
3.9;0.0
3.92;0.0
3.94;0.0
3.96;0.0
3.98;0.0
4;0.0
4.02;7.001814534356069e-06
4.04;0.0
4.06;0.0
4.08;0.0
4.1;0.0
4.12;0.0
4.14;0.0
4.16;0.0
4.18;0.0
4.2;0.0
4.22;0.0
4.24;0.0
4.26;0.0
4.28;0.0
4.3;0.0
4.32;0.0
4.34;0.0
4.36;9.526703441584928e-06
4.38;0.0
4.4;0.0
4.42;0.0
4.44;0.0
4.46;0.0
4.48;0.0
4.5;0.0
4.52;0.0
4.54;0.0
4.56;0.0
